date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2025-04-14,62.27,63.9,61.69,63.7,8997462,61.7376362662,63.3537009381,61.1625948493,63.1554107943,8997462,0.0,1.0,PYPL,tiingo
2025-04-15,62.0,62.79,61.645,62.36,9140768,61.4699445721,62.2531906401,61.1179795669,61.8268668309,9140768,0.0,1.0,PYPL,tiingo
2025-04-16,60.24,61.46,59.72,61.375,9833606,59.7249913069,60.9345611839,59.209436933,60.8502878728,9833606,0.0,1.0,PYPL,tiingo
2025-04-17,61.0,61.47,60.1322,60.35,9023742,60.4784938532,60.9444756911,59.6181129194,59.8340508859,9023742,0.0,1.0,PYPL,tiingo
2025-04-21,60.285,60.96,59.455,60.24,7354085,59.7696065892,60.4388358245,58.9467024925,59.7249913069,7354085,0.0,1.0,PYPL,tiingo
2025-04-22,61.42,61.91,59.95,60.73,9390144,60.8949031552,61.3807140074,59.4374705984,60.2108021591,9390144,0.0,1.0,PYPL,tiingo
2025-04-23,62.46,64.57,62.17,62.715,9838865,61.9260119028,64.0179729197,61.6384911944,62.1788318362,9838865,0.0,1.0,PYPL,tiingo
2025-04-24,64.77,64.83,62.76,62.9,10876971,64.2162630635,64.2757501066,62.2234471185,62.3622502192,10876971,0.0,1.0,PYPL,tiingo
2025-04-25,65.34,65.42,64.485,64.485,8693362,64.7813899733,64.8607060308,63.9336996086,63.9336996086,8693362,0.0,1.0,PYPL,tiingo
2025-04-28,64.93,65.82,64.13,65.305,14251515,64.3748951785,65.2572863184,63.5817346034,64.7466891981,14251515,0.0,1.0,PYPL,tiingo
2025-04-29,66.32,67.43,64.36,66.37,19706804,65.7530116778,66.8535219758,63.8097682688,65.8025842138,19706804,0.0,1.0,PYPL,tiingo
2025-04-30,65.84,65.99,63.54,65.155,10293798,65.2771153327,65.4258329406,62.9967786793,64.5979715903,10293798,0.0,1.0,PYPL,tiingo
2025-05-01,65.41,66.12,64.85,65.62,10072972,64.8507915236,65.554721534,64.295579121,65.0589961746,10072972,0.0,1.0,PYPL,tiingo
2025-05-02,67.24,67.76,65.98,66.135,10081506,66.6651463392,67.180700713,65.4159184334,65.5695932948,10081506,0.0,1.0,PYPL,tiingo
2025-05-05,68.54,69.36,66.91,66.96,12000307,67.9540322738,68.7670218633,66.337967602,66.3875401379,12000307,0.0,1.0,PYPL,tiingo
2025-05-06,68.05,68.93,67.8,67.95,7659394,67.4682214215,68.3406980542,67.2203587418,67.3690763496,7659394,0.0,1.0,PYPL,tiingo
2025-05-07,68.69,68.94,67.72,68.335,8106537,68.1027498816,68.3506125613,67.1410426843,67.7507848764,8106537,0.0,1.0,PYPL,tiingo
2025-05-08,70.48,70.946,69.3,69.3,11791492,69.8774466685,70.3394627035,68.7075348201,68.7075348201,11791492,0.0,1.0,PYPL,tiingo
2025-05-09,70.26,71.32,70.01,70.87,7470489,69.6593275103,70.7102652723,69.4114648306,70.2641124488,7470489,0.0,1.0,PYPL,tiingo
2025-05-12,72.31,74.15,71.85,72.97,12513047,71.6918014841,73.5160708068,71.2357341534,72.3461589585,12513047,0.0,1.0,PYPL,tiingo
2025-05-13,72.29,72.65,71.89,72.41,8076183,71.6719724697,72.0288947285,71.2753921821,71.7909465559,8076183,0.0,1.0,PYPL,tiingo
2025-05-14,72.68,73.34,72.2403,72.66,7724048,72.05863825,72.7129957245,71.6226973689,72.0388092357,7724048,0.0,1.0,PYPL,tiingo
2025-05-15,71.57,72.67,71.44,72.34,8116475,70.9581279521,72.0487237429,70.8292393586,71.7215450056,8116475,0.0,1.0,PYPL,tiingo
2025-05-16,72.18,72.22,71.08,71.47,8717851,71.5629128906,71.6025709193,70.4723170998,70.8589828802,8717851,0.0,1.0,PYPL,tiingo
2025-05-19,72.32,72.54,71.11,71.16,7434931,71.7017159912,71.9198351494,70.5020606214,70.5516331573,7434931,0.0,1.0,PYPL,tiingo
2025-05-20,72.61,72.78,71.74,71.89,8403163,71.9892366997,72.1577833219,71.1266745743,71.2753921821,8403163,0.0,1.0,PYPL,tiingo
2025-05-21,71.65,73.2042,71.505,72.2,8094345,71.0374440096,72.5783567169,70.8936836553,71.582741905,8094345,0.0,1.0,PYPL,tiingo
2025-05-22,71.45,71.985,71.2801,71.475,6451026,70.8391538658,71.3695800004,70.6707063887,70.8639401338,6451026,0.0,1.0,PYPL,tiingo
2025-05-23,69.85,70.14,69.41,69.46,7683598,69.2528327155,69.540353424,68.8165943992,68.8661669352,7683598,0.0,1.0,PYPL,tiingo
2025-05-27,71.48,71.995,70.665,70.75,8770916,70.8688973874,71.3794945076,70.0608650515,70.1451383626,8770916,0.0,1.0,PYPL,tiingo
2025-05-28,71.44,72.035,71.1,71.58,6292063,70.8292393586,71.4191525364,70.4921461142,70.9680424593,6292063,0.0,1.0,PYPL,tiingo
2025-05-29,70.93,72.4492,70.25,72.16,7058910,70.323599492,71.8298114241,69.6494130031,71.5430838762,7058910,0.0,1.0,PYPL,tiingo
2025-05-30,70.28,71.08,69.52,70.96,14937197,69.6791565247,70.4723170998,68.9256539783,70.3533430135,14937197,0.0,1.0,PYPL,tiingo
2025-06-02,70.93,70.96,69.05,69.275,7518225,70.323599492,70.3533430135,68.4596721404,68.6827485522,7518225,0.0,1.0,PYPL,tiingo
2025-06-03,71.33,71.43,69.86,71.0,7316371,70.7201797795,70.8193248514,69.2627472227,70.3930010423,7316371,0.0,1.0,PYPL,tiingo
2025-06-04,72.8,73.07,71.33,71.49,7712328,72.1776123363,72.4453040304,70.7201797795,70.8788118945,7712328,0.0,1.0,PYPL,tiingo
2025-06-05,72.47,73.55,72.08,72.795,6326019,71.8504335991,72.9212003755,71.4637678187,72.1726550827,6326019,0.0,1.0,PYPL,tiingo
2025-06-06,73.43,73.62,72.64,73.265,7240199,72.8022262892,72.9906019258,72.0189802213,72.6386369206,7240199,0.0,1.0,PYPL,tiingo
2025-06-09,73.55,73.97,72.95,73.7,6166472,72.9212003755,73.3376096774,72.3263299442,73.0699179833,6166472,0.0,1.0,PYPL,tiingo
2025-06-10,74.76,75.27,73.32,73.58,9510736,74.1208557454,74.626495612,72.6931667101,72.9509438971,9510736,0.0,1.0,PYPL,tiingo
2025-06-11,74.61,75.21,73.93,75.1,7706133,73.9721381375,74.5670085689,73.2979516487,74.4579489898,7706133,0.0,1.0,PYPL,tiingo
2025-06-12,74.81,75.3068,74.0,74.02,8644643,74.1704282813,74.6629809985,73.367353199,73.3871822134,8644643,0.0,1.0,PYPL,tiingo
2025-06-13,70.83,74.215,70.5307,73.3,16744374,70.2244544201,73.5805151036,69.9277132199,72.6733376958,16744374,0.0,1.0,PYPL,tiingo
2025-06-16,72.26,72.485,71.07,71.63,7195509,71.6422289481,71.8653053599,70.4624025926,71.0176149952,7195509,0.0,1.0,PYPL,tiingo
2025-06-17,70.67,72.1,70.465,71.92,7374325,70.065822305,71.4835968331,69.8625749077,71.3051357037,7374325,0.0,1.0,PYPL,tiingo
2025-06-18,68.57,71.2759,67.52,70.51,20427726,67.9837757953,70.6665422956,66.9427525405,69.90719019,20427726,0.0,1.0,PYPL,tiingo
2025-06-20,70.05,70.55,68.55,68.83,18497852,69.4511228593,69.9468482188,67.963946781,68.2415529823,18497852,0.0,1.0,PYPL,tiingo
2025-06-23,72.01,72.1469,70.16,71.0,11447942,71.3943662684,71.5300958718,69.5601824384,70.3930010423,11447942,0.0,1.0,PYPL,tiingo
2025-06-24,73.58,73.94,72.55,73.125,9500942,72.9509438971,73.3078661559,71.9297496566,72.49983382,9500942,0.0,1.0,PYPL,tiingo
2025-06-25,73.07,74.2499,72.415,74.14,7851896,72.4453040304,73.6151167337,71.7959038095,73.5061562996,7851896,0.0,1.0,PYPL,tiingo
2025-06-26,73.17,73.38,71.61,73.245,10235639,72.5444491023,72.7526537533,70.9977859808,72.6188079062,10235639,0.0,1.0,PYPL,tiingo
2025-06-27,73.64,73.75,72.855,73.27,10449548,73.0104309402,73.1194905193,72.2321421259,72.6435941742,10449548,0.0,1.0,PYPL,tiingo
2025-06-30,74.32,74.54,73.66,73.94,7737966,73.6846174291,73.9027365872,73.0302599546,73.3078661559,7737966,0.0,1.0,PYPL,tiingo
2025-07-01,75.29,75.695,73.8,73.95,8633809,74.6463246264,75.0478621675,73.1690630552,73.3177806631,8633809,0.0,1.0,PYPL,tiingo
2025-07-02,76.31,76.865,75.0,75.01,9361506,75.6576043597,76.2078595087,74.3588039179,74.3687184251,9361506,0.0,1.0,PYPL,tiingo
2025-07-03,76.59,77.36,76.475,76.71,5263390,75.935210561,76.6986276145,75.8211937283,76.0541846472,5263390,0.0,1.0,PYPL,tiingo
2025-07-07,76.18,76.83,75.62,76.21,5918601,75.5287157662,76.1731587335,74.9735033636,75.5584592878,5918601,0.0,1.0,PYPL,tiingo
2025-07-08,75.03,76.515,74.51,76.44,8758384,74.3885474395,75.860851757,73.8729930656,75.7864929531,8758384,0.0,1.0,PYPL,tiingo
