date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2025-04-14,457.48,465.05,452.63,464.46,43941179,455.2939012796,462.8277275292,450.4670773284,462.2405468836,43941179,0.0,1.0,QQQ,tiingo
2025-04-15,457.99,462.38,456.15,458.54,35404210,455.8014642105,460.1704863025,453.9702567734,456.3488359988,35404210,0.0,1.0,QQQ,tiingo
2025-04-16,444.18,452.62,437.76,449.03,48980552,442.0574562175,450.457125114,435.668134616,446.8842801687,48980552,0.0,1.0,QQQ,tiingo
2025-04-17,444.1,447.75,441.36,447.17,44837047,441.9778385028,445.6103967341,439.2509317757,445.0331683029,44837047,0.0,1.0,QQQ,tiingo
2025-04-21,433.11,439.08,427.93,438.23,44149313,431.0403549515,436.9818269079,425.8851079273,436.1358886897,44149313,0.0,1.0,QQQ,tiingo
2025-04-22,444.48,447.58,437.62,438.82,52304388,442.3560226474,445.4412090905,435.5288036154,436.7230693353,52304388,0.0,1.0,QQQ,tiingo
2025-04-23,454.56,463.38,452.88,458.17,55801136,452.3878546945,461.1657077357,450.7158826867,455.9806040685,55801136,0.0,1.0,QQQ,tiingo
2025-04-24,467.35,467.66,455.83,456.48,45956136,465.1167368257,465.42525547,453.6517859147,454.2986798463,45956136,0.0,1.0,QQQ,tiingo
2025-04-25,472.56,473.09,465.39,466.97,38697063,470.3018404929,470.8293078525,463.1661028165,464.738552681,38697063,0.0,1.0,QQQ,tiingo
2025-04-28,472.41,474.808,466.03,473.03,33550778,470.1525572779,472.5390982748,463.8030445338,470.7695945665,33550778,0.0,1.0,QQQ,tiingo
2025-04-29,475.53,476.4243,469.59,470.17,30613120,473.2576481496,474.1476746773,467.3460328361,467.9232612674,30613120,0.0,1.0,QQQ,tiingo
2025-04-30,475.47,477.2,462.43,467.13,46810610,473.1979348636,474.9196679431,460.2202473741,464.8977881104,46810610,0.0,1.0,QQQ,tiingo
2025-05-01,481.68,487.18,480.74,483.41,43316539,479.378259964,484.8519778469,478.4427518168,481.0999930435,43316539,0.0,1.0,QQQ,tiingo
2025-05-02,488.83,490.91,484.83,486.54,39218082,486.4940932117,488.5641537929,482.5132074787,484.2150361296,39218082,0.0,1.0,QQQ,tiingo
2025-05-05,485.93,489.03,484.1,484.6,28309490,483.6079510553,486.6931374984,481.7866958325,482.2843065491,28309490,0.0,1.0,QQQ,tiingo
2025-05-06,481.41,485.05,478.19,479.56,32786310,479.1095501771,482.7321561941,475.904937162,477.2683905256,32786310,0.0,1.0,QQQ,tiingo
2025-05-07,483.3,485.8,476.782,482.08,38109864,480.9905186859,483.478572269,474.503665384,479.7763485373,38109864,0.0,1.0,QQQ,tiingo
2025-05-08,488.29,492.7,484.17,488.53,39577592,485.9566736378,490.3456001584,481.8563613328,486.1955267817,39577592,0.0,1.0,QQQ,tiingo
2025-05-09,487.97,491.54,486.195,490.21,27767416,485.6382027791,489.1911432958,483.8716847351,487.8674987896,27767416,0.0,1.0,QQQ,tiingo
2025-05-12,507.85,507.89,501.48,506.99,45090616,505.423204872,505.4630137293,499.0836443422,504.5673144394,45090616,0.0,1.0,QQQ,tiingo
2025-05-13,515.59,517.39,508.42,509.16,53269573,513.1262187653,514.9176173451,505.9904810889,506.7269449495,53269573,0.0,1.0,QQQ,tiingo
2025-05-14,518.68,519.2279,515.75,516.77,47014516,516.201452994,516.7467348173,513.2854541946,514.3005800565,47014516,0.0,1.0,QQQ,tiingo
2025-05-15,519.25,521.93,515.17,516.52,50153275,516.7687292109,519.435922652,512.7082257633,514.0517746982,50153275,0.0,1.0,QQQ,tiingo
2025-05-16,521.51,521.7,517.1,520.66,48394603,519.0179296501,519.2070217224,514.6290031295,518.1719914318,48394603,0.0,1.0,QQQ,tiingo
2025-05-19,522.01,522.53,514.24,514.24,52536154,519.5155403667,520.033055512,511.7826698304,511.7826698304,52536154,0.0,1.0,QQQ,tiingo
2025-05-20,520.27,520.93,516.66,519.47,42517561,517.7838550728,518.4407012188,514.1911056988,516.9876779263,42517561,0.0,1.0,QQQ,tiingo
2025-05-21,513.04,523.0,511.24,516.27,71292831,510.5884041105,520.5008095856,508.7970055307,513.8029693399,71292831,0.0,1.0,QQQ,tiingo
2025-05-22,514.0,517.71,512.3,513.66,55607169,511.5438166864,515.2360882037,509.8519402499,511.2054413991,55607169,0.0,1.0,QQQ,tiingo
2025-05-23,509.24,511.84,505.58,506.18,58368075,506.8065626642,509.3941383906,503.1640522185,503.7611850785,58368075,0.0,1.0,QQQ,tiingo
2025-05-27,521.22,521.71,514.59,516.15,47226323,518.7293154344,519.2169739367,512.130997332,513.6835427679,47226323,0.0,1.0,QQQ,tiingo
2025-05-28,518.91,523.68,518.39,522.18,46637175,516.4303539236,521.1775601602,515.9128387784,519.6847280103,46637175,0.0,1.0,QQQ,tiingo
2025-05-29,519.93,526.48,517.32,526.33,58724069,517.4454797855,523.9641801733,514.8479518448,523.8148969583,58724069,0.0,1.0,QQQ,tiingo
2025-05-30,519.11,520.68,511.93,519.44,67662836,516.6293982103,518.1918958605,509.4837083196,516.9578212833,67662836,0.0,1.0,QQQ,tiingo
2025-06-02,523.21,523.45,515.97,517.24,44762817,520.7098060866,520.9486592306,513.5044029099,514.7683341301,44762817,0.0,1.0,QQQ,tiingo
2025-06-03,527.3,528.74,522.69,523.56,44070330,524.7802617485,526.2133806124,520.1922909413,521.0581335882,44070330,0.0,1.0,QQQ,tiingo
2025-06-04,528.77,529.84,525.9694,528.01,41359322,526.2432372554,527.308124189,523.4560201095,525.4868689661,41359322,0.0,1.0,QQQ,tiingo
2025-06-05,524.79,533.05,522.66,530.18,61286623,522.2822559511,530.5027849897,520.1624342983,527.6464994763,61286623,0.0,1.0,QQQ,tiingo
2025-06-06,529.92,531.8,528.21,530.0,42467021,527.3877419036,529.2587581981,525.6859132528,527.4673596183,42467021,0.0,1.0,QQQ,tiingo
2025-06-09,530.7,532.35,529.01,530.14,33688671,528.1640146216,529.8061299864,526.4820903994,527.6066906189,33688671,0.0,1.0,QQQ,tiingo
2025-06-10,534.21,534.9,528.89,531.17,40664795,531.6572418522,532.3439446412,526.3626638274,528.6317686952,40664795,0.0,1.0,QQQ,tiingo
2025-06-11,532.41,536.78,530.11,535.62,53701033,529.8658432724,534.2149609357,527.5768339759,533.0605040731,53701033,0.0,1.0,QQQ,tiingo
2025-06-12,533.66,534.6438,530.84,531.09,34104887,531.109870064,532.08896891,528.3033456222,528.5521509805,34104887,0.0,1.0,QQQ,tiingo
