date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-05-26,335.94,342.494,335.2,340.56,1860952,335.94,342.494,335.2,340.56,1860952,0.0,1.0,AMGN,tiingo
2026-05-27,336.06,341.3877,335.99,339.52,1929982,336.06,341.3877,335.99,339.52,1929982,0.0,1.0,AMGN,tiingo
2026-05-28,336.48,337.95,334.155,336.44,2159406,336.48,337.95,334.155,336.44,2159406,0.0,1.0,AMGN,tiingo
2026-05-29,336.79,337.51,333.06,336.22,2954439,336.79,337.51,333.06,336.22,2954439,0.0,1.0,AMGN,tiingo
2026-06-01,329.13,333.83,326.35,333.38,2120812,329.13,333.83,326.35,333.38,2120812,0.0,1.0,AMGN,tiingo
2026-06-02,328.26,329.4599,322.3,326.17,1558780,328.26,329.4599,322.3,326.17,1558780,0.0,1.0,AMGN,tiingo
2026-06-03,338.22,338.7,325.98,327.98,2289315,338.22,338.7,325.98,327.98,2289315,0.0,1.0,AMGN,tiingo
2026-06-04,345.6,349.18,342.25,345.87,2907078,345.6,349.18,342.25,345.87,2907078,0.0,1.0,AMGN,tiingo
2026-06-05,349.58,356.5,347.66,348.76,3451237,349.58,356.5,347.66,348.76,3451237,0.0,1.0,AMGN,tiingo
2026-06-08,345.73,352.17,344.24,349.34,2488219,345.73,352.17,344.24,349.34,2488219,0.0,1.0,AMGN,tiingo
