date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-05-26,384.84,385.39,379.14,380.995,16150933,384.6057245635,385.1553897452,378.909194499,380.7630652481,16150933,0.0,1.0,GOOG,tiingo
2026-05-27,384.83,389.725,382.0,382.765,16893148,384.5957306511,389.4877507679,381.7674534436,382.5319877418,16893148,0.0,1.0,GOOG,tiingo
2026-05-28,386.12,390.0,381.25,383.86,20795414,385.8849453499,389.7625833587,381.0179100141,383.6263211489,20795414,0.0,1.0,GOOG,tiingo
2026-05-29,376.43,381.65,374.3,381.225,48018562,376.2008442403,381.4176665099,374.0721409004,380.9929252331,48018562,0.0,1.0,GOOG,tiingo
2026-06-01,372.58,374.6,369.71,372.575,19091887,372.3531879687,374.3719582722,369.4849351117,372.3481910125,19091887,0.0,1.0,GOOG,tiingo
2026-06-02,358.39,369.7899,355.0,363.16,34648621,358.1718262819,369.5647864717,354.7838899804,362.9389224937,34648621,0.0,1.0,GOOG,tiingo
2026-06-03,355.68,362.5,354.38,358.335,43031002,355.4634760231,362.2793242757,354.1642674119,358.1168597637,43031002,0.0,1.0,GOOG,tiingo
2026-06-04,369.27,369.86,354.8,355.44,37746166,369.0452029663,369.6348437976,354.5840117325,355.2236221257,37746166,0.0,1.0,GOOG,tiingo
2026-06-05,365.76,369.2,361.63,363.38,23411519,365.5373397161,368.9752455796,361.4098538975,363.1587885664,23411519,0.0,1.0,GOOG,tiingo
2026-06-08,361.17,363.38,357.89,362.485,18738969,361.17,363.38,357.89,362.485,18738969,0.22,1.0,GOOG,tiingo
