date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-05-26,231.72,235.915,230.62,233.13,6588076,231.72,235.915,230.62,233.13,6588076,0.0,1.0,HON,tiingo
2026-05-27,231.55,235.21,231.46,233.8,4479147,231.55,235.21,231.46,233.8,4479147,0.0,1.0,HON,tiingo
2026-05-28,233.0,233.48,228.31,230.9,4439408,233.0,233.48,228.31,230.9,4439408,0.0,1.0,HON,tiingo
2026-05-29,237.86,239.94,231.84,233.0,5491099,237.86,239.94,231.84,233.0,5491099,0.0,1.0,HON,tiingo
2026-06-01,236.54,237.265,232.7,234.0,5015746,236.54,237.265,232.7,234.0,5015746,0.0,1.0,HON,tiingo
2026-06-02,235.23,239.01,232.075,235.91,4685753,235.23,239.01,232.075,235.91,4685753,0.0,1.0,HON,tiingo
2026-06-03,223.26,237.49,221.39,233.9,6183391,223.26,237.49,221.39,233.9,6183391,0.0,1.0,HON,tiingo
2026-06-04,217.64,226.76,216.77,225.335,6762346,217.64,226.76,216.77,225.335,6762346,0.0,1.0,HON,tiingo
2026-06-05,213.97,218.99,213.0,218.865,4925880,213.97,218.99,213.0,218.865,4925880,0.0,1.0,HON,tiingo
2026-06-08,211.8,215.814,211.44,213.792,3757753,211.8,215.814,211.44,213.792,3757753,0.0,1.0,HON,tiingo
