date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-05-26,322.68,323.98,309.65,314.765,9770815,322.68,323.98,309.65,314.765,9770815,0.0,1.0,LRCX,tiingo
2026-05-27,318.93,333.33,314.28,331.665,8824610,318.93,333.33,314.28,331.665,8824610,0.0,1.0,LRCX,tiingo
2026-05-28,318.0,322.6399,308.74,317.45,8402842,318.0,322.6399,308.74,317.45,8402842,0.0,1.0,LRCX,tiingo
2026-05-29,318.18,324.25,316.811,322.0,10872171,318.18,324.25,316.811,322.0,10872171,0.0,1.0,LRCX,tiingo
2026-06-01,317.12,320.83,307.035,309.27,8052836,317.12,320.83,307.035,309.27,8052836,0.0,1.0,LRCX,tiingo
2026-06-02,334.41,335.55,320.86,324.42,8632370,334.41,335.55,320.86,324.42,8632370,0.0,1.0,LRCX,tiingo
2026-06-03,343.71,346.19,332.13,335.05,8630883,343.71,346.19,332.13,335.05,8630883,0.0,1.0,LRCX,tiingo
2026-06-04,336.41,342.369,324.71,329.75,8277041,336.41,342.369,324.71,329.75,8277041,0.0,1.0,LRCX,tiingo
2026-06-05,303.28,323.42,302.74,320.37,13308959,303.28,323.42,302.74,320.37,13308959,0.0,1.0,LRCX,tiingo
2026-06-08,324.45,330.68,315.0,318.545,11465093,324.45,330.68,315.0,318.545,11465093,0.0,1.0,LRCX,tiingo
