date,open,high,low,close,volume,symbol,source
2026-06-08,30.81,31.36,30.47,30.86,8162027,CPRT,twelve_data
2026-06-05,31.059999,31.35,30.64,30.96,12370200,CPRT,twelve_data
2026-06-04,30.89,31.76,30.64,30.77,10082400,CPRT,twelve_data
2026-06-03,30.62,30.78,29.97,30.35,9670200,CPRT,twelve_data
2026-06-02,31.99,32.0,30.44,30.86,10904200,CPRT,twelve_data
2026-06-01,32.71,32.95,31.95,32.32,9288900,CPRT,twelve_data
2026-05-29,33.12,33.55,32.73,32.77,16921100,CPRT,twelve_data
2026-05-28,32.85,33.28,32.47,33.28,10345300,CPRT,twelve_data
2026-05-27,33.38,34.049999,32.83,32.85,9914700,CPRT,twelve_data
2026-05-26,33.86,34.040001,32.98,33.24,12817100,CPRT,twelve_data
2026-05-22,34.18,35.66,33.65,33.79,15032900,CPRT,twelve_data
2026-05-21,33.0099983,34.53,32.62,34.4,16708700,CPRT,twelve_data
2026-05-20,33.02,33.25,32.37,33.040001,14844200,CPRT,twelve_data
2026-05-19,33.56,34.040001,33.040001,33.12,8732200,CPRT,twelve_data
2026-05-18,32.35,33.67,32.35,33.44,11513300,CPRT,twelve_data
2026-05-15,32.83,33.2,32.29,32.3,8054700,CPRT,twelve_data
2026-05-14,32.9,33.25,32.61,32.65,8853000,CPRT,twelve_data
2026-05-13,33.2,33.28,32.56,32.94,5863800,CPRT,twelve_data
2026-05-12,33.63,33.75,33.14,33.44,5804700,CPRT,twelve_data
2026-05-11,33.78,33.9,33.13,33.27,5943100,CPRT,twelve_data
2026-05-08,33.7,34.12,33.39,33.94,7146500,CPRT,twelve_data
2026-05-07,33.37,34.27,33.29,33.88,8767900,CPRT,twelve_data
2026-05-06,33.0099983,33.63,33.0099983,33.39,5864900,CPRT,twelve_data
2026-05-05,33.15,33.36,32.87,33.15,4620900,CPRT,twelve_data
2026-05-04,33.28,33.7,33.040001,33.29,5326500,CPRT,twelve_data
2026-05-01,33.49,33.7,33.13,33.27,7234000,CPRT,twelve_data
2026-04-30,33.31,33.44,32.89,33.11,7494000,CPRT,twelve_data
2026-04-29,33.24,33.38,33.029999,33.33,5392100,CPRT,twelve_data
2026-04-28,33.34,33.63,33.07,33.34,6400700,CPRT,twelve_data
2026-04-27,33.0099983,33.54,32.93,33.19,5860900,CPRT,twelve_data
2026-04-24,33.58,33.64,32.74,33.07,7970600,CPRT,twelve_data
2026-04-23,33.5,33.96,33.28,33.88,7100300,CPRT,twelve_data
2026-04-22,33.83,34.13,33.52,33.68,6113600,CPRT,twelve_data
2026-04-21,33.78,34.52,33.62,33.74,6325400,CPRT,twelve_data
2026-04-20,33.33,33.9,33.25,33.76,15484400,CPRT,twelve_data
2026-04-17,33.83,33.83,33.19,33.45,17874000,CPRT,twelve_data
2026-04-16,33.39,33.7,33.16,33.27,7082000,CPRT,twelve_data
2026-04-15,33.25,33.61,32.96,33.36,7729800,CPRT,twelve_data
2026-04-14,33.19,33.55,33.09,33.29,6982400,CPRT,twelve_data
2026-04-13,32.7,33.38,32.48,33.25,7188100,CPRT,twelve_data
2026-04-10,32.99,33.099998,32.43,32.76,5004500,CPRT,twelve_data
2026-04-09,33.07,33.15,32.46,32.99,5458100,CPRT,twelve_data
2026-04-08,33.73,34.049999,33.12,33.17,6424500,CPRT,twelve_data
2026-04-07,32.5,33.32,32.5,33.11,7549400,CPRT,twelve_data
2026-04-06,33.31,33.54,32.6,32.84,10206200,CPRT,twelve_data
2026-04-02,32.81,33.65,32.51,33.4,6532300,CPRT,twelve_data
2026-04-01,33.13,33.52,32.91,33.02,6103500,CPRT,twelve_data
2026-03-31,32.91,33.46,32.48,33.2,7187900,CPRT,twelve_data
2026-03-30,32.62,33.0,32.47,32.61,7866400,CPRT,twelve_data
2026-03-27,33.029999,33.040001,32.38,32.43,6477000,CPRT,twelve_data
2026-03-26,33.13,33.92,32.92,33.029999,8985300,CPRT,twelve_data
2026-03-25,33.13,33.57,32.24,33.080002,6185800,CPRT,twelve_data
2026-03-24,33.09,33.23,32.62,32.84,8094200,CPRT,twelve_data
2026-03-23,33.28,33.9,33.02,33.39,8386300,CPRT,twelve_data
2026-03-20,32.45,33.060001,32.45,32.86,13790100,CPRT,twelve_data
2026-03-19,32.98,33.32,32.2,32.52,8352900,CPRT,twelve_data
2026-03-18,33.52,33.69,32.98,33.0,8785200,CPRT,twelve_data
2026-03-17,34.19,34.62,33.81,34.049999,7798100,CPRT,twelve_data
2026-03-16,34.43,34.77,33.64,33.88,11510200,CPRT,twelve_data
2026-03-13,34.24,34.33,33.53,34.09,6607300,CPRT,twelve_data
2026-03-12,35.51,36.0099983,33.95,33.97,13883200,CPRT,twelve_data
2026-03-11,36.37,36.56,35.36,35.55,7941100,CPRT,twelve_data
2026-03-10,37.43,37.48,36.16,36.31,6852500,CPRT,twelve_data
2026-03-09,37.39,37.74,37.049999,37.57,11911400,CPRT,twelve_data
2026-03-06,37.69,37.83,36.86,37.74,10113800,CPRT,twelve_data
2026-03-05,37.84,38.42,37.67,38.02,9597300,CPRT,twelve_data
2026-03-04,38.34,38.53,37.7,37.94,10899800,CPRT,twelve_data
2026-03-03,38.31,38.84,37.86,38.48,8982700,CPRT,twelve_data
2026-03-02,37.63,38.6,37.41,38.31,9592000,CPRT,twelve_data
2026-02-27,36.96,38.12,36.56,38.09,10373800,CPRT,twelve_data
2026-02-26,36.38,37.19,36.21,37.15,11261400,CPRT,twelve_data
2026-02-25,35.38,36.09,35.19,35.84,13180200,CPRT,twelve_data
2026-02-24,35.53,35.74,34.73,35.28,12455900,CPRT,twelve_data
2026-02-23,36.42,36.44,35.12,35.36,13048100,CPRT,twelve_data
2026-02-20,34.3,36.73,33.81,36.48,25525100,CPRT,twelve_data
2026-02-19,37.68,38.07,37.34,37.65,11259600,CPRT,twelve_data
2026-02-18,37.47,37.94,37.2,37.75,15726500,CPRT,twelve_data
2026-02-17,37.7,37.96,36.82,37.52,11541800,CPRT,twelve_data
2026-02-13,37.060001,37.91,36.97,37.49,9365300,CPRT,twelve_data
2026-02-12,39.5,39.61,36.52,36.72,17906200,CPRT,twelve_data
2026-02-11,40.15,40.29,39.45,39.51,7621800,CPRT,twelve_data
2026-02-10,40.24,40.95,39.95,40.35,5309400,CPRT,twelve_data
2026-02-09,40.32,40.41,39.94,40.3,5432000,CPRT,twelve_data
2026-02-06,39.86,40.75,39.84,40.36,8328800,CPRT,twelve_data
2026-02-05,40.32,40.4,39.5,39.88,8909600,CPRT,twelve_data
2026-02-04,39.25,40.25,39.16,40.16,9599800,CPRT,twelve_data
2026-02-03,39.5,39.57,38.75,38.94,9833000,CPRT,twelve_data
2026-02-02,40.26,40.58,39.66,39.68,9874100,CPRT,twelve_data
2026-01-30,39.96,40.64,39.8,40.58,5963700,CPRT,twelve_data
