date,open,high,low,close,volume,symbol,source
2026-06-08,53.59,54.37,52.9,52.99,9520126,CTSH,twelve_data
2026-06-05,54.27,54.61,52.33,53.21,9231700,CTSH,twelve_data
2026-06-04,55.0099983,55.56,53.060001,53.4,7205700,CTSH,twelve_data
2026-06-03,54.9,55.0,52.85,53.51,7081000,CTSH,twelve_data
2026-06-02,55.9,55.9,53.42,55.14,9205200,CTSH,twelve_data
2026-06-01,56.21,57.65,55.0099983,57.16,9403700,CTSH,twelve_data
2026-05-29,54.0099983,56.14,53.15,55.76,14747300,CTSH,twelve_data
2026-05-28,53.17,54.15,52.68,53.85,9244600,CTSH,twelve_data
2026-05-27,51.89,53.61,51.81,53.16,9529700,CTSH,twelve_data
2026-05-26,52.049999,52.52,51.099998,51.81,9871000,CTSH,twelve_data
2026-05-22,52.25,53.32,52.060001,52.75,9235800,CTSH,twelve_data
2026-05-21,51.58,52.34,50.11,52.32,8986100,CTSH,twelve_data
2026-05-20,51.060001,51.53,48.93,51.3,7514500,CTSH,twelve_data
2026-05-19,51.68,53.19,50.81,50.88,10864500,CTSH,twelve_data
2026-05-18,47.96,51.5,47.31,51.4,15305800,CTSH,twelve_data
2026-05-15,46.76,47.5,46.56,47.13,8909900,CTSH,twelve_data
2026-05-14,46.4,46.84,45.73,46.049999,6969400,CTSH,twelve_data
2026-05-13,47.42,47.55,45.48,45.97,8991700,CTSH,twelve_data
2026-05-12,49.67,49.73,47.5,47.73,6166100,CTSH,twelve_data
2026-05-11,51.17,51.45,49.029999,49.25,8339300,CTSH,twelve_data
2026-05-08,51.76,51.92,50.19,51.68,5390100,CTSH,twelve_data
2026-05-07,51.41,52.79,51.41,51.94,7547400,CTSH,twelve_data
2026-05-06,51.55,52.0,50.86,51.33,7902700,CTSH,twelve_data
2026-05-05,52.28,52.28,50.81,51.87,6304500,CTSH,twelve_data
2026-05-04,52.57,53.24,51.43,51.86,6002000,CTSH,twelve_data
2026-05-01,54.24,54.65,52.28,52.43,8449100,CTSH,twelve_data
2026-04-30,54.54,54.54,52.34,52.9,8342400,CTSH,twelve_data
2026-04-29,53.59,55.12,52.44,54.7,8194600,CTSH,twelve_data
2026-04-28,55.63,56.23,55.080002,55.12,8626100,CTSH,twelve_data
2026-04-27,54.64,55.7,54.48,54.63,6058500,CTSH,twelve_data
2026-04-24,55.0099983,55.36,54.26,55.11,6355600,CTSH,twelve_data
2026-04-23,56.54,56.62,54.48,55.099998,9253200,CTSH,twelve_data
2026-04-22,59.77,60.45,58.12,58.81,5694800,CTSH,twelve_data
2026-04-21,60.36,61.86,60.080002,60.45,5415700,CTSH,twelve_data
2026-04-20,61.22,61.67,59.79,60.26,8129700,CTSH,twelve_data
2026-04-17,61.17,61.88,60.73,61.3,5037900,CTSH,twelve_data
2026-04-16,60.73,61.23,60.35,60.53,4790900,CTSH,twelve_data
2026-04-15,60.8,61.51,60.26,60.39,4855500,CTSH,twelve_data
2026-04-14,60.89,61.64,59.82,60.040001,8440900,CTSH,twelve_data
2026-04-13,57.94,60.59,57.51,60.53,6025600,CTSH,twelve_data
2026-04-10,59.09,59.37,57.39,57.92,5190400,CTSH,twelve_data
2026-04-09,60.0,60.3,58.080002,59.2,5866200,CTSH,twelve_data
2026-04-08,61.9,62.78,60.9,61.0,5312100,CTSH,twelve_data
2026-04-07,62.0099983,62.28,61.0099983,61.49,3556000,CTSH,twelve_data
2026-04-06,62.29,62.95,61.38,62.35,3962400,CTSH,twelve_data
