date,open,high,low,close,volume,symbol,source
2026-06-08,156.39999,157.36,152.39999,152.49001,4197308,DASH,twelve_data
2026-06-05,159.52,161.535,155.089996,156.8,6439700,DASH,twelve_data
2026-06-04,155.49001,162.53,154.64999,160.070007,4552000,DASH,twelve_data
2026-06-03,155.64,156.224,151.66,154.58,4136000,DASH,twelve_data
2026-06-02,160.53999,162.17999,154.89999,156.95,3810900,DASH,twelve_data
2026-06-01,161.53999,166.52,157.405,164.78,4522800,DASH,twelve_data
2026-05-29,156.61,163.23,155.12,159.28999,5736700,DASH,twelve_data
2026-05-28,156.92,160.35001,154.50999,156.7,4418900,DASH,twelve_data
2026-05-27,153.8,160.96001,153.73,157.58,3840000,DASH,twelve_data
2026-05-26,160.71001,161.039993,153.35001,154.0,3970200,DASH,twelve_data
2026-05-22,160.78999,165.24001,159.84,160.25,5102600,DASH,twelve_data
2026-05-21,157.7,162.32001,155.19,159.27,4162400,DASH,twelve_data
2026-05-20,153.0099945,161.66,146.81,160.73,7593600,DASH,twelve_data
2026-05-19,161.24001,162.69,154.39999,154.64999,6070300,DASH,twelve_data
2026-05-18,157.75,163.97,157.36501,162.67,4790400,DASH,twelve_data
2026-05-15,153.125,160.11,152.96001,159.2,5172700,DASH,twelve_data
2026-05-14,149.059998,154.92,148.31,153.7,4298300,DASH,twelve_data
2026-05-13,153.75999,154.25999,148.0,149.070007,6118700,DASH,twelve_data
2026-05-12,157.78999,159.25,154.070007,155.19,4968100,DASH,twelve_data
2026-05-11,162.34,162.85001,156.58,157.33,4356300,DASH,twelve_data
2026-05-08,169.75,171.35001,162.0,163.92999,6027500,DASH,twelve_data
2026-05-07,181.82001,183.5,165.50999,171.35001,12003100,DASH,twelve_data
2026-05-06,168.25,172.57001,164.36,167.97,9015200,DASH,twelve_data
2026-05-05,172.50999,174.23,164.575,166.14,5793900,DASH,twelve_data
2026-05-04,176.050003,176.42,172.0,172.57001,4165500,DASH,twelve_data
2026-05-01,170.0,177.070007,170.0,175.84,3199200,DASH,twelve_data
2026-04-30,169.33,171.228,167.0099945,168.64999,3312500,DASH,twelve_data
2026-04-29,169.435,169.88,164.080002,169.33,3864200,DASH,twelve_data
2026-04-28,173.13,177.5,170.44,171.97,3470000,DASH,twelve_data
2026-04-27,178.715,181.0,173.34,174.059998,4206200,DASH,twelve_data
2026-04-24,176.0099945,177.99001,175.28999,176.78,2148800,DASH,twelve_data
2026-04-23,181.11,182.60001,173.22,177.0,4103600,DASH,twelve_data
2026-04-22,183.080002,184.17,179.39,182.27,3413900,DASH,twelve_data
2026-04-21,189.78,190.53,182.0,182.45,3566400,DASH,twelve_data
2026-04-20,181.64,191.17,181.32001,189.8,3715000,DASH,twelve_data
2026-04-17,184.91499,188.44,183.47701,183.89,4424100,DASH,twelve_data
2026-04-16,182.035004,182.95,178.0,179.33,4817800,DASH,twelve_data
2026-04-15,165.36,180.96001,164.19,179.935,6997300,DASH,twelve_data
2026-04-14,159.74001,166.46001,159.74001,163.55,3094400,DASH,twelve_data
2026-04-13,150.46001,159.75999,150.261,159.61,3694800,DASH,twelve_data
2026-04-10,154.55,155.41,147.71001,152.58,3177300,DASH,twelve_data
2026-04-09,159.505,161.59,154.36,154.55,3849900,DASH,twelve_data
2026-04-08,163.89999,168.0,159.61,160.69,4029700,DASH,twelve_data
2026-04-07,154.69,157.47,152.28,155.89999,3287500,DASH,twelve_data
2026-04-06,156.46001,160.0,154.089996,155.070007,3044600,DASH,twelve_data
2026-04-02,147.48,156.85001,146.48,156.45,5051500,DASH,twelve_data
2026-04-01,152.52,153.92999,149.41,150.5,4394000,DASH,twelve_data
2026-03-31,150.0,152.95,147.86,150.14999,4987800,DASH,twelve_data
2026-03-30,147.38,149.85001,144.14999,148.0099945,5621000,DASH,twelve_data
2026-03-27,149.78,151.0,143.3,146.60001,6237400,DASH,twelve_data
2026-03-26,150.98,155.23,149.22,151.96001,4415000,DASH,twelve_data
2026-03-25,157.87,159.050003,150.87,152.92,2913600,DASH,twelve_data
2026-03-24,157.36,159.080002,153.82001,154.73,3260300,DASH,twelve_data
2026-03-23,159.25999,164.95,157.5,159.98,3598700,DASH,twelve_data
2026-03-20,157.78,158.911,153.0,156.64,7569500,DASH,twelve_data
2026-03-19,162.58,165.32001,156.41,159.25999,5040400,DASH,twelve_data
2026-03-18,168.72,169.69,164.77,164.99001,2665500,DASH,twelve_data
2026-03-17,168.59,174.065002,167.66,169.81,2945600,DASH,twelve_data
2026-03-16,163.48,168.11501,162.12,167.78,3205200,DASH,twelve_data
2026-03-13,163.0099945,165.080002,159.45,161.36,2564200,DASH,twelve_data
2026-03-12,167.705,169.3,161.45,161.75,3954200,DASH,twelve_data
2026-03-11,170.10001,173.56,167.28,169.48,2952600,DASH,twelve_data
2026-03-10,174.87,175.039993,168.99001,169.92999,3747500,DASH,twelve_data
2026-03-09,176.61,177.10001,170.24001,176.59,4850200,DASH,twelve_data
2026-03-06,180.23,181.28999,176.59,179.17,2897400,DASH,twelve_data
2026-03-05,185.0,191.080002,181.58,183.48,5909700,DASH,twelve_data
2026-03-04,176.5,179.12,172.66,177.75,3087300,DASH,twelve_data
2026-03-03,173.17,177.22,168.0,175.46001,3245000,DASH,twelve_data
2026-03-02,173.97,178.059998,172.86,176.41,3059500,DASH,twelve_data
2026-02-27,175.57001,179.5,175.0,176.47,5323800,DASH,twelve_data
2026-02-26,174.595,183.25,171.10001,180.41,5542700,DASH,twelve_data
2026-02-25,166.31,175.13,165.19,173.059998,5714500,DASH,twelve_data
2026-02-24,166.054993,172.71001,161.17999,164.38,5931800,DASH,twelve_data
2026-02-23,167.95,168.57001,161.388,164.66,10339400,DASH,twelve_data
2026-02-20,174.25,178.56,171.5,176.28999,7761300,DASH,twelve_data
2026-02-19,185.0,185.894,175.16,176.19,17971000,DASH,twelve_data
2026-02-18,162.59,175.17,162.070007,173.38,14407100,DASH,twelve_data
2026-02-17,160.75,164.27,158.0,162.34,7509400,DASH,twelve_data
2026-02-13,161.295,166.79201,159.465,160.34,7292800,DASH,twelve_data
2026-02-12,176.66,178.59,160.702,161.14,9976600,DASH,twelve_data
2026-02-11,185.64,185.7,174.63,175.47,6051000,DASH,twelve_data
2026-02-10,185.62,190.69701,184.24001,185.64,4488200,DASH,twelve_data
2026-02-09,181.28,186.325,178.14,186.24001,6403600,DASH,twelve_data
2026-02-06,186.31,188.87,180.10001,182.47,7203400,DASH,twelve_data
2026-02-05,194.36,194.5,182.8,183.86,6931500,DASH,twelve_data
2026-02-04,201.78999,201.94,190.52,195.83,6291200,DASH,twelve_data
2026-02-03,207.11,208.13499,198.33,202.0,4386200,DASH,twelve_data
2026-02-02,207.88,211.96001,203.55,207.67,3033700,DASH,twelve_data
2026-01-30,206.8,210.0,202.705,204.62,3915100,DASH,twelve_data
2026-01-29,206.25,209.42999,202.5,207.67999,3308000,DASH,twelve_data
2026-01-28,208.97501,212.5,205.33,206.66,3269900,DASH,twelve_data
2026-01-27,210.054993,210.054993,204.82001,207.36,2917500,DASH,twelve_data
2026-01-26,207.014999,211.78,206.64999,209.41,2874100,DASH,twelve_data
2026-01-23,206.81,211.42,205.99001,207.23,2295600,DASH,twelve_data
2026-01-22,209.59,214.21001,207.17999,207.64999,4314300,DASH,twelve_data
2026-01-21,203.65199,208.35001,201.23,206.48,5045600,DASH,twelve_data
2026-01-20,201.32001,207.64999,200.2,205.67,5435100,DASH,twelve_data
2026-01-16,210.24001,211.050003,204.029999,205.32001,5155100,DASH,twelve_data
2026-01-15,213.78999,214.16,207.62,210.11,3949400,DASH,twelve_data
2026-01-14,215.14,215.505,207.81,213.13,4339700,DASH,twelve_data
2026-01-13,212.91499,217.67,210.085007,217.39999,2641600,DASH,twelve_data
2026-01-12,212.50999,216.10001,208.11,214.87,4530500,DASH,twelve_data
2026-01-09,222.33,222.45,212.50999,215.56,4887000,DASH,twelve_data
2026-01-08,227.66,228.31,221.14999,224.10001,3711300,DASH,twelve_data
2026-01-07,228.0099945,234.42999,224.985,230.52,3107400,DASH,twelve_data
2026-01-06,226.50999,232.27,225.36,229.38,4629600,DASH,twelve_data
2026-01-05,220.5,230.96001,218.22,226.72,4917000,DASH,twelve_data
2026-01-02,229.73,230.776,219.64999,219.78999,3794400,DASH,twelve_data
2025-12-31,228.405,228.612,226.080002,226.48,2445400,DASH,twelve_data
2025-12-30,230.24001,231.52,228.0,228.13,2546500,DASH,twelve_data
2025-12-29,233.070007,235.0,230.089996,231.0099945,2717200,DASH,twelve_data
2025-12-26,232.52,234.69501,231.75999,233.95,1706700,DASH,twelve_data
2025-12-24,231.98,233.24001,230.57001,232.059998,1223400,DASH,twelve_data
2025-12-23,233.28999,233.98,230.10001,232.7,2694900,DASH,twelve_data
2025-12-22,235.86,235.98,232.0,234.89,3840400,DASH,twelve_data
2025-12-19,232.235,239.0,231.46001,234.25,8727700,DASH,twelve_data
2025-12-18,224.11,233.49001,223.64999,230.94,3326900,DASH,twelve_data
2025-12-17,228.99001,229.91,221.17999,221.3,4010400,DASH,twelve_data
2025-12-16,226.88,229.95,225.0,227.94,4154300,DASH,twelve_data
2025-12-15,228.58,229.77,221.17999,226.98,5021500,DASH,twelve_data
2025-12-12,225.0099945,230.17999,224.52,227.49001,3672200,DASH,twelve_data
2025-12-11,219.5,226.60001,216.3,224.52,4250200,DASH,twelve_data
2025-12-10,228.965,229.050003,216.72,220.3,6952800,DASH,twelve_data
2025-12-09,225.0,232.63,222.64,229.99001,5384300,DASH,twelve_data
2025-12-08,224.64999,225.64999,219.38,225.42999,5334100,DASH,twelve_data
2025-12-05,221.19,227.71001,220.48,225.0,4487800,DASH,twelve_data
2025-12-04,220.89999,223.17999,217.029999,221.19,4925300,DASH,twelve_data
2025-12-03,216.355,223.99001,215.71001,222.48,7354800,DASH,twelve_data
2025-12-02,205.58,218.67,202.28999,216.98,10330200,DASH,twelve_data
2025-12-01,204.5,208.35001,200.55,205.58,6384400,DASH,twelve_data
2025-11-28,196.99001,199.78999,196.23801,198.37,1383900,DASH,twelve_data
2025-11-26,196.95,200.49001,195.325,195.98,3646200,DASH,twelve_data
2025-11-25,188.080002,196.67,187.22,195.49001,5652600,DASH,twelve_data
2025-11-24,190.48,190.48,184.86,188.080002,8715900,DASH,twelve_data
2025-11-21,187.63,191.31,182.039993,189.63,6709000,DASH,twelve_data
2025-11-20,203.25,203.61,186.83,187.73,14574500,DASH,twelve_data
2025-11-19,216.044998,216.498,201.64999,202.315,9410100,DASH,twelve_data
2025-11-18,210.8,214.34,207.2,212.080002,7355000,DASH,twelve_data
2025-11-17,207.33501,211.0,204.42,210.64999,10819600,DASH,twelve_data
2025-11-14,196.69,209.32001,192.89999,206.96001,11454400,DASH,twelve_data
2025-11-13,197.75,203.0,195.0,195.21001,6346100,DASH,twelve_data
2025-11-12,201.25,201.99001,196.0099945,196.50999,5119300,DASH,twelve_data
2025-11-11,202.23,203.60001,198.85001,200.63,5152100,DASH,twelve_data
2025-11-10,207.52,208.64,201.41,204.080002,6391900,DASH,twelve_data
2025-11-07,195.66,206.685,195.56,204.31,9524100,DASH,twelve_data
2025-11-06,211.25999,211.25999,194.67999,196.46001,18356900,DASH,twelve_data
2025-11-05,241.50999,241.50999,234.78999,238.0,8126700,DASH,twelve_data
2025-11-04,238.41,244.17,236.39,239.92999,4975900,DASH,twelve_data
2025-11-03,255.89,258.0,241.0,242.050003,5147000,DASH,twelve_data
