date,open,high,low,close,volume,symbol,source
2026-06-08,236.72,240.78999,228.74001,231.67999,5631194,DDOG,twelve_data
2026-06-05,237.39999,241.61,230.57001,234.11,6792800,DDOG,twelve_data
2026-06-04,250.070007,251.39999,240.28999,243.60001,6976900,DDOG,twelve_data
2026-06-03,260.27499,262.20001,245.63,250.33,8862600,DDOG,twelve_data
2026-06-02,264.25,274.98001,260.37,269.13,9011200,DDOG,twelve_data
2026-06-01,251.77499,278.70499,249.44,277.48999,11191000,DDOG,twelve_data
2026-05-29,234.0,249.80701,228.5,247.35001,9416200,DDOG,twelve_data
2026-05-28,232.63,235.0,222.35001,225.24001,5949800,DDOG,twelve_data
2026-05-27,221.16,226.48,219.49001,221.81,4577500,DDOG,twelve_data
2026-05-26,222.495,225.89999,218.33,223.64999,3631100,DDOG,twelve_data
2026-05-22,220.948,224.769,218.72,222.32001,4870800,DDOG,twelve_data
2026-05-21,211.5,219.155,209.56,218.039993,4179200,DDOG,twelve_data
2026-05-20,212.39,220.35001,210.56,212.24001,5274500,DDOG,twelve_data
2026-05-19,210.24899,215.67999,207.10001,215.14999,7169200,DDOG,twelve_data
2026-05-18,205.14,210.825,203.2,208.82001,5553100,DDOG,twelve_data
2026-05-15,200.49001,211.28,199.91,207.98,5493000,DDOG,twelve_data
2026-05-14,204.45,205.0,197.55,202.84,4939900,DDOG,twelve_data
2026-05-13,199.49001,205.438,195.39,205.31,4578300,DDOG,twelve_data
2026-05-12,200.7,203.0,195.0099945,199.94,4803600,DDOG,twelve_data
2026-05-11,196.25999,203.58,193.16,202.32001,7740100,DDOG,twelve_data
2026-05-08,185.5,200.36,185.0,200.16,12042600,DDOG,twelve_data
2026-05-07,187.99001,198.60001,179.47,188.73,25970000,DDOG,twelve_data
2026-05-06,143.72,145.69,140.714,143.71001,8224000,DDOG,twelve_data
2026-05-05,147.71001,150.0,144.5,145.73,5431300,DDOG,twelve_data
2026-05-04,141.52499,147.33,139.0099945,146.69,6723800,DDOG,twelve_data
2026-05-01,138.5,142.75,135.38,140.53,6247800,DDOG,twelve_data
2026-04-30,133.050003,137.0,128.0,132.19,7160500,DDOG,twelve_data
2026-04-29,130.35001,134.63,128.67999,133.98,3488000,DDOG,twelve_data
2026-04-28,133.39999,136.0,131.059998,131.55,3296100,DDOG,twelve_data
2026-04-27,129.39999,133.58,128.0,132.66,3687900,DDOG,twelve_data
2026-04-24,128.13,129.61,124.32,129.48,3195600,DDOG,twelve_data
2026-04-23,127.83,130.0,124.45,127.86,6160300,DDOG,twelve_data
2026-04-22,129.59,133.325,129.36,132.14,4649400,DDOG,twelve_data
2026-04-21,131.34,135.96001,128.67,129.28999,4722800,DDOG,twelve_data
2026-04-20,125.010002,129.82001,123.5,129.74001,3921000,DDOG,twelve_data
2026-04-17,126.65,128.42999,123.81,126.61,4050600,DDOG,twelve_data
2026-04-16,128.39,128.75,122.595,123.47,6308200,DDOG,twelve_data
2026-04-15,113.99,121.18,112.45,121.059998,5483000,DDOG,twelve_data
2026-04-14,110.245,113.16,108.79,110.57,4158100,DDOG,twelve_data
2026-04-13,105.33,110.27,103.3,110.080002,4502400,DDOG,twelve_data
