date,open,high,low,close,volume,symbol,source
2026-06-08,94.029999,96.77,92.070099,94.17,5009374,INSM,twelve_data
2026-06-05,103.78,105.0,92.81,94.22,7956300,INSM,twelve_data
2026-06-04,103.39,105.29,102.89,104.92,1849300,INSM,twelve_data
2026-06-03,102.27,105.2,101.73,103.86,2978400,INSM,twelve_data
2026-06-02,104.089996,104.45,100.56,103.73,2406200,INSM,twelve_data
2026-06-01,106.089996,106.79,102.81,106.029999,3357500,INSM,twelve_data
2026-05-29,107.85,108.46,106.26,106.91,4534800,INSM,twelve_data
2026-05-28,106.9,109.95,106.099998,108.37,2230800,INSM,twelve_data
2026-05-27,107.8,109.78,106.040001,106.4,3094500,INSM,twelve_data
2026-05-26,107.82,109.74,105.0,108.87,2273700,INSM,twelve_data
2026-05-22,108.47,110.83,106.2,106.24,2432500,INSM,twelve_data
2026-05-21,107.55,110.96,106.56,109.53,3689600,INSM,twelve_data
2026-05-20,108.67,109.96,106.71,107.91,2989100,INSM,twelve_data
2026-05-19,107.81,109.75,105.010002,107.41,3647500,INSM,twelve_data
2026-05-18,107.36,107.74,104.48,107.15,3834600,INSM,twelve_data
2026-05-15,114.3,114.51,108.22,109.14,3688400,INSM,twelve_data
2026-05-14,117.54,119.12,114.88,115.62,2761300,INSM,twelve_data
2026-05-13,117.5,122.94,112.0,117.99,6727900,INSM,twelve_data
2026-05-12,103.65,117.63,103.46,116.0,8274800,INSM,twelve_data
2026-05-11,100.0,108.2,98.9,103.89,7898400,INSM,twelve_data
2026-05-08,108.010002,108.63,98.98,101.35,8588300,INSM,twelve_data
2026-05-07,116.91,125.36,103.5,105.0,13718300,INSM,twelve_data
2026-05-06,138.46001,142.58,136.73,137.089996,2301900,INSM,twelve_data
2026-05-05,140.86,142.89999,138.41,139.44,1238300,INSM,twelve_data
2026-05-04,133.88,141.28,133.46001,140.0099945,1881700,INSM,twelve_data
2026-05-01,135.64999,137.62,132.39,133.25999,1562400,INSM,twelve_data
2026-04-30,136.0,137.22,134.94,136.33,1337000,INSM,twelve_data
2026-04-29,134.42,136.98,132.77,135.029999,1487500,INSM,twelve_data
2026-04-28,136.53999,138.78999,132.57001,134.94,1357400,INSM,twelve_data
2026-04-27,135.58,139.53999,135.17999,135.98,1116800,INSM,twelve_data
2026-04-24,142.28999,143.27,134.59,135.17,2500900,INSM,twelve_data
2026-04-23,144.48,145.42999,142.059998,143.83,1152500,INSM,twelve_data
2026-04-22,142.39,145.32001,141.42999,144.48,1820000,INSM,twelve_data
2026-04-21,142.42,144.070007,139.59,140.98,1590900,INSM,twelve_data
2026-04-20,143.3,144.059998,140.64999,142.82001,1071000,INSM,twelve_data
2026-04-17,144.25,145.62,143.28,144.48,2048500,INSM,twelve_data
2026-04-16,146.020004,146.17999,142.029999,142.78999,2160800,INSM,twelve_data
2026-04-15,154.57001,154.58,146.25,146.74001,2229200,INSM,twelve_data
2026-04-14,152.21001,153.87,150.92999,153.39999,1309600,INSM,twelve_data
2026-04-13,154.81,156.64,148.50999,151.14,2079300,INSM,twelve_data
2026-04-10,159.59,160.21001,152.99001,154.81,1827000,INSM,twelve_data
2026-04-09,159.14999,160.49001,157.75,159.59,1564100,INSM,twelve_data
2026-04-08,162.95,163.029999,154.73,160.17999,3356000,INSM,twelve_data
2026-04-07,162.82001,164.029999,159.53,163.029999,1352200,INSM,twelve_data
2026-04-06,161.69,166.19,161.33,163.81,1852500,INSM,twelve_data
2026-04-02,161.50999,164.53,157.52,162.42999,1809300,INSM,twelve_data
