date,open,high,low,close,volume,symbol,source
2026-06-08,30.56,30.935,30.53,30.75,8835513,KDP,twelve_data
2026-06-05,30.38,30.94,30.21,30.53,9765400,KDP,twelve_data
2026-06-04,30.88,30.92,30.0,30.059999,9879100,KDP,twelve_data
2026-06-03,30.3,31.040001,30.19,30.55,12286700,KDP,twelve_data
2026-06-02,30.21,30.52,29.92,30.36,10208100,KDP,twelve_data
2026-06-01,29.81,30.33,29.67,30.2,10422500,KDP,twelve_data
2026-05-29,29.99,30.29,29.74,30.030001,18202700,KDP,twelve_data
2026-05-28,29.95,30.23,29.77,30.040001,9145300,KDP,twelve_data
2026-05-27,29.75,30.54,29.57,30.1,9952500,KDP,twelve_data
2026-05-26,29.01,30.22,29.01,29.55,14386000,KDP,twelve_data
2026-05-22,28.72,29.28,28.66,29.12,5933200,KDP,twelve_data
2026-05-21,28.75,28.91,28.28,28.78,9058000,KDP,twelve_data
2026-05-20,28.86,28.98,28.54,28.69,15343100,KDP,twelve_data
2026-05-19,29.49,29.67,28.81,28.85,12356300,KDP,twelve_data
2026-05-18,29.02,29.5,28.95,29.43,8734900,KDP,twelve_data
2026-05-15,29.33,29.33,28.77,28.93,8004600,KDP,twelve_data
2026-05-14,29.45,29.5,28.91,29.1,7724900,KDP,twelve_data
2026-05-13,29.13,29.68,29.0,29.31,8361100,KDP,twelve_data
2026-05-12,28.93,29.45,28.74,29.17,9260300,KDP,twelve_data
2026-05-11,28.83,29.0,28.55,28.71,9720900,KDP,twelve_data
2026-05-08,28.52,29.17,28.46,28.83,9205700,KDP,twelve_data
2026-05-07,28.44,28.72,27.84,28.52,9434500,KDP,twelve_data
2026-05-06,28.81,29.14,28.28,28.56,11812200,KDP,twelve_data
2026-05-05,28.8,29.27,28.44,28.92,8820100,KDP,twelve_data
2026-05-04,28.97,29.33,28.59,28.87,7953800,KDP,twelve_data
2026-05-01,29.53,29.57,28.76,29.09,7140100,KDP,twelve_data
2026-04-30,28.97,29.58,28.97,29.4,10522100,KDP,twelve_data
2026-04-29,28.74,29.0,28.56,28.93,15313900,KDP,twelve_data
2026-04-28,28.64,29.29,28.47,28.79,13133700,KDP,twelve_data
2026-04-27,29.049999,29.19,28.0,28.15,20865900,KDP,twelve_data
2026-04-24,28.53,29.28,28.3,29.22,15054100,KDP,twelve_data
2026-04-23,27.29,28.75,27.12,28.53,20269900,KDP,twelve_data
2026-04-22,26.65,26.96,26.43,26.54,14321600,KDP,twelve_data
2026-04-21,26.46,26.74,26.21,26.44,16324200,KDP,twelve_data
2026-04-20,26.53,26.81,26.38,26.5,9917100,KDP,twelve_data
2026-04-17,26.040001,26.63,26.0,26.53,11331300,KDP,twelve_data
2026-04-16,25.94,26.35,25.84,26.040001,10868900,KDP,twelve_data
2026-04-15,25.87,26.18,25.56,26.0,9802700,KDP,twelve_data
2026-04-14,25.81,26.18,25.56,26.02,11505500,KDP,twelve_data
2026-04-13,26.53,26.53,25.69,26.040001,13259200,KDP,twelve_data
2026-04-10,26.46,26.58,26.16,26.57,11870800,KDP,twelve_data
2026-04-09,25.6,26.55,25.6,26.42,9151500,KDP,twelve_data
2026-04-08,25.6,25.95,25.56,25.84,8623700,KDP,twelve_data
2026-04-07,25.7,25.76,25.3,25.47,8055700,KDP,twelve_data
2026-04-06,25.17,25.75,24.88,25.7,10558800,KDP,twelve_data
2026-04-02,25.73,25.73,25.11,25.31,10579500,KDP,twelve_data
2026-04-01,25.97,26.21,25.53,25.69,11980100,KDP,twelve_data
2026-03-31,26.59,26.6,25.84,26.33,9131100,KDP,twelve_data
2026-03-30,26.28,26.7,25.99,26.45,11534500,KDP,twelve_data
2026-03-27,26.07,26.57,26.0,26.23,10147900,KDP,twelve_data
2026-03-26,26.44,26.68,26.19,26.27,9865800,KDP,twelve_data
2026-03-25,26.32,26.48,26.0,26.37,9108000,KDP,twelve_data
2026-03-24,26.43,26.79,26.14,26.21,8879300,KDP,twelve_data
2026-03-23,26.94,26.94,26.19,26.55,11704600,KDP,twelve_data
2026-03-20,27.18,27.28,26.56,26.59,18317100,KDP,twelve_data
2026-03-19,27.1,27.5,27.040001,27.15,10211900,KDP,twelve_data
2026-03-18,27.23,27.31,26.84,27.07,11587700,KDP,twelve_data
2026-03-17,27.78,27.8,27.46,27.57,7220500,KDP,twelve_data
2026-03-16,27.62,28.02,27.51,27.55,10204900,KDP,twelve_data
2026-03-13,27.15,27.46,27.040001,27.41,9508200,KDP,twelve_data
2026-03-12,27.45,27.64,26.92,26.93,10743600,KDP,twelve_data
2026-03-11,28.02,28.08,27.33,27.65,8802500,KDP,twelve_data
2026-03-10,28.0,28.33,27.85,28.040001,7821500,KDP,twelve_data
2026-03-09,28.11,28.24,27.48,28.19,10723500,KDP,twelve_data
2026-03-06,27.93,28.33,27.72,28.25,7853600,KDP,twelve_data
2026-03-05,28.71,28.77,28.02,28.049999,12280800,KDP,twelve_data
2026-03-04,29.63,29.63,28.84,28.87,9101300,KDP,twelve_data
2026-03-03,29.95,30.1,29.55,29.57,8075000,KDP,twelve_data
2026-03-02,30.16,30.35,29.94,29.97,8463700,KDP,twelve_data
2026-02-27,30.32,30.64,30.21,30.28,13256600,KDP,twelve_data
2026-02-26,30.34,30.73,30.049999,30.33,15557900,KDP,twelve_data
2026-02-25,30.99,31.12,29.96,30.15,15931400,KDP,twelve_data
2026-02-24,30.68,31.5,30.32,31.030001,19243600,KDP,twelve_data
2026-02-23,29.54,30.08,29.41,29.77,12729400,KDP,twelve_data
2026-02-20,29.15,29.58,29.0,29.54,6802900,KDP,twelve_data
2026-02-19,29.14,29.22,28.85,29.1,7446600,KDP,twelve_data
2026-02-18,29.13,29.4,28.84,29.14,6377900,KDP,twelve_data
2026-02-17,29.75,29.91,28.88,29.13,10660300,KDP,twelve_data
2026-02-13,29.86,30.1,29.36,29.69,9094700,KDP,twelve_data
2026-02-12,29.71,30.15,29.71,29.91,10041200,KDP,twelve_data
2026-02-11,28.7,29.95,28.65,29.89,14315900,KDP,twelve_data
2026-02-10,28.4,28.83,28.3,28.71,13807400,KDP,twelve_data
2026-02-09,28.33,28.54,27.85,28.51,12899900,KDP,twelve_data
2026-02-06,27.99,28.44,27.92,28.41,7810400,KDP,twelve_data
2026-02-05,28.66,28.7,27.86,28.01,9705500,KDP,twelve_data
2026-02-04,28.23,28.6,28.13,28.45,10145300,KDP,twelve_data
2026-02-03,27.29,28.2,27.2,27.97,9026600,KDP,twelve_data
2026-02-02,27.42,27.59,27.23,27.47,8480900,KDP,twelve_data
2026-01-30,26.82,27.53,26.77,27.44,11489500,KDP,twelve_data
2026-01-29,26.77,27.02,26.64,26.82,12411700,KDP,twelve_data
2026-01-28,27.54,27.76,26.4,26.71,12373100,KDP,twelve_data
2026-01-27,27.59,27.64,27.21,27.59,9154600,KDP,twelve_data
2026-01-26,27.74,27.78,27.48,27.7,7923300,KDP,twelve_data
2026-01-23,27.57,27.85,27.46,27.76,9761200,KDP,twelve_data
2026-01-22,27.67,27.72,27.33,27.55,12133700,KDP,twelve_data
2026-01-21,27.88,28.08,27.39,27.7,10055600,KDP,twelve_data
2026-01-20,27.26,28.12,27.08,27.95,16865300,KDP,twelve_data
2026-01-16,27.92,27.93,27.32,27.41,17315100,KDP,twelve_data
2026-01-15,28.1,28.22,27.87,27.9,9984300,KDP,twelve_data
2026-01-14,27.75,28.36,27.68,28.12,11545800,KDP,twelve_data
2026-01-13,27.66,27.97,27.48,27.72,8231100,KDP,twelve_data
2026-01-12,27.68,27.98,27.54,27.7,10714300,KDP,twelve_data
2026-01-09,27.52,28.01,27.47,27.79,6849300,KDP,twelve_data
2026-01-08,27.17,27.86,27.14,27.61,7437100,KDP,twelve_data
2026-01-07,27.36,27.49,27.09,27.25,9319400,KDP,twelve_data
2026-01-06,27.23,27.48,26.97,27.34,9694900,KDP,twelve_data
2026-01-05,27.64,27.7,27.049999,27.32,12995500,KDP,twelve_data
2026-01-02,27.82,27.97,27.69,27.73,9152700,KDP,twelve_data
2025-12-31,28.1,28.25,28.0,28.01,5834600,KDP,twelve_data
2025-12-30,28.11,28.25,28.08,28.15,5929000,KDP,twelve_data
2025-12-29,28.12,28.4,28.049999,28.16,6962500,KDP,twelve_data
2025-12-26,27.97,28.11,27.9,28.1,5889600,KDP,twelve_data
2025-12-24,27.87,28.049999,27.84,28.0,4319800,KDP,twelve_data
2025-12-23,28.24,28.24,27.86,27.9,9156600,KDP,twelve_data
2025-12-22,27.86,28.38,27.74,28.24,10752800,KDP,twelve_data
2025-12-19,28.1,28.13,27.82,27.89,27699900,KDP,twelve_data
2025-12-18,28.02,28.4,27.96,28.1,16502200,KDP,twelve_data
2025-12-17,28.5,28.73,28.02,28.049999,15742400,KDP,twelve_data
2025-12-16,29.34,29.47,28.43,28.59,19314200,KDP,twelve_data
2025-12-15,29.36,29.48,28.76,29.23,23521300,KDP,twelve_data
2025-12-12,29.57,29.67,29.21,29.51,16504900,KDP,twelve_data
2025-12-11,29.56,29.71,29.39,29.47,14532700,KDP,twelve_data
2025-12-10,29.07,29.61,29.07,29.53,18699600,KDP,twelve_data
2025-12-09,29.059999,29.9,28.77,29.059999,21258800,KDP,twelve_data
2025-12-08,28.56,29.12,28.56,29.0,15805700,KDP,twelve_data
2025-12-05,28.57,28.76,28.26,28.69,15669700,KDP,twelve_data
2025-12-04,28.24,28.61,28.2,28.58,15526600,KDP,twelve_data
2025-12-03,28.15,28.44,27.99,28.33,16777900,KDP,twelve_data
2025-12-02,28.11,28.21,27.79,28.13,11618100,KDP,twelve_data
2025-12-01,27.84,28.2,27.77,28.17,12673100,KDP,twelve_data
2025-11-28,27.68,27.96,27.63,27.9,6348300,KDP,twelve_data
2025-11-26,27.030001,27.69,26.95,27.68,11864200,KDP,twelve_data
2025-11-25,27.4,27.43,26.77,27.049999,19179700,KDP,twelve_data
2025-11-24,27.63,27.68,27.15,27.36,19631700,KDP,twelve_data
2025-11-21,27.31,27.93,27.3,27.74,15256000,KDP,twelve_data
2025-11-20,26.86,27.31,26.84,27.21,14598000,KDP,twelve_data
2025-11-19,27.29,27.36,26.73,26.89,8917800,KDP,twelve_data
2025-11-18,27.02,27.48,26.87,27.42,12137000,KDP,twelve_data
2025-11-17,27.21,27.41,26.89,26.96,23188000,KDP,twelve_data
2025-11-14,27.11,27.33,26.83,27.13,18295500,KDP,twelve_data
2025-11-13,26.88,27.16,26.79,27.0,25615000,KDP,twelve_data
2025-11-12,26.88,27.3,26.78,26.9,11843700,KDP,twelve_data
2025-11-11,26.18,26.93,26.18,26.73,17000800,KDP,twelve_data
2025-11-10,26.0,26.2,25.85,26.12,22572300,KDP,twelve_data
2025-11-07,26.6,26.67,25.88,25.96,19727500,KDP,twelve_data
2025-11-06,26.54,26.62,26.22,26.36,12916800,KDP,twelve_data
2025-11-05,26.45,26.81,26.33,26.72,12807300,KDP,twelve_data
2025-11-04,26.86,26.9,26.4,26.46,16092100,KDP,twelve_data
2025-11-03,27.1,27.1,26.54,26.64,19617000,KDP,twelve_data
2025-10-31,27.5,27.5,26.83,27.16,22073400,KDP,twelve_data
2025-10-30,27.32,27.89,27.24,27.68,21264100,KDP,twelve_data
2025-10-29,28.53,28.66,27.09,27.15,29978800,KDP,twelve_data
2025-10-28,29.02,29.1,28.36,28.85,26860700,KDP,twelve_data
2025-10-27,29.75,30.01,28.38,29.23,53680800,KDP,twelve_data
2025-10-24,27.61,27.73,27.16,27.16,10217600,KDP,twelve_data
2025-10-23,27.51,27.67,27.38,27.55,12124800,KDP,twelve_data
2025-10-22,27.73,28.1,27.37,27.39,15831000,KDP,twelve_data
2025-10-21,27.84,27.98,27.64,27.67,10676900,KDP,twelve_data
2025-10-20,27.99,28.17,27.73,27.75,11046600,KDP,twelve_data
2025-10-17,27.75,28.13,27.5,28.030001,23230600,KDP,twelve_data
2025-10-16,27.059999,27.78,27.030001,27.72,28932500,KDP,twelve_data
2025-10-15,26.63,26.98,26.52,26.93,12270100,KDP,twelve_data
2025-10-14,26.3,26.74,26.1,26.69,17088400,KDP,twelve_data
2025-10-13,25.77,27.29,25.53,26.42,32613300,KDP,twelve_data
2025-10-10,25.92,26.030001,25.71,25.82,11763200,KDP,twelve_data
2025-10-09,25.67,26.01,25.48,25.85,19416200,KDP,twelve_data
2025-10-08,25.29,25.6,25.11,25.58,13028700,KDP,twelve_data
2025-10-07,25.28,25.5,25.030001,25.33,15276700,KDP,twelve_data
2025-10-06,25.8,25.83,25.19,25.3,23707300,KDP,twelve_data
2025-10-03,25.7,25.99,25.67,25.84,10325900,KDP,twelve_data
2025-10-02,25.56,25.76,25.27,25.74,12965400,KDP,twelve_data
2025-10-01,25.59,25.87,25.56,25.6,15747500,KDP,twelve_data
2025-09-30,25.65,25.73,25.42,25.51,17966900,KDP,twelve_data
2025-09-29,25.6,25.7,25.35,25.67,17747300,KDP,twelve_data
2025-09-26,25.64,25.72,25.4,25.5,20317600,KDP,twelve_data
2025-09-25,26.39,26.48,25.67,25.75,20503100,KDP,twelve_data
2025-09-24,26.2,26.55,26.13,26.25,17915600,KDP,twelve_data
2025-09-23,26.1,26.62,26.040001,26.5,19629400,KDP,twelve_data
