date,open,high,low,close,volume,symbol,source
2026-06-08,99.46,100.47,98.57,98.92,3611927,PAYX,twelve_data
2026-06-05,99.74,101.33,99.69,100.53,2410100,PAYX,twelve_data
2026-06-04,100.89,102.029999,99.21,99.48,2237400,PAYX,twelve_data
2026-06-03,99.61,100.18,97.63,98.45,2446800,PAYX,twelve_data
2026-06-02,99.92,101.22,98.63,100.79,2513100,PAYX,twelve_data
2026-06-01,97.92,102.92,97.79,102.44,4135500,PAYX,twelve_data
2026-05-29,95.51,98.010002,95.19,96.98,5719700,PAYX,twelve_data
2026-05-28,94.43,95.96,93.63,95.51,2270600,PAYX,twelve_data
2026-05-27,94.74,96.16,94.080002,94.43,2474600,PAYX,twelve_data
2026-05-26,96.72,96.84,94.089996,94.8,2959500,PAYX,twelve_data
2026-05-22,94.25,97.21,94.25,97.0,2593000,PAYX,twelve_data
2026-05-21,93.91,94.92,92.76,94.25,2315300,PAYX,twelve_data
2026-05-20,93.36,95.0,91.67,94.92,2753900,PAYX,twelve_data
2026-05-19,95.26,97.12,94.39,94.48,3276300,PAYX,twelve_data
2026-05-18,91.38,94.73,90.76,94.49,3035400,PAYX,twelve_data
2026-05-15,90.19,91.97,90.029999,91.54,2921100,PAYX,twelve_data
2026-05-14,89.97,90.91,88.65,88.83,2857400,PAYX,twelve_data
2026-05-13,91.49,91.81,87.43,89.92,5243400,PAYX,twelve_data
2026-05-12,94.71,95.2,92.81,93.71,3558500,PAYX,twelve_data
2026-05-11,93.089996,94.37,92.45,93.88,3404700,PAYX,twelve_data
2026-05-08,93.69,94.67,92.0,93.93,2446500,PAYX,twelve_data
2026-05-07,91.19,95.059998,91.0,94.26,3964600,PAYX,twelve_data
2026-05-06,91.64,91.99,90.54,91.38,4140200,PAYX,twelve_data
2026-05-05,92.55,93.099998,90.89,92.85,2816100,PAYX,twelve_data
2026-05-04,93.050003,94.4,92.019997,92.48,2388400,PAYX,twelve_data
2026-05-01,93.73,94.55,91.68,93.019997,2198500,PAYX,twelve_data
2026-04-30,92.92,93.78,91.82,92.63,3130700,PAYX,twelve_data
2026-04-29,93.14,94.11,90.65,94.050003,3692300,PAYX,twelve_data
2026-04-28,91.37,92.29,90.17,90.99,3006800,PAYX,twelve_data
2026-04-27,89.8,91.11,89.54,89.93,3032500,PAYX,twelve_data
2026-04-24,90.43,90.93,89.19,89.82,3081300,PAYX,twelve_data
2026-04-23,92.41,92.62,89.41,90.95,2545100,PAYX,twelve_data
2026-04-22,93.38,94.31,92.54,93.43,3066800,PAYX,twelve_data
2026-04-21,93.080002,95.4,92.62,93.68,3294800,PAYX,twelve_data
2026-04-20,91.96,93.34,91.59,93.089996,3595900,PAYX,twelve_data
2026-04-17,93.080002,93.3,91.18,91.96,3215600,PAYX,twelve_data
2026-04-16,91.22,92.76,90.88,92.13,3740300,PAYX,twelve_data
2026-04-15,89.39,91.059998,88.75,90.26,3088600,PAYX,twelve_data
2026-04-14,89.32,90.2,88.62,88.85,2883600,PAYX,twelve_data
2026-04-13,85.69,89.47,85.69,89.32,4436800,PAYX,twelve_data
2026-04-10,87.8,88.0,85.45,85.57,3686500,PAYX,twelve_data
2026-04-09,89.13,89.21,86.84,87.86,3493000,PAYX,twelve_data
2026-04-08,91.72,92.97,89.65,89.89,3211500,PAYX,twelve_data
2026-04-07,91.64,92.87,90.82,91.61,3039700,PAYX,twelve_data
2026-04-06,91.37,92.19,90.57,91.85,2571700,PAYX,twelve_data
2026-04-02,91.15,92.29,89.68,91.7,4514000,PAYX,twelve_data
2026-04-01,91.74,92.31,89.69,90.91,5971000,PAYX,twelve_data
2026-03-31,94.029999,94.5,91.95,92.12,4515700,PAYX,twelve_data
2026-03-30,91.66,93.64,91.56,93.12,3749000,PAYX,twelve_data
2026-03-27,93.25,93.25,90.54,91.68,3583800,PAYX,twelve_data
2026-03-26,93.07,96.24,93.019997,93.59,5360200,PAYX,twelve_data
2026-03-25,95.21,95.49,89.010002,93.36,7975200,PAYX,twelve_data
