date,open,high,low,close,volume,symbol,source
2026-06-08,84.81,85.32,83.13,83.18,1248599,TRI,twelve_data
2026-06-05,86.62,87.59,85.080002,86.040001,2049600,TRI,twelve_data
2026-06-04,86.48,87.59,84.47,85.74,1283800,TRI,twelve_data
2026-06-03,85.41,85.77,83.089996,83.43,1137300,TRI,twelve_data
2026-06-02,93.2,93.2,86.21,86.33,1796500,TRI,twelve_data
2026-06-01,86.0,94.099998,85.71,93.96,2010400,TRI,twelve_data
2026-05-29,84.16,87.17,82.9,86.51,1635000,TRI,twelve_data
2026-05-28,82.27,85.67,81.89,84.49,1571000,TRI,twelve_data
2026-05-27,82.5,85.18,82.089996,82.17,1501700,TRI,twelve_data
2026-05-26,85.5,85.83,83.46,83.72,1469500,TRI,twelve_data
2026-05-22,84.98,88.0,84.96,85.86,877200,TRI,twelve_data
2026-05-21,84.59,86.26,82.85,85.56,1334900,TRI,twelve_data
2026-05-20,85.73,86.44,83.81,85.36,1429700,TRI,twelve_data
2026-05-19,91.12,92.27,86.95,87.35,4389700,TRI,twelve_data
2026-05-18,83.78,90.13,83.49,90.0,2057100,TRI,twelve_data
2026-05-15,79.32,82.92,79.32,82.73,2580900,TRI,twelve_data
2026-05-14,81.61,82.86,78.6,79.040001,2374500,TRI,twelve_data
2026-05-13,87.080002,87.080002,81.47,82.029999,3254200,TRI,twelve_data
2026-05-12,90.68,90.96,84.31,87.27,4209200,TRI,twelve_data
2026-05-11,91.68,92.88,88.099998,89.22,1821200,TRI,twelve_data
2026-05-08,92.4,93.17,90.36,92.94,1630600,TRI,twelve_data
2026-05-07,92.27,96.16,91.07,93.37,2097700,TRI,twelve_data
2026-05-06,94.010002,94.96,89.86,91.75,4132200,TRI,twelve_data
2026-05-05,99.0,102.65,90.75,95.46,3592700,TRI,twelve_data
2026-05-04,94.43,97.98,93.22,95.75,1518900,TRI,twelve_data
2026-05-01,96.019997,98.33,94.3,94.41,1640800,TRI,twelve_data
