date,open,high,low,close,volume,symbol,source
2026-06-09,226.47,231.59,225.545,231.17,1997542,ADP,twelve_data
2026-06-08,231.070007,231.61,228.77,229.080002,1620100,ADP,twelve_data
2026-06-05,233.080002,234.85001,231.17999,231.95,2980400,ADP,twelve_data
2026-06-04,234.36,237.11,230.070007,231.31,2319000,ADP,twelve_data
2026-06-03,228.87,229.92999,225.0,227.75,2728900,ADP,twelve_data
2026-06-02,229.5,231.89,225.21001,231.17999,3550500,ADP,twelve_data
2026-06-01,223.96001,234.73,223.95,233.74001,3970100,ADP,twelve_data
2026-05-29,218.089996,224.16,218.0099945,221.84,3377700,ADP,twelve_data
2026-05-28,215.60001,221.10001,215.60001,219.86,1784700,ADP,twelve_data
2026-05-27,218.63,221.37,216.72,217.64999,2061600,ADP,twelve_data
2026-05-26,221.84,223.48,218.28,218.35001,2374400,ADP,twelve_data
2026-05-22,220.32001,226.46001,220.17999,225.31,2282600,ADP,twelve_data
2026-05-21,219.029999,220.59,216.62,220.080002,2248900,ADP,twelve_data
2026-05-20,218.22,221.020004,215.34,220.69,2846700,ADP,twelve_data
2026-05-19,222.94,227.42999,220.33,220.44,3575800,ADP,twelve_data
2026-05-18,215.3,223.31,215.13,222.94,3256700,ADP,twelve_data
2026-05-15,210.10001,214.92,210.10001,214.48,2921800,ADP,twelve_data
2026-05-14,208.63,211.24001,207.070007,208.37,2818300,ADP,twelve_data
2026-05-13,211.47,212.48,204.56,208.63,3251500,ADP,twelve_data
2026-05-12,213.78,215.81,211.13,213.81,4018000,ADP,twelve_data
2026-05-11,211.25999,213.13,209.98,211.67,2260100,ADP,twelve_data
2026-05-08,212.69,213.56,208.62,213.0,2804100,ADP,twelve_data
2026-05-07,206.050003,215.089996,206.050003,214.089996,3462500,ADP,twelve_data
2026-05-06,208.41,209.21001,205.7,207.2,2237600,ADP,twelve_data
2026-05-05,210.029999,211.23,206.74001,210.60001,2113900,ADP,twelve_data
2026-05-04,213.12,216.10001,210.63,211.32001,2986700,ADP,twelve_data
2026-05-01,215.020004,216.55,209.12,214.21001,2621700,ADP,twelve_data
2026-04-30,212.64999,215.059998,210.3,211.94,4253600,ADP,twelve_data
2026-04-29,207.78,215.17,205.059998,215.059998,4441600,ADP,twelve_data
2026-04-28,199.69,201.52,197.60001,199.17,3644100,ADP,twelve_data
2026-04-27,195.85001,199.45,195.7,197.23,2638600,ADP,twelve_data
2026-04-24,196.96001,197.63,194.89999,196.53,3414900,ADP,twelve_data
2026-04-23,200.11,200.89999,195.11,198.53,4208000,ADP,twelve_data
2026-04-22,203.17999,203.95,200.62,201.69,2038400,ADP,twelve_data
