date,open,high,low,close,volume,symbol,source
2026-06-09,126.62,128.38,126.081703,127.76,5446995,AEP,twelve_data
2026-06-08,129.080002,129.44,126.4,126.77,5405800,AEP,twelve_data
2026-06-05,128.5,130.22,128.21001,129.14,3544500,AEP,twelve_data
2026-06-04,127.37,127.97,125.96,127.79,4821300,AEP,twelve_data
2026-06-03,127.2,129.59,126.26,126.31,4951800,AEP,twelve_data
2026-06-02,124.21,127.15,124.0,127.11,4360900,AEP,twelve_data
2026-06-01,125.67,125.67,123.74,123.79,3274200,AEP,twelve_data
2026-05-29,127.64,127.89,126.14,126.67,5664300,AEP,twelve_data
2026-05-28,129.57001,129.77,126.7,127.76,4532800,AEP,twelve_data
2026-05-27,130.10001,131.0,129.38,129.57001,3182700,AEP,twelve_data
2026-05-26,131.94,132.12,130.52,130.89999,5996400,AEP,twelve_data
2026-05-22,129.66,131.75,129.58,131.59,3280600,AEP,twelve_data
2026-05-21,128.94,129.82001,128.25,129.61,5244600,AEP,twelve_data
2026-05-20,129.5,129.92999,128.50999,128.87,5812900,AEP,twelve_data
2026-05-19,127.0,129.039993,126.27,128.92,4494500,AEP,twelve_data
2026-05-18,125.93,127.84,124.99,127.68,5462900,AEP,twelve_data
2026-05-15,127.9,128.0099945,124.68,125.15,9225500,AEP,twelve_data
2026-05-14,127.58,128.64,127.49,128.60001,6382500,AEP,twelve_data
2026-05-13,126.93,128.48,126.15,127.95,15607600,AEP,twelve_data
2026-05-12,130.62,132.25,129.44,131.94,2756500,AEP,twelve_data
2026-05-11,130.75,131.77,130.10001,130.7,3179200,AEP,twelve_data
2026-05-08,131.21001,132.080002,130.10001,130.16,2660200,AEP,twelve_data
2026-05-07,131.64,132.8,131.33,131.75999,3107200,AEP,twelve_data
2026-05-06,136.57001,136.60001,132.5,132.56,4245700,AEP,twelve_data
2026-05-05,138.49001,139.44,136.22,137.039993,4078200,AEP,twelve_data
2026-05-04,136.14999,137.039993,134.14999,134.66,3314600,AEP,twelve_data
2026-05-01,136.87,138.49001,136.22,136.91,2390100,AEP,twelve_data
2026-04-30,135.23,137.67999,134.99001,137.11,3691300,AEP,twelve_data
2026-04-29,135.12,136.070007,134.17999,134.44,2912700,AEP,twelve_data
2026-04-28,136.28999,136.58,135.050003,135.59,2367900,AEP,twelve_data
2026-04-27,135.020004,136.059998,134.75999,135.070007,2723300,AEP,twelve_data
2026-04-24,133.82001,135.56,133.81,134.73,1904700,AEP,twelve_data
2026-04-23,132.78,135.37,132.59,135.080002,1898200,AEP,twelve_data
2026-04-22,132.69,133.60001,131.2,131.62,2124100,AEP,twelve_data
2026-04-21,133.98,133.98,131.74001,131.89,2451000,AEP,twelve_data
2026-04-20,134.35001,135.42,133.12,133.28,2646000,AEP,twelve_data
2026-04-17,134.14999,134.17,132.020004,133.66,2869800,AEP,twelve_data
2026-04-16,134.56,135.16,133.0,134.56,2450200,AEP,twelve_data
2026-04-15,134.78999,135.059998,133.69,134.39,2382600,AEP,twelve_data
2026-04-14,134.52,135.49001,132.75,135.46001,3162400,AEP,twelve_data
2026-04-13,136.49001,136.60001,133.58,134.46001,2401500,AEP,twelve_data
2026-04-10,137.0,137.72,136.27,136.3,1982200,AEP,twelve_data
2026-04-09,134.42999,137.74001,134.42999,137.14999,2562500,AEP,twelve_data
2026-04-08,132.089996,134.85001,131.56,134.71001,2398600,AEP,twelve_data
2026-04-07,132.17,133.57001,131.94,132.92,1814000,AEP,twelve_data
2026-04-06,131.7,133.12,131.7,132.36,1852300,AEP,twelve_data
2026-04-02,131.72,133.33,130.52,132.67999,1998500,AEP,twelve_data
2026-04-01,130.69,132.16,130.50999,131.67,2582500,AEP,twelve_data
2026-03-31,131.41,131.78,129.89,131.080002,3124300,AEP,twelve_data
2026-03-30,131.61,132.28999,130.50999,131.12,2717400,AEP,twelve_data
2026-03-27,128.84,131.50999,128.32001,130.10001,4404500,AEP,twelve_data
2026-03-26,128.72,129.5,127.66,128.85001,3597400,AEP,twelve_data
2026-03-25,129.46001,129.5,128.039993,128.3,3335000,AEP,twelve_data
2026-03-24,127.25,129.89,126.83,128.8,2559500,AEP,twelve_data
2026-03-23,126.79,128.91,125.85,127.92,4406700,AEP,twelve_data
2026-03-20,128.17999,128.92,125.080002,125.66,8610800,AEP,twelve_data
2026-03-19,131.0,131.45,126.71,128.72,5845200,AEP,twelve_data
2026-03-18,133.039993,133.42999,130.89,130.97,3800100,AEP,twelve_data
2026-03-17,134.78999,135.0,133.37,133.62,2541300,AEP,twelve_data
2026-03-16,134.75999,135.0,133.50999,134.14999,4356800,AEP,twelve_data
2026-03-13,133.50999,134.48,133.10001,133.61,3632100,AEP,twelve_data
2026-03-12,131.050003,133.97,130.8,132.22,2500200,AEP,twelve_data
2026-03-11,131.81,132.16,130.83,131.25999,2522500,AEP,twelve_data
2026-03-10,131.48,133.28,131.13,132.31,3211800,AEP,twelve_data
2026-03-09,131.81,132.35001,130.78999,131.86,4476500,AEP,twelve_data
2026-03-06,130.98,132.63,130.16,131.87,4613800,AEP,twelve_data
2026-03-05,132.72,133.0,130.35001,132.039993,5158700,AEP,twelve_data
2026-03-04,132.42,133.75999,130.86,133.52,4758400,AEP,twelve_data
2026-03-03,132.39,133.32001,129.60001,131.92,4048500,AEP,twelve_data
2026-03-02,133.83,134.23,133.0099945,133.28999,2978600,AEP,twelve_data
2026-02-27,132.11,134.60001,132.039993,133.82001,3332600,AEP,twelve_data
2026-02-26,132.21001,133.059998,131.14999,132.10001,3811400,AEP,twelve_data
2026-02-25,132.17,132.85001,130.27,132.46001,3459800,AEP,twelve_data
2026-02-24,131.46001,132.56,130.27,132.39,3209200,AEP,twelve_data
2026-02-23,129.48,132.11,129.39999,132.029999,3592500,AEP,twelve_data
2026-02-20,129.34,129.91,127.72,129.37,3021300,AEP,twelve_data
2026-02-19,127.27,128.84,127.080002,128.42,2556200,AEP,twelve_data
2026-02-18,129.84,130.3,126.85,127.27,3626100,AEP,twelve_data
2026-02-17,131.31,132.78,129.61,130.24001,4034900,AEP,twelve_data
2026-02-13,127.32,130.070007,126.61,129.94,4671900,AEP,twelve_data
2026-02-12,124.2,128.92,123.69,126.43,6301700,AEP,twelve_data
2026-02-11,121.46,122.59,120.47,122.25,2843800,AEP,twelve_data
2026-02-10,120.24,122.4,119.71,121.23,3506000,AEP,twelve_data
2026-02-09,120.54,121.48,119.92,121.099998,2654000,AEP,twelve_data
2026-02-06,121.21,122.44,119.86,120.8,2767700,AEP,twelve_data
2026-02-05,120.77,121.42,119.8,120.61,4338300,AEP,twelve_data
2026-02-04,121.55,122.19,119.72,119.98,4653400,AEP,twelve_data
2026-02-03,118.75,121.42,118.75,120.67,3482200,AEP,twelve_data
2026-02-02,119.98,120.38,118.059998,118.33,3941300,AEP,twelve_data
2026-01-30,119.019997,119.88,117.98,119.78,3640700,AEP,twelve_data
2026-01-29,119.57,120.82,118.55,119.21,3537800,AEP,twelve_data
2026-01-28,119.25,120.2,118.53,119.12,1888800,AEP,twelve_data
2026-01-27,117.74,119.76,117.48,119.43,2675700,AEP,twelve_data
2026-01-26,117.11,119.17,117.010002,118.019997,3992200,AEP,twelve_data
2026-01-23,116.93,117.17,115.56,116.63,2525900,AEP,twelve_data
2026-01-22,118.71,119.36,117.029999,117.18,2880500,AEP,twelve_data
2026-01-21,119.75,120.35,117.85,118.98,3632500,AEP,twelve_data
2026-01-20,119.2,120.45,118.27,119.22,4776400,AEP,twelve_data
2026-01-16,119.019997,120.14,118.22,119.96,4044500,AEP,twelve_data
2026-01-15,118.41,119.7,117.65,119.4,3085800,AEP,twelve_data
2026-01-14,116.99,118.57,116.68,118.11,3143800,AEP,twelve_data
2026-01-13,116.57,117.010002,115.57,116.62,2735100,AEP,twelve_data
2026-01-12,115.6,117.7,115.36,116.57,3437400,AEP,twelve_data
2026-01-09,116.0,117.41,115.95,116.91,2867700,AEP,twelve_data
2026-01-08,113.88,116.5,113.74,115.93,3230800,AEP,twelve_data
2026-01-07,115.33,115.52,113.25,113.7,2557000,AEP,twelve_data
2026-01-06,114.050003,115.23,113.85,115.040001,2535800,AEP,twelve_data
2026-01-05,115.57,115.57,112.54,114.07,3894400,AEP,twelve_data
2026-01-02,115.44,116.2,114.42,115.81,3906700,AEP,twelve_data
2025-12-31,116.010002,116.07,115.16,115.31,1579400,AEP,twelve_data
2025-12-30,115.58,116.21,115.45,115.99,6956400,AEP,twelve_data
2025-12-29,116.099998,116.72,115.62,115.77,1814700,AEP,twelve_data
2025-12-26,115.19,115.93,115.0,115.67,1896100,AEP,twelve_data
2025-12-24,115.050003,115.39,114.81,115.31,1057700,AEP,twelve_data
2025-12-23,114.59,115.23,114.24,115.15,2918000,AEP,twelve_data
2025-12-22,114.16,114.91,113.84,114.62,3049000,AEP,twelve_data
2025-12-19,115.15,116.39,114.36,114.49,7322400,AEP,twelve_data
2025-12-18,115.0,115.8,115.0,115.58,4794800,AEP,twelve_data
2025-12-17,114.44,115.029999,113.87,114.71,3808900,AEP,twelve_data
2025-12-16,115.77,116.12,113.98,114.57,2706000,AEP,twelve_data
2025-12-15,114.75,116.080002,114.41,115.77,3031100,AEP,twelve_data
2025-12-12,115.0,115.44,113.84,114.13,2671700,AEP,twelve_data
2025-12-11,114.51,115.31,113.68,114.26,3171500,AEP,twelve_data
2025-12-10,116.66,116.66,113.84,114.16,3241300,AEP,twelve_data
2025-12-09,116.28,117.089996,115.82,116.07,2196400,AEP,twelve_data
2025-12-08,117.54,117.58,115.31,115.73,3422900,AEP,twelve_data
2025-12-05,117.87,118.12,116.83,117.54,3166400,AEP,twelve_data
2025-12-04,118.19,119.11,117.27,118.040001,3501500,AEP,twelve_data
2025-12-03,119.23,119.73,117.77,118.059998,3429600,AEP,twelve_data
2025-12-02,120.77,121.39,118.81,119.23,2878900,AEP,twelve_data
2025-12-01,123.11,123.23,120.37,120.51,3322200,AEP,twelve_data
2025-11-28,122.88,123.9,122.72,123.77,1801300,AEP,twelve_data
2025-11-26,121.8,122.8,121.8,122.72,2681100,AEP,twelve_data
2025-11-25,122.6,122.81,121.019997,121.58,4552200,AEP,twelve_data
2025-11-24,120.77,122.84,119.59,122.040001,6435000,AEP,twelve_data
2025-11-21,121.17,121.72,120.47,120.84,3232800,AEP,twelve_data
2025-11-20,121.85,122.29,120.79,120.9,3298400,AEP,twelve_data
2025-11-19,123.32,123.48,121.18,121.71,3569700,AEP,twelve_data
2025-11-18,124.42,124.8,123.29,123.51,3121500,AEP,twelve_data
2025-11-17,122.32,124.010002,121.56,123.72,4266000,AEP,twelve_data
2025-11-14,121.58,122.36,120.64,121.3,3047300,AEP,twelve_data
2025-11-13,122.25,123.029999,121.42,121.48,2900500,AEP,twelve_data
2025-11-12,122.71,122.99,121.81,122.68,3493100,AEP,twelve_data
2025-11-11,122.87,123.22,122.25,122.73,3469000,AEP,twelve_data
2025-11-10,120.94,123.31,120.49,122.56,5090000,AEP,twelve_data
2025-11-07,120.040001,121.6,119.89,121.43,3283900,AEP,twelve_data
2025-11-06,119.4,120.51,119.18,119.53,6242600,AEP,twelve_data
2025-11-05,120.57,121.14,118.19,119.76,3738900,AEP,twelve_data
2025-11-04,120.36,120.89,119.62,120.3,2678700,AEP,twelve_data
2025-11-03,120.0,120.13,118.35,119.92,3108600,AEP,twelve_data
2025-10-31,120.89,121.0,119.78,120.26,4518400,AEP,twelve_data
2025-10-30,121.55,122.85,120.8,121.89,4430100,AEP,twelve_data
2025-10-29,120.3,122.79,120.010002,122.11,9568500,AEP,twelve_data
2025-10-28,116.52,116.61,114.67,115.11,3890300,AEP,twelve_data
2025-10-27,115.48,116.71,115.12,116.39,2811100,AEP,twelve_data
2025-10-24,116.47,117.12,115.85,115.98,1888200,AEP,twelve_data
2025-10-23,117.63,117.71,115.43,116.18,2284100,AEP,twelve_data
2025-10-22,117.43,118.17,117.07,117.27,2461700,AEP,twelve_data
2025-10-21,117.97,118.0,116.54,117.43,2395600,AEP,twelve_data
2025-10-20,118.13,118.19,116.87,117.82,2989400,AEP,twelve_data
2025-10-17,118.099998,118.2,116.76,117.53,2762000,AEP,twelve_data
2025-10-16,119.89,120.46,117.36,117.53,4072000,AEP,twelve_data
2025-10-15,119.4,119.4,117.78,118.53,2495200,AEP,twelve_data
