date,open,high,low,close,volume,symbol,source
2026-06-09,46.27,46.94,46.02,46.58,6445511,FAST,twelve_data
2026-06-08,46.8,46.86,45.95,46.0,7427700,FAST,twelve_data
2026-06-05,47.33,47.78,46.6,46.79,7276500,FAST,twelve_data
2026-06-04,47.5,47.74,46.65,47.16,7324600,FAST,twelve_data
2026-06-03,44.75,46.64,44.62,46.46,8094200,FAST,twelve_data
2026-06-02,44.22,44.77,43.9,44.73,4478100,FAST,twelve_data
2026-06-01,43.66,44.18,43.26,43.99,7588600,FAST,twelve_data
2026-05-29,44.66,44.93,44.15,44.2,8249700,FAST,twelve_data
2026-05-28,44.65,44.9,44.19,44.76,7566600,FAST,twelve_data
2026-05-27,44.45,44.98,44.32,44.82,7656000,FAST,twelve_data
2026-05-26,44.0099983,44.62,43.96,44.45,5706700,FAST,twelve_data
2026-05-22,43.53,44.0,43.23,43.94,5583200,FAST,twelve_data
2026-05-21,43.47,44.0,42.91,43.53,8229700,FAST,twelve_data
2026-05-20,43.57,44.13,43.18,43.68,8845200,FAST,twelve_data
2026-05-19,44.0,44.0,43.18,43.57,4783500,FAST,twelve_data
2026-05-18,43.43,44.25,43.36,44.0,6296200,FAST,twelve_data
2026-05-15,43.75,43.78,43.0099983,43.26,4653800,FAST,twelve_data
2026-05-14,43.89,44.15,43.48,43.98,4998200,FAST,twelve_data
2026-05-13,43.3,43.88,43.0,43.77,7430000,FAST,twelve_data
2026-05-12,43.48,43.8,42.97,43.32,4500300,FAST,twelve_data
2026-05-11,43.99,44.15,42.97,43.3,9109900,FAST,twelve_data
2026-05-08,44.39,44.61,43.88,44.17,4384300,FAST,twelve_data
2026-05-07,44.98,45.64,44.29,44.36,7490800,FAST,twelve_data
2026-05-06,44.8,45.41,44.57,44.71,10982100,FAST,twelve_data
2026-05-05,45.0,45.12,44.22,44.33,6411800,FAST,twelve_data
2026-05-04,44.63,45.12,44.56,44.88,6452600,FAST,twelve_data
2026-05-01,45.0,45.16,44.5,44.91,5941400,FAST,twelve_data
2026-04-30,43.71,45.099998,43.62,44.93,8650300,FAST,twelve_data
2026-04-29,44.23,44.59,43.64,43.71,6212300,FAST,twelve_data
2026-04-28,45.49,45.49,44.49,44.68,5630800,FAST,twelve_data
2026-04-27,44.64,45.49,44.64,45.28,5547400,FAST,twelve_data
2026-04-24,45.26,45.35,44.63,44.69,4079000,FAST,twelve_data
2026-04-23,45.09,45.71,44.97,45.45,5229200,FAST,twelve_data
2026-04-22,45.71,45.79,44.64,44.81,5685800,FAST,twelve_data
2026-04-21,45.51,45.91,45.4,45.7,6424100,FAST,twelve_data
2026-04-20,45.6,46.040001,45.37,45.56,5427100,FAST,twelve_data
2026-04-17,45.23,46.0,45.13,45.78,9131600,FAST,twelve_data
2026-04-16,44.4,45.24,44.35,44.72,6685400,FAST,twelve_data
2026-04-15,44.5,44.51,43.52,44.4,8872500,FAST,twelve_data
2026-04-14,45.43,45.7,44.12,44.62,11386300,FAST,twelve_data
2026-04-13,48.74,49.0,45.27,45.8,16217600,FAST,twelve_data
2026-04-10,49.27,49.67,49.09,49.17,7289900,FAST,twelve_data
2026-04-09,48.18,49.42,47.98,49.099998,7316900,FAST,twelve_data
2026-04-08,46.41,48.21,46.41,48.18,7429100,FAST,twelve_data
2026-04-07,45.77,45.88,45.099998,45.64,7128700,FAST,twelve_data
2026-04-06,45.97,46.3,45.64,45.87,7363300,FAST,twelve_data
2026-04-02,46.09,47.26,45.88,46.3,7128200,FAST,twelve_data
2026-04-01,46.55,46.95,46.21,46.63,5737600,FAST,twelve_data
2026-03-31,45.65,46.58,45.18,46.4,10751000,FAST,twelve_data
2026-03-30,45.14,45.46,44.66,45.12,6411700,FAST,twelve_data
2026-03-27,44.96,45.38,44.79,44.95,5709100,FAST,twelve_data
2026-03-26,45.41,45.89,44.94,45.11,5845700,FAST,twelve_data
2026-03-25,45.2,45.55,44.56,45.37,5085000,FAST,twelve_data
2026-03-24,43.68,45.22,43.68,44.89,5117600,FAST,twelve_data
2026-03-23,44.63,45.29,44.36,44.45,6455700,FAST,twelve_data
2026-03-20,44.37,44.8,43.47,43.76,30102700,FAST,twelve_data
2026-03-19,45.09,45.09,44.09,44.49,8655100,FAST,twelve_data
2026-03-18,45.74,45.95,45.049999,45.080002,6363400,FAST,twelve_data
2026-03-17,46.0,46.16,45.2,45.93,6182100,FAST,twelve_data
2026-03-16,45.75,45.87,45.26,45.68,5124800,FAST,twelve_data
2026-03-13,45.8,45.8,44.85,45.46,6190700,FAST,twelve_data
2026-03-12,46.26,46.44,45.22,45.25,7256200,FAST,twelve_data
2026-03-11,46.32,46.68,45.6,46.59,6015900,FAST,twelve_data
2026-03-10,46.42,46.87,46.040001,46.3,7194900,FAST,twelve_data
2026-03-09,46.0099983,47.049999,45.38,46.8,9592800,FAST,twelve_data
2026-03-06,46.45,46.73,45.94,46.46,8186600,FAST,twelve_data
2026-03-05,47.8,48.42,46.99,47.3,11530000,FAST,twelve_data
2026-03-04,46.35,47.080002,45.79,46.43,9006300,FAST,twelve_data
2026-03-03,46.27,46.59,45.28,46.23,7327900,FAST,twelve_data
2026-03-02,45.97,46.59,45.48,46.33,7522800,FAST,twelve_data
2026-02-27,45.39,46.31,45.39,46.040001,9926400,FAST,twelve_data
2026-02-26,44.97,45.71,44.8,45.68,5984100,FAST,twelve_data
2026-02-25,45.56,45.63,44.51,44.63,6168600,FAST,twelve_data
2026-02-24,45.17,45.65,45.0099983,45.46,5318600,FAST,twelve_data
2026-02-23,46.15,46.36,44.95,45.049999,6648900,FAST,twelve_data
2026-02-20,46.22,46.8,44.83,46.22,11672300,FAST,twelve_data
2026-02-19,45.84,46.38,45.72,46.21,6156000,FAST,twelve_data
2026-02-18,45.61,46.12,45.29,45.98,5214600,FAST,twelve_data
2026-02-17,46.37,46.47,45.65,45.69,5750700,FAST,twelve_data
