date,open,high,low,close,volume,symbol,source
2026-06-09,65.099998,66.4,64.77,66.010002,4779240,GEHC,twelve_data
2026-06-08,64.75,65.25,64.28,64.67,4635600,GEHC,twelve_data
2026-06-05,63.8,64.78,63.58,64.67,4930900,GEHC,twelve_data
2026-06-04,62.63,64.71,62.51,63.81,4468800,GEHC,twelve_data
2026-06-03,61.68,62.11,60.73,62.029999,4294900,GEHC,twelve_data
2026-06-02,62.18,62.598,61.52,61.99,3234400,GEHC,twelve_data
2026-06-01,62.562,62.735,60.87,62.69,8589500,GEHC,twelve_data
2026-05-29,62.75,63.035,62.19,62.34,5614600,GEHC,twelve_data
2026-05-28,63.31,63.66,62.33,62.86,4520500,GEHC,twelve_data
2026-05-27,65.0,65.63,63.33,63.88,3981000,GEHC,twelve_data
2026-05-26,64.23,65.089996,63.5,64.18,4011300,GEHC,twelve_data
2026-05-22,64.29,65.099998,63.91,64.23,3181500,GEHC,twelve_data
2026-05-21,64.2,65.0,62.73,64.33,5107800,GEHC,twelve_data
2026-05-20,61.93,64.39,61.0,64.26,8740700,GEHC,twelve_data
2026-05-19,61.405,62.39,61.19,61.58,5312200,GEHC,twelve_data
2026-05-18,60.99,62.56,60.86,61.51,4998100,GEHC,twelve_data
2026-05-15,62.37,62.64,60.67,60.76,4777500,GEHC,twelve_data
2026-05-14,62.14,63.26,62.115,62.67,4515600,GEHC,twelve_data
2026-05-13,61.68,62.34,61.0099983,61.89,4169700,GEHC,twelve_data
2026-05-12,62.34,62.79,61.73,62.29,4300000,GEHC,twelve_data
2026-05-11,63.0,64.35,61.49,61.7,6074300,GEHC,twelve_data
2026-05-08,62.515,63.49,62.0,63.47,8357200,GEHC,twelve_data
2026-05-07,61.83,62.35,61.2,61.34,3828400,GEHC,twelve_data
2026-05-06,61.82,62.69,61.13,61.735,5358900,GEHC,twelve_data
2026-05-05,61.0,61.48,60.14,61.040001,7372600,GEHC,twelve_data
