date,open,high,low,close,volume,symbol,source
2026-06-10,467.97,477.44989,448.32999,452.39999,27523098,AMD,twelve_data
2026-06-09,502.75,505.0,437.23001,475.51001,37684300,AMD,twelve_data
2026-06-08,485.0,494.97,477.70999,490.32999,25158800,AMD,twelve_data
2026-06-05,499.53,505.62,463.95001,466.38,46900600,AMD,twelve_data
2026-06-04,514.75,532.19,499.87,523.20001,29110000,AMD,twelve_data
2026-06-03,533.75,546.44,524.29999,542.52002,29411100,AMD,twelve_data
2026-06-02,506.29999,522.48999,501.22,521.53998,24293200,AMD,twelve_data
2026-06-01,500.16,517.5,486.79999,510.13,33309200,AMD,twelve_data
2026-05-29,520.79999,522.0,503.42999,516.099976,30803200,AMD,twelve_data
2026-05-28,499.0,527.20001,493.51999,518.090027,31438500,AMD,twelve_data
2026-05-27,508.0,510.20999,486.66,495.54001,27589300,AMD,twelve_data
2026-05-26,484.73999,506.95999,480.23001,503.89001,38473800,AMD,twelve_data
2026-05-22,469.84,481.41,461.70999,467.51001,34758600,AMD,twelve_data
2026-05-21,441.98999,451.20001,431.60001,449.59,27252000,AMD,twelve_data
2026-05-20,428.040009,449.39001,426.049988,447.57999,36137500,AMD,twelve_data
2026-05-19,412.60001,428.75,393.35999,414.049988,38756900,AMD,twelve_data
2026-05-18,429.5,438.79999,410.70999,420.98999,28432100,AMD,twelve_data
2026-05-15,433.34,439.0,423.35999,424.10001,29131600,AMD,twelve_data
2026-05-14,440.60001,453.31,435.67999,449.70001,26113600,AMD,twelve_data
2026-05-13,457.040009,459.5,432.64999,445.5,30423400,AMD,twelve_data
2026-05-12,449.25,458.79999,426.10999,448.29001,39140100,AMD,twelve_data
2026-05-11,460.54999,469.22,450.88,458.79001,46085400,AMD,twelve_data
2026-05-08,418.59,456.29001,418.29001,455.19,58134900,AMD,twelve_data
2026-05-07,417.070007,421.70999,401.079987,408.45999,44885500,AMD,twelve_data
2026-05-06,409.48999,430.60001,402.040009,421.39001,87732200,AMD,twelve_data
2026-05-05,351.51001,359.57001,344.88,355.26001,64235100,AMD,twelve_data
2026-05-04,360.31,361.85001,338.70001,341.54001,42000200,AMD,twelve_data
2026-05-01,351.87,362.79001,349.25,360.54001,34279200,AMD,twelve_data
2026-04-30,341.35999,354.95999,332.60001,354.48999,42115300,AMD,twelve_data
2026-04-29,326.57999,340.17001,318.85999,337.10999,44704400,AMD,twelve_data
2026-04-28,311.85999,327.5,310.0,323.20999,43002500,AMD,twelve_data
2026-04-27,346.32001,349.20999,328.81,334.63,50585300,AMD,twelve_data
2026-04-24,336.76001,352.98999,334.54001,347.81,81616700,AMD,twelve_data
2026-04-23,302.01001,310.22,299.76001,305.32999,45619700,AMD,twelve_data
2026-04-22,291.22,304.25,286.14001,303.45999,49054200,AMD,twelve_data
2026-04-21,277.32999,286.20001,276.62,284.48999,38950900,AMD,twelve_data
2026-04-20,280.60001,287.60999,272.0,274.95001,34833900,AMD,twelve_data
2026-04-17,281.0,281.049988,274.14001,278.39001,35519900,AMD,twelve_data
2026-04-16,264.98999,279.34,261.51001,278.26001,64850800,AMD,twelve_data
2026-04-15,254.96001,258.17999,251.85001,258.12,24695200,AMD,twelve_data
2026-04-14,249.78999,255.46001,245.7,255.070007,25733200,AMD,twelve_data
2026-04-13,245.029999,247.33,242.029999,246.83,22781800,AMD,twelve_data
2026-04-10,239.0,249.58,238.96001,245.039993,36477200,AMD,twelve_data
2026-04-09,233.0099945,237.10001,230.91,236.64,27126200,AMD,twelve_data
2026-04-08,232.12,234.0,227.089996,231.82001,35496400,AMD,twelve_data
2026-04-07,218.25999,222.10001,215.38,221.53,26483000,AMD,twelve_data
2026-04-06,219.28,226.31,217.73,220.17999,30786400,AMD,twelve_data
2026-04-02,204.050003,217.78,200.62,217.5,38463500,AMD,twelve_data
2026-04-01,207.59,213.83,205.84,210.21001,40835800,AMD,twelve_data
2026-03-31,198.050003,204.0,196.41,203.42999,42318700,AMD,twelve_data
2026-03-30,204.95,208.42999,192.87,196.039993,41053300,AMD,twelve_data
2026-03-27,201.77,203.27,197.69,201.99001,29206600,AMD,twelve_data
2026-03-26,217.98,221.0,203.42999,203.77,49213000,AMD,twelve_data
2026-03-25,211.50999,221.33,211.50999,220.27,48518300,AMD,twelve_data
2026-03-24,201.39,206.42999,200.13,205.37,27258800,AMD,twelve_data
2026-03-23,206.39999,209.11,201.71001,202.67999,31857800,AMD,twelve_data
2026-03-20,204.89,206.3,198.25999,201.33,37265100,AMD,twelve_data
2026-03-19,195.029999,205.88,192.83,205.27,32245300,AMD,twelve_data
2026-03-18,196.0,202.86,195.75,199.46001,28569100,AMD,twelve_data
2026-03-17,196.67999,199.21001,195.25999,196.31,22779700,AMD,twelve_data
2026-03-16,194.98,200.17,194.8,196.58,30285200,AMD,twelve_data
2026-03-13,198.11,199.67999,192.27,193.39,27561900,AMD,twelve_data
2026-03-12,202.83,203.62,196.67,197.74001,28886900,AMD,twelve_data
2026-03-11,205.11,209.21001,203.63,204.83,23076400,AMD,twelve_data
2026-03-10,202.50999,206.59,202.2,203.23,29139200,AMD,twelve_data
2026-03-09,189.36,202.97,189.020004,202.67999,38877200,AMD,twelve_data
2026-03-06,195.27,200.24001,191.25,192.42999,33913800,AMD,twelve_data
