date,open,high,low,close,volume,symbol,source
2026-06-10,346.0,348.58499,337.48999,337.73001,2996613,AMGN,twelve_data
2026-06-09,348.23999,349.64001,342.62,344.57001,3387600,AMGN,twelve_data
2026-06-08,349.34,352.17001,344.23999,345.73001,2488200,AMGN,twelve_data
2026-06-05,348.76001,356.5,347.66,349.57999,3450800,AMGN,twelve_data
2026-06-04,345.87,349.17999,342.25,345.60001,2907100,AMGN,twelve_data
2026-06-03,327.98001,338.70001,325.98001,338.22,2289300,AMGN,twelve_data
2026-06-02,326.17001,329.45999,322.29999,328.26001,1558800,AMGN,twelve_data
2026-06-01,333.38,333.82999,326.35001,329.13,2120500,AMGN,twelve_data
2026-05-29,336.22,337.51001,333.059998,336.79001,2953800,AMGN,twelve_data
2026-05-28,336.44,337.95001,334.16,336.48001,2159000,AMGN,twelve_data
2026-05-27,339.51999,341.39001,335.98999,336.059998,1929500,AMGN,twelve_data
2026-05-26,340.56,342.48999,335.20001,335.94,1860200,AMGN,twelve_data
2026-05-22,340.26001,343.79999,338.39999,339.29999,1566200,AMGN,twelve_data
2026-05-21,330.0,337.63,329.089996,337.42001,2001000,AMGN,twelve_data
2026-05-20,330.75,333.53,326.79999,331.57001,4074400,AMGN,twelve_data
2026-05-19,323.25,332.34,320.97,330.75,3040400,AMGN,twelve_data
2026-05-18,325.54999,325.76999,321.20999,324.39001,2030100,AMGN,twelve_data
2026-05-15,336.23001,336.23001,325.16,326.31,3447700,AMGN,twelve_data
2026-05-14,336.26001,337.94,333.47,336.23001,2041600,AMGN,twelve_data
2026-05-13,332.32001,338.0,330.059998,336.45001,2183800,AMGN,twelve_data
2026-05-12,331.95001,338.48999,329.79999,336.29001,3119100,AMGN,twelve_data
2026-05-11,332.98999,334.19,327.62,329.59,1918800,AMGN,twelve_data
2026-05-08,329.48001,332.32999,328.0,331.70001,2443200,AMGN,twelve_data
2026-05-07,330.39001,331.28,327.22,329.089996,3296900,AMGN,twelve_data
2026-05-06,329.13,332.98001,329.049988,331.10999,2874400,AMGN,twelve_data
2026-05-05,321.91,329.66,320.51999,329.59,3321400,AMGN,twelve_data
2026-05-04,326.029999,326.79001,321.92001,323.85001,3481000,AMGN,twelve_data
2026-05-01,332.51999,337.0,324.63,329.82001,3821100,AMGN,twelve_data
2026-04-30,340.75,349.54001,340.049988,346.25,3592600,AMGN,twelve_data
2026-04-29,335.01001,339.12,333.54999,338.019989,2516500,AMGN,twelve_data
2026-04-28,344.5,346.019989,337.82001,339.57001,2376400,AMGN,twelve_data
2026-04-27,342.35001,348.040009,339.98001,340.17999,2653800,AMGN,twelve_data
2026-04-24,346.0,347.66,342.51999,344.54999,2201200,AMGN,twelve_data
2026-04-23,345.51999,350.69,345.5,348.62,2033400,AMGN,twelve_data
2026-04-22,344.089996,347.67999,342.97,345.92001,2136100,AMGN,twelve_data
2026-04-21,350.23001,350.23001,340.059998,344.85999,2066600,AMGN,twelve_data
2026-04-20,354.25,356.89999,350.019989,350.16,2107600,AMGN,twelve_data
2026-04-17,351.89999,356.69,349.42001,355.29999,3685900,AMGN,twelve_data
2026-04-16,346.63,351.25,346.60001,349.39001,1981600,AMGN,twelve_data
2026-04-15,351.70001,352.60001,344.20999,348.22,2140000,AMGN,twelve_data
2026-04-14,346.17999,351.72,345.41,350.95001,2106800,AMGN,twelve_data
2026-04-13,352.089996,352.62,345.48999,349.82001,2547700,AMGN,twelve_data
2026-04-10,357.45999,357.45999,349.75,351.019989,2258100,AMGN,twelve_data
2026-04-09,347.45999,359.45001,346.42001,355.60001,2940700,AMGN,twelve_data
2026-04-08,345.60999,351.32999,342.35001,349.81,2666400,AMGN,twelve_data
2026-04-07,340.98999,341.87,335.059998,340.0,3162200,AMGN,twelve_data
2026-04-06,345.45001,348.17001,340.64001,342.57001,2143700,AMGN,twelve_data
2026-04-02,352.72,354.16,345.87,347.94,1604300,AMGN,twelve_data
2026-04-01,354.89999,357.0,351.66,353.28,2726600,AMGN,twelve_data
2026-03-31,350.73001,355.48999,347.10999,351.85001,3747100,AMGN,twelve_data
2026-03-30,351.82999,351.82999,348.13,349.0,2589900,AMGN,twelve_data
2026-03-27,355.66,355.66,347.79999,348.76999,2274800,AMGN,twelve_data
2026-03-26,350.32999,354.81,348.51999,353.16,2044800,AMGN,twelve_data
2026-03-25,350.76001,358.0,350.76001,353.92999,1831900,AMGN,twelve_data
2026-03-24,346.56,352.57999,345.79999,348.42999,2336700,AMGN,twelve_data
2026-03-23,351.79999,353.42001,348.60999,349.76999,2368700,AMGN,twelve_data
2026-03-20,348.01001,351.25,344.95001,347.79999,9168800,AMGN,twelve_data
2026-03-19,353.29999,356.32001,347.85001,349.92001,2168700,AMGN,twelve_data
2026-03-18,359.82001,360.69,350.81,351.48001,2895100,AMGN,twelve_data
2026-03-17,368.23999,368.78,359.79999,361.13,2334300,AMGN,twelve_data
2026-03-16,369.38,370.89001,364.72,366.25,2099100,AMGN,twelve_data
2026-03-13,370.67999,372.98001,365.92999,366.20999,1500300,AMGN,twelve_data
2026-03-12,373.51001,375.0,367.76001,367.79001,1990500,AMGN,twelve_data
2026-03-11,375.049988,380.14001,373.0,377.64001,2299200,AMGN,twelve_data
2026-03-10,376.17001,379.26001,372.73999,375.42999,2284500,AMGN,twelve_data
2026-03-09,368.26999,378.82001,366.53,376.97,2719900,AMGN,twelve_data
2026-03-06,364.20001,369.76001,361.70999,369.53,2443000,AMGN,twelve_data
2026-03-05,375.17999,377.089996,361.39999,367.60001,2868400,AMGN,twelve_data
2026-03-04,380.0,380.089996,370.82001,379.26999,2028300,AMGN,twelve_data
2026-03-03,377.97,381.73999,372.70999,377.0,2710400,AMGN,twelve_data
2026-03-02,388.0,391.29001,381.89001,385.70001,2837900,AMGN,twelve_data
2026-02-27,379.29001,390.14001,378.75,388.16,3441000,AMGN,twelve_data
2026-02-26,385.14001,385.14001,374.25,379.32999,2589400,AMGN,twelve_data
2026-02-25,381.5,387.48999,380.54001,384.32999,2459500,AMGN,twelve_data
2026-02-24,380.019989,383.20001,378.82001,382.87,2454700,AMGN,twelve_data
2026-02-23,375.26001,381.78,374.73999,379.42001,2951400,AMGN,twelve_data
2026-02-20,372.01001,377.0,371.39001,374.75,2911700,AMGN,twelve_data
2026-02-19,377.91,379.92999,374.13,375.5,2427000,AMGN,twelve_data
2026-02-18,373.5,380.57999,370.44,379.73001,2731900,AMGN,twelve_data
2026-02-17,370.88,374.76999,369.0,373.35999,2255400,AMGN,twelve_data
2026-02-13,362.66,370.42001,361.70999,369.19,2414200,AMGN,twelve_data
2026-02-12,366.66,370.88,365.059998,366.20001,2374500,AMGN,twelve_data
2026-02-11,365.14001,368.51001,361.0,366.57999,2826000,AMGN,twelve_data
2026-02-10,377.040009,377.35999,363.64999,364.64999,3526400,AMGN,twelve_data
2026-02-09,380.70001,384.62,372.34,375.82001,2843700,AMGN,twelve_data
2026-02-06,369.98999,385.12,368.89999,384.32001,3840300,AMGN,twelve_data
2026-02-05,365.73001,374.89999,365.0,367.79999,4007300,AMGN,twelve_data
2026-02-04,352.029999,368.75,342.38,366.20001,5899600,AMGN,twelve_data
2026-02-03,341.23999,349.5,338.59,338.59,4040000,AMGN,twelve_data
2026-02-02,339.47,345.98001,339.41,344.67999,1899900,AMGN,twelve_data
2026-01-30,340.81,345.5,338.070007,341.88,2522400,AMGN,twelve_data
2026-01-29,341.66,347.26999,338.75,342.94,3153100,AMGN,twelve_data
2026-01-28,349.0,351.95001,340.0,342.22,2347800,AMGN,twelve_data
2026-01-27,348.57001,353.25,346.92999,351.32001,3269600,AMGN,twelve_data
2026-01-26,344.70001,350.42999,343.62,349.69,3116100,AMGN,twelve_data
2026-01-23,346.17999,349.23001,341.82001,344.75,2024900,AMGN,twelve_data
2026-01-22,344.14999,349.98001,342.14001,347.070007,3025100,AMGN,twelve_data
2026-01-21,329.95001,343.98001,329.32001,343.60001,4148600,AMGN,twelve_data
2026-01-20,325.57999,331.34,321.70999,331.0,2947500,AMGN,twelve_data
2026-01-16,328.70001,333.029999,326.89999,330.41,4033700,AMGN,twelve_data
2026-01-15,328.97,332.5,325.19,330.029999,2591900,AMGN,twelve_data
2026-01-14,324.089996,329.20001,323.54999,328.97,1897400,AMGN,twelve_data
2026-01-13,327.42001,327.75,319.79001,324.29999,2382200,AMGN,twelve_data
2026-01-12,328.47,328.47,322.73999,325.54001,2460600,AMGN,twelve_data
2026-01-09,328.81,332.079987,323.89001,326.10001,2118400,AMGN,twelve_data
2026-01-08,337.76001,341.45999,328.20999,330.10999,2799300,AMGN,twelve_data
2026-01-07,332.10001,343.049988,332.10001,341.64001,3599200,AMGN,twelve_data
2026-01-06,319.48999,330.94,318.82999,330.17001,2722500,AMGN,twelve_data
2026-01-05,324.92001,326.51999,318.20999,320.72,2268700,AMGN,twelve_data
2026-01-02,328.76999,329.19,325.01001,327.64001,1539700,AMGN,twelve_data
2025-12-31,328.69,329.5,327.059998,327.31,1417300,AMGN,twelve_data
2025-12-30,328.64999,329.76999,325.82999,328.69,1255900,AMGN,twelve_data
2025-12-29,332.45999,333.5,329.47,329.63,2181000,AMGN,twelve_data
2025-12-26,333.64999,333.98001,330.85001,332.92999,792600,AMGN,twelve_data
2025-12-24,330.72,334.38,330.72,333.95999,833700,AMGN,twelve_data
2025-12-23,328.089996,333.67001,328.070007,331.48999,1552800,AMGN,twelve_data
2025-12-22,327.01001,331.88,326.079987,331.39001,2400400,AMGN,twelve_data
2025-12-19,325.56,331.5,324.73001,327.38,13465700,AMGN,twelve_data
2025-12-18,326.26999,328.23999,321.91,324.42001,2669000,AMGN,twelve_data
2025-12-17,327.51999,330.040009,325.42999,326.01001,2517300,AMGN,twelve_data
2025-12-16,324.82001,327.34,323.019989,326.73999,2642500,AMGN,twelve_data
2025-12-15,321.20999,325.76999,319.059998,325.31,4049500,AMGN,twelve_data
2025-12-12,317.29999,319.45999,315.19,317.73999,2247200,AMGN,twelve_data
2025-12-11,317.89001,320.19,312.39001,317.38,2454800,AMGN,twelve_data
2025-12-10,316.25,317.47,313.0,315.38,3071500,AMGN,twelve_data
2025-12-09,321.82001,323.0,313.17999,313.85001,2924900,AMGN,twelve_data
2025-12-08,329.089996,329.67001,320.17001,321.23001,3510700,AMGN,twelve_data
2025-12-05,340.35999,340.88,328.63,329.89001,2897700,AMGN,twelve_data
2025-12-04,344.23001,346.32999,338.94,340.16,3695700,AMGN,twelve_data
2025-12-03,340.54001,346.38,338.85001,345.42001,2839100,AMGN,twelve_data
2025-12-02,338.85999,342.5,336.32999,338.35999,2446500,AMGN,twelve_data
2025-12-01,343.070007,343.98001,336.25,337.48999,2383800,AMGN,twelve_data
2025-11-28,344.0,345.66,342.26001,345.45999,1268800,AMGN,twelve_data
2025-11-26,341.53,345.029999,340.0,344.57001,2333100,AMGN,twelve_data
2025-11-25,335.41,341.73001,335.41,341.10999,2868600,AMGN,twelve_data
2025-11-24,335.84,338.66,331.70999,334.29999,3551600,AMGN,twelve_data
2025-11-21,334.87,342.84,334.73999,337.54001,4128600,AMGN,twelve_data
2025-11-20,344.51999,345.089996,335.0,336.070007,3183700,AMGN,twelve_data
2025-11-19,343.47,345.29001,340.019989,342.39999,2129800,AMGN,twelve_data
2025-11-18,343.73001,345.48999,339.29999,343.98999,2966600,AMGN,twelve_data
2025-11-17,337.64001,344.059998,336.82999,341.70999,2996600,AMGN,twelve_data
2025-11-14,336.73999,339.79999,330.35001,336.73999,3310300,AMGN,twelve_data
2025-11-13,337.89999,345.84,335.12,336.0,3413500,AMGN,twelve_data
2025-11-12,338.64001,342.39999,335.82001,336.28,2941000,AMGN,twelve_data
2025-11-11,323.42001,338.54999,323.42001,338.45001,3136500,AMGN,twelve_data
2025-11-10,320.60001,326.17999,319.54001,323.66,2518600,AMGN,twelve_data
2025-11-07,316.079987,321.42001,314.0,320.20001,2665200,AMGN,twelve_data
2025-11-06,319.10001,321.31,312.51999,315.59,3330300,AMGN,twelve_data
2025-11-05,303.13,322.98001,302.13,319.85999,5486200,AMGN,twelve_data
2025-11-04,298.70999,299.059998,294.48001,296.70001,3412500,AMGN,twelve_data
2025-11-03,298.42999,301.0,292.12,296.29999,2753300,AMGN,twelve_data
2025-10-31,288.45999,298.88,288.0,298.42999,2687100,AMGN,twelve_data
2025-10-30,290.57999,294.56,289.0,292.0,2058200,AMGN,twelve_data
2025-10-29,291.76001,294.81,289.44,291.76999,2824300,AMGN,twelve_data
2025-10-28,288.92999,292.63,288.26001,292.089996,2217200,AMGN,twelve_data
2025-10-27,291.20999,292.0,288.26001,291.16,1794300,AMGN,twelve_data
2025-10-24,292.89001,293.94,290.66,291.76001,1376300,AMGN,twelve_data
2025-10-23,296.01001,296.45999,291.91,292.89001,1496800,AMGN,twelve_data
2025-10-22,301.29001,302.82001,295.60001,295.98001,1698500,AMGN,twelve_data
2025-10-21,302.60001,303.85001,298.029999,301.14001,1533400,AMGN,twelve_data
2025-10-20,299.48001,303.66,297.75,303.32999,1613400,AMGN,twelve_data
2025-10-17,295.23999,299.37,293.14001,298.81,1959400,AMGN,twelve_data
2025-10-16,298.070007,302.26999,294.44,295.81,1715000,AMGN,twelve_data
2025-10-15,292.82001,298.20999,292.42999,297.32001,2502100,AMGN,twelve_data
2025-10-14,291.75,296.87,290.97,293.85001,1975900,AMGN,twelve_data
2025-10-13,291.75,296.13,289.44,292.39999,1838400,AMGN,twelve_data
2025-10-10,296.16,297.089996,289.57999,290.13,2660500,AMGN,twelve_data
2025-10-09,294.13,296.63,293.70001,295.42999,1369000,AMGN,twelve_data
2025-10-08,295.79001,297.63,292.29001,294.62,2940600,AMGN,twelve_data
2025-10-07,293.26999,295.85001,290.20999,295.54001,1504300,AMGN,twelve_data
2025-10-06,297.62,297.62,293.029999,294.12,1957300,AMGN,twelve_data
2025-10-03,297.72,301.54001,295.63,297.89001,2518500,AMGN,twelve_data
2025-10-02,298.31,300.5,295.45999,297.39999,2123200,AMGN,twelve_data
2025-10-01,284.45001,301.66,283.0,298.5,4835400,AMGN,twelve_data
2025-09-30,274.14001,284.82001,274.019989,282.20001,3508700,AMGN,twelve_data
2025-09-29,273.10001,274.51999,270.67001,273.97,1769100,AMGN,twelve_data
2025-09-26,274.34,275.5,269.76999,272.98001,1812200,AMGN,twelve_data
2025-09-25,279.0,281.049988,270.64001,271.17999,2802700,AMGN,twelve_data
