date,open,high,low,close,volume,symbol,source
2026-06-10,243.605,244.050003,237.45,238.0,38263040,AMZN,twelve_data
2026-06-09,247.73,250.42999,240.39999,244.19,44361500,AMZN,twelve_data
2026-06-08,246.67999,249.42,243.36,245.22,33899500,AMZN,twelve_data
2026-06-05,254.25999,256.38,245.78,246.029999,55607800,AMZN,twelve_data
2026-06-04,253.12,255.83,251.75,253.78999,35609800,AMZN,twelve_data
2026-06-03,254.7,257.089996,247.71001,250.020004,51394200,AMZN,twelve_data
2026-06-02,257.16,261.20001,254.37,256.51999,41811000,AMZN,twelve_data
2026-06-01,266.29001,266.63,260.70001,261.26001,53604400,AMZN,twelve_data
2026-05-29,271.29001,274.75,269.64001,270.64001,54749600,AMZN,twelve_data
2026-05-28,272.26999,274.5,267.44,274.0,40630400,AMZN,twelve_data
2026-05-27,266.14999,272.41,265.70001,271.85001,40061900,AMZN,twelve_data
2026-05-26,267.94,269.29999,262.070007,265.29001,38028100,AMZN,twelve_data
2026-05-22,268.66,269.79001,266.23999,266.32001,27535500,AMZN,twelve_data
2026-05-21,263.5,269.48999,261.37,268.45999,36591700,AMZN,twelve_data
2026-05-20,260.049988,265.57999,259.53,265.01001,34933200,AMZN,twelve_data
2026-05-19,262.040009,262.25,255.19,259.34,40340700,AMZN,twelve_data
2026-05-18,263.87,268.85001,262.53,264.85999,33690800,AMZN,twelve_data
2026-05-15,262.5,264.35999,260.89001,264.14001,40770300,AMZN,twelve_data
2026-05-14,269.14999,270.78,266.63,267.22,31338400,AMZN,twelve_data
2026-05-13,264.42999,270.72,263.20001,270.13,39670900,AMZN,twelve_data
2026-05-12,266.70999,267.64999,262.63,265.82001,36776200,AMZN,twelve_data
2026-05-11,269.84,273.63,268.48001,268.98999,38176700,AMZN,twelve_data
2026-05-08,271.63,274.0,269.95001,272.67999,34732700,AMZN,twelve_data
2026-05-07,275.019989,276.63,270.48999,271.17001,35892900,AMZN,twelve_data
2026-05-06,272.89001,277.79999,272.20999,274.98999,44552000,AMZN,twelve_data
2026-05-05,276.079987,278.56,272.38,273.54999,41908500,AMZN,twelve_data
2026-05-04,268.79999,276.10001,268.79999,272.049988,49083700,AMZN,twelve_data
2026-05-01,265.57999,273.32001,262.73999,268.26001,50825200,AMZN,twelve_data
2026-04-30,273.17001,273.88,256.16,265.059998,100974900,AMZN,twelve_data
2026-04-29,257.98999,265.91,257.70001,263.040009,72367900,AMZN,twelve_data
2026-04-28,258.39001,261.029999,256.63,259.70001,42204400,AMZN,twelve_data
2026-04-27,263.45999,264.14999,260.34,261.12,44906800,AMZN,twelve_data
2026-04-24,259.98001,264.5,257.69,263.98999,53777400,AMZN,twelve_data
2026-04-23,255.39,258.79001,253.070007,255.080002,39091400,AMZN,twelve_data
2026-04-22,252.44,255.94,250.33,255.36,36065100,AMZN,twelve_data
2026-04-21,255.089996,255.089996,249.10001,249.91,42922400,AMZN,twelve_data
2026-04-20,249.19,250.17999,245.37,248.28,39463100,AMZN,twelve_data
2026-04-17,254.99001,256.17999,250.11,250.56,52029300,AMZN,twelve_data
