date,open,high,low,close,volume,symbol,source
2026-06-10,63.4,64.3,63.0099983,63.02,5497264,BKR,twelve_data
2026-06-09,65.45,65.45,62.56,63.55,6598900,BKR,twelve_data
2026-06-08,63.76,65.23,63.71,64.84,6131100,BKR,twelve_data
2026-06-05,65.45,65.56,62.58,62.59,7172800,BKR,twelve_data
2026-06-04,64.24,66.24,63.88,66.11,6407200,BKR,twelve_data
2026-06-03,64.22,64.93,63.71,64.27,6247100,BKR,twelve_data
2026-06-02,62.56,64.6,62.55,64.54,5429500,BKR,twelve_data
2026-06-01,63.61,63.69,62.34,62.97,5839800,BKR,twelve_data
2026-05-29,64.43,65.11,63.78,63.88,14363600,BKR,twelve_data
2026-05-28,63.86,64.75,62.39,64.71,9185700,BKR,twelve_data
2026-05-27,65.26,65.31,62.56,63.2,8617200,BKR,twelve_data
2026-05-26,66.059998,67.92,65.82,66.73,8303600,BKR,twelve_data
2026-05-22,65.4,66.5,64.62,66.059998,8382600,BKR,twelve_data
2026-05-21,67.4,67.63,65.67,65.8,6403800,BKR,twelve_data
2026-05-20,65.76,67.43,65.76,66.79,8734500,BKR,twelve_data
2026-05-19,66.42,66.49,65.17,65.47,9083800,BKR,twelve_data
2026-05-18,64.12,66.26,63.72,66.21,7541800,BKR,twelve_data
2026-05-15,64.61,65.050003,64.029999,64.12,7867500,BKR,twelve_data
2026-05-14,64.63,65.56,64.15,64.61,5912500,BKR,twelve_data
2026-05-13,65.22,65.65,64.53,65.41,6175500,BKR,twelve_data
2026-05-12,64.48,65.71,63.61,65.24,6467300,BKR,twelve_data
2026-05-11,63.98,65.11,63.85,64.6,6702200,BKR,twelve_data
2026-05-08,63.61,64.57,63.35,63.89,7859300,BKR,twelve_data
2026-05-07,65.29,65.29,62.46,63.53,12148300,BKR,twelve_data
2026-05-06,66.76,67.72,65.96,66.67,9529300,BKR,twelve_data
2026-05-05,68.9,69.27,67.66,67.78,5829200,BKR,twelve_data
2026-05-04,69.17,69.59,68.54,69.010002,5481000,BKR,twelve_data
2026-05-01,69.39,70.0,68.81,69.12,5440800,BKR,twelve_data
2026-04-30,68.54,69.99,68.12,69.67,8012300,BKR,twelve_data
2026-04-29,68.62,69.21,67.36,68.81,7800300,BKR,twelve_data
2026-04-28,68.87,69.73,67.55,67.67,8516400,BKR,twelve_data
2026-04-27,70.0,70.41,68.28,68.38,14274800,BKR,twelve_data
2026-04-24,66.46,69.86,65.76,68.94,15504400,BKR,twelve_data
2026-04-23,62.99,65.56,62.99,64.49,12147900,BKR,twelve_data
2026-04-22,60.97,62.74,60.96,62.54,8205700,BKR,twelve_data
2026-04-21,59.88,60.36,59.64,60.25,5466300,BKR,twelve_data
2026-04-20,59.67,60.33,58.73,59.17,7100900,BKR,twelve_data
2026-04-17,59.69,60.38,58.42,59.78,12531200,BKR,twelve_data
2026-04-16,59.58,61.040001,59.28,60.6,6974900,BKR,twelve_data
2026-04-15,61.080002,61.93,59.92,60.07,7567400,BKR,twelve_data
2026-04-14,61.95,62.21,61.0,61.49,7766700,BKR,twelve_data
2026-04-13,62.69,63.56,61.98,62.56,8546400,BKR,twelve_data
2026-04-10,62.82,63.47,62.35,62.83,6210300,BKR,twelve_data
2026-04-09,63.28,64.92,63.09,63.42,6071400,BKR,twelve_data
2026-04-08,59.94,63.59,59.72,63.16,10998700,BKR,twelve_data
2026-04-07,60.2,61.33,59.81,61.25,4921900,BKR,twelve_data
2026-04-06,60.29,60.98,60.16,60.7,4945600,BKR,twelve_data
2026-04-02,60.83,61.12,59.88,60.38,7006000,BKR,twelve_data
2026-04-01,60.43,61.040001,59.18,60.34,8845800,BKR,twelve_data
2026-03-31,61.09,62.060001,60.3,61.049999,10379100,BKR,twelve_data
2026-03-30,63.85,64.34,60.29,60.68,9694200,BKR,twelve_data
2026-03-27,62.12,63.73,61.64,63.22,7771800,BKR,twelve_data
2026-03-26,62.46,63.0,61.84,62.36,7673400,BKR,twelve_data
2026-03-25,63.55,64.25,62.54,62.62,9619600,BKR,twelve_data
2026-03-24,62.080002,64.07,61.87,63.49,9963600,BKR,twelve_data
2026-03-23,61.64,63.13,61.24,62.53,11627100,BKR,twelve_data
2026-03-20,60.76,61.29,59.9,60.35,18831300,BKR,twelve_data
2026-03-19,57.37,60.77,56.52,60.71,14652200,BKR,twelve_data
2026-03-18,57.080002,58.27,56.86,57.48,7495300,BKR,twelve_data
2026-03-17,56.13,57.9,55.63,57.0,12072900,BKR,twelve_data
2026-03-16,54.47,55.21,53.83,55.19,10462800,BKR,twelve_data
2026-03-13,55.88,56.02,54.080002,54.26,17460000,BKR,twelve_data
2026-03-12,58.080002,58.13,55.19,55.9,14347000,BKR,twelve_data
2026-03-11,59.040001,59.41,57.8,58.97,11141300,BKR,twelve_data
