date,open,high,low,close,volume,symbol,source
2026-06-10,977.44397,985.255,964.31,983.37,1686255,COST,twelve_data
2026-06-09,974.21002,981.96997,964.94,968.59003,1997700,COST,twelve_data
2026-06-08,963.46002,978.97998,961.0,974.75,2086100,COST,twelve_data
2026-06-05,977.5,997.40997,971.59998,971.87,3092000,COST,twelve_data
2026-06-04,986.96002,990.01001,968.21002,972.34998,2345200,COST,twelve_data
2026-06-03,952.88,969.17999,951.97998,961.83002,2174100,COST,twelve_data
2026-06-02,942.28998,955.39001,939.45001,954.27002,2218200,COST,twelve_data
2026-06-01,955.0,959.21002,936.51001,946.10999,2816300,COST,twelve_data
2026-05-29,986.57001,998.82001,945.45001,956.32001,7028000,COST,twelve_data
2026-05-28,1011.60999,1012.0,994.27002,995.20001,2844300,COST,twelve_data
2026-05-27,1003.85999,1013.51001,999.69,1003.69,2390100,COST,twelve_data
2026-05-26,1026.13,1027.5,996.15997,1002.92999,2704600,COST,twelve_data
2026-05-22,1039.98999,1045.64001,1025.18994,1028.23999,2048300,COST,twelve_data
2026-05-21,1063.41003,1064.72998,1039.01001,1050.44995,2149700,COST,twelve_data
2026-05-20,1089.37,1089.73999,1072.0,1074.01001,2223400,COST,twelve_data
2026-05-19,1077.0,1096.5,1072.099976,1094.31995,2853300,COST,twelve_data
2026-05-18,1050.0,1079.82996,1045.0,1076.46997,2295200,COST,twelve_data
2026-05-15,1049.35999,1057.5,1039.21997,1048.94995,1967000,COST,twelve_data
2026-05-14,1034.94995,1041.79004,1026.099976,1041.25,1606600,COST,twelve_data
2026-05-13,1017.94,1042.52002,1017.94,1033.079956,1654600,COST,twelve_data
2026-05-12,1002.53998,1026.0,1001.14001,1021.88,2143200,COST,twelve_data
2026-05-11,1005.82001,1007.0,985.15002,999.46997,2053500,COST,twelve_data
2026-05-08,1011.73999,1016.0,1005.10999,1008.78998,1805200,COST,twelve_data
2026-05-07,993.5,1012.65997,990.65997,1012.059998,2014000,COST,twelve_data
2026-05-06,1011.31,1012.22998,992.41998,995.75,2619100,COST,twelve_data
2026-05-05,1010.51001,1020.78003,1009.070007,1016.41998,1456300,COST,twelve_data
2026-05-04,1007.02002,1024.71997,1002.21002,1012.78998,1479400,COST,twelve_data
2026-05-01,1015.38,1031.27002,1006.32001,1011.70001,1509700,COST,twelve_data
2026-04-30,996.45001,1017.69,996.32001,1014.53003,2049300,COST,twelve_data
2026-04-29,988.37,998.96997,985.12,998.66998,1516900,COST,twelve_data
2026-04-28,1010.47998,1012.65002,986.0,994.0,1776000,COST,twelve_data
