date,open,high,low,close,volume,symbol,source
2026-06-10,119.625,120.95,118.36,118.8,18549824,CSCO,twelve_data
2026-06-09,123.26,124.22,117.099998,120.36,22730500,CSCO,twelve_data
2026-06-08,123.56,126.44,122.0,124.15,24288200,CSCO,twelve_data
2026-06-05,128.66,128.84,121.55,121.64,33169300,CSCO,twelve_data
2026-06-04,126.059998,130.37,124.14,130.0,23339500,CSCO,twelve_data
2026-06-03,126.16,129.42,124.92,126.5,29972500,CSCO,twelve_data
2026-06-02,122.49,128.22,122.49,128.0,26451500,CSCO,twelve_data
2026-06-01,119.8,121.95,118.3,121.33,23966800,CSCO,twelve_data
2026-05-29,117.82,121.43,117.010002,120.42,42179300,CSCO,twelve_data
2026-05-28,120.53,120.72,117.96,118.64,20631300,CSCO,twelve_data
2026-05-27,117.94,120.39,116.77,119.67,21705100,CSCO,twelve_data
2026-05-26,120.54,120.77,117.099998,118.33,26607200,CSCO,twelve_data
2026-05-22,118.46,120.79,117.68,120.41,22237200,CSCO,twelve_data
2026-05-21,114.13,118.6,113.57,118.2,22700600,CSCO,twelve_data
2026-05-20,115.69,116.92,113.85,114.35,26154800,CSCO,twelve_data
2026-05-19,117.040001,118.5,114.79,115.38,32525500,CSCO,twelve_data
2026-05-18,118.8,119.39,116.029999,118.88,24763500,CSCO,twelve_data
2026-05-15,114.61,118.83,114.0,118.21,38519600,CSCO,twelve_data
2026-05-14,117.55,119.36,113.97,115.53,70932300,CSCO,twelve_data
2026-05-13,99.4,102.010002,99.29,101.87,45241600,CSCO,twelve_data
2026-05-12,99.52,99.93,97.77,99.29,28810800,CSCO,twelve_data
2026-05-11,96.35,98.83,95.33,98.72,31852500,CSCO,twelve_data
2026-05-08,93.33,97.019997,93.14,96.57,24652500,CSCO,twelve_data
2026-05-07,92.0,92.73,91.61,92.16,17062300,CSCO,twelve_data
2026-05-06,92.64,93.42,91.0,91.64,27026600,CSCO,twelve_data
2026-05-05,93.82,94.72,93.38,94.3,13456200,CSCO,twelve_data
