date,open,high,low,close,volume,symbol,source
2026-06-10,125.18,125.5,121.39,121.48,9674364,GILD,twelve_data
2026-06-09,128.8,129.0,123.2,125.5,8679700,GILD,twelve_data
2026-06-08,130.070007,130.8,127.13,128.10001,9796000,GILD,twelve_data
2026-06-05,130.089996,131.66,128.92,129.16,15369400,GILD,twelve_data
2026-06-04,130.57001,131.039993,128.0099945,129.17999,13729200,GILD,twelve_data
2026-06-03,127.59,129.86,127.5,128.99001,6237100,GILD,twelve_data
2026-06-02,128.99001,130.60001,127.07,127.57,8082600,GILD,twelve_data
2026-06-01,133.99001,133.99001,130.53,131.10001,6259200,GILD,twelve_data
2026-05-29,135.13,137.2,133.55,134.42999,17509800,GILD,twelve_data
2026-05-28,133.89,136.50999,132.78999,136.22,5610000,GILD,twelve_data
2026-05-27,133.83,136.19,132.59,133.69,5032000,GILD,twelve_data
2026-05-26,135.25,136.32001,133.67999,133.73,6408900,GILD,twelve_data
2026-05-22,131.57001,134.52,131.12,134.36,5973400,GILD,twelve_data
2026-05-21,130.020004,131.34,129.42,130.5,4920800,GILD,twelve_data
2026-05-20,131.36,131.95,129.49001,130.69,5571000,GILD,twelve_data
2026-05-19,129.5,132.34,128.34,130.5,5009000,GILD,twelve_data
2026-05-18,130.14999,131.050003,129.22,129.67,5182200,GILD,twelve_data
2026-05-15,132.27,132.81,129.10001,129.58,6640700,GILD,twelve_data
2026-05-14,133.77,134.64999,131.81,132.059998,4533200,GILD,twelve_data
2026-05-13,133.55,135.070007,131.88,133.050003,6666700,GILD,twelve_data
2026-05-12,135.0,137.5,132.72,134.94,6034900,GILD,twelve_data
2026-05-11,131.0099945,134.86,130.98,133.52,5385000,GILD,twelve_data
2026-05-08,130.0,133.34,129.0,131.33,10250100,GILD,twelve_data
2026-05-07,136.5,136.5,133.75999,134.059998,8901000,GILD,twelve_data
2026-05-06,133.38,136.75,133.19,136.3,6351200,GILD,twelve_data
2026-05-05,132.84,133.98,131.89,133.48,6152400,GILD,twelve_data
2026-05-04,130.44,133.10001,130.0,132.69,5880600,GILD,twelve_data
2026-05-01,130.0,132.36,129.0099945,131.64999,5517000,GILD,twelve_data
2026-04-30,127.96,132.21001,127.96,130.84,6660000,GILD,twelve_data
2026-04-29,128.89999,129.96001,128.0,128.84,5048300,GILD,twelve_data
2026-04-28,130.33,130.47,128.34,129.25999,5940300,GILD,twelve_data
