date,open,high,low,close,volume,symbol,source
2026-06-10,574.46997,575.42999,555.85999,556.94,578451,IDXX,twelve_data
2026-06-09,563.54999,581.46997,559.080017,578.89001,452300,IDXX,twelve_data
2026-06-08,560.22998,566.78003,555.0,561.16998,370500,IDXX,twelve_data
2026-06-05,567.070007,569.059998,560.38,562.15997,459100,IDXX,twelve_data
2026-06-04,565.89001,577.48999,555.53003,564.73999,631300,IDXX,twelve_data
2026-06-03,549.44,562.15997,547.57001,560.72998,891300,IDXX,twelve_data
2026-06-02,560.15997,560.15997,548.92999,550.82001,669100,IDXX,twelve_data
2026-06-01,555.96002,571.88,552.25,566.78998,604400,IDXX,twelve_data
2026-05-29,567.40997,573.5,562.89001,563.53003,1417100,IDXX,twelve_data
2026-05-28,550.98999,570.26001,547.90002,568.030029,725800,IDXX,twelve_data
2026-05-27,555.54999,560.72998,548.53003,550.98999,504700,IDXX,twelve_data
2026-05-26,554.71997,559.83002,550.27002,557.21002,425100,IDXX,twelve_data
2026-05-22,551.46002,562.29999,549.75,559.37,466000,IDXX,twelve_data
2026-05-21,548.059998,556.71997,539.44,553.070007,430700,IDXX,twelve_data
2026-05-20,546.14001,554.28003,535.95001,553.58002,619000,IDXX,twelve_data
2026-05-19,547.98999,561.28003,543.71997,546.48999,719700,IDXX,twelve_data
2026-05-18,532.15997,551.080017,531.70001,545.78998,644900,IDXX,twelve_data
2026-05-15,534.71997,540.95001,527.12,528.78998,659300,IDXX,twelve_data
2026-05-14,528.67999,544.81,528.02002,532.85999,786100,IDXX,twelve_data
2026-05-13,531.81,533.39001,523.38,528.67999,600900,IDXX,twelve_data
2026-05-12,534.23999,543.38,532.97998,533.91998,674100,IDXX,twelve_data
2026-05-11,559.90002,559.90002,524.62,532.0,761400,IDXX,twelve_data
2026-05-08,572.20001,572.20001,555.19,560.10999,476600,IDXX,twelve_data
2026-05-07,581.12,585.12,566.02002,572.20001,758900,IDXX,twelve_data
2026-05-06,561.84998,580.65002,550.45001,579.22998,665200,IDXX,twelve_data
2026-05-05,569.21002,584.71997,550.0,562.96997,734400,IDXX,twelve_data
2026-05-04,564.51001,570.63,554.030029,563.12,711800,IDXX,twelve_data
2026-05-01,564.70001,572.28003,555.57001,567.46002,610600,IDXX,twelve_data
2026-04-30,554.33002,562.71002,548.070007,560.79999,717100,IDXX,twelve_data
2026-04-29,561.97998,563.69,544.01001,553.65997,617200,IDXX,twelve_data
2026-04-28,575.15997,579.15002,563.90002,568.29999,539000,IDXX,twelve_data
2026-04-27,563.46997,579.62,562.48999,574.95001,665600,IDXX,twelve_data
2026-04-24,556.91998,567.94,552.0,565.92999,598200,IDXX,twelve_data
2026-04-23,577.84998,577.84998,554.48999,560.92999,629600,IDXX,twelve_data
2026-04-22,570.85999,584.52002,570.85999,578.34998,364700,IDXX,twelve_data
2026-04-21,584.46997,592.51001,567.31,569.01001,578000,IDXX,twelve_data
2026-04-20,582.66998,590.25,579.96997,583.059998,638200,IDXX,twelve_data
2026-04-17,583.10999,594.52002,577.37,589.25,493500,IDXX,twelve_data
2026-04-16,580.76001,584.84003,569.31,569.95001,337700,IDXX,twelve_data
2026-04-15,583.039978,585.38,577.37,580.76001,354700,IDXX,twelve_data
2026-04-14,573.15002,585.73999,571.070007,584.049988,455100,IDXX,twelve_data
2026-04-13,559.33002,576.10999,558.31,574.0,458900,IDXX,twelve_data
2026-04-10,579.66998,582.23999,559.39001,563.0,498600,IDXX,twelve_data
2026-04-09,584.15997,588.58002,580.39001,584.75,448100,IDXX,twelve_data
2026-04-08,601.16998,605.82001,588.42999,591.84003,451600,IDXX,twelve_data
2026-04-07,577.44,579.92999,569.71997,574.79999,621500,IDXX,twelve_data
2026-04-06,566.16998,580.90002,565.87,577.44,588600,IDXX,twelve_data
2026-04-02,552.049988,575.42999,548.56,569.54999,734300,IDXX,twelve_data
2026-04-01,561.66998,568.75,557.5,564.65997,490500,IDXX,twelve_data
2026-03-31,560.039978,566.57001,548.51001,561.89001,823200,IDXX,twelve_data
2026-03-30,560.95001,567.71002,555.72998,557.090027,460700,IDXX,twelve_data
2026-03-27,576.53998,576.87,557.34998,558.32001,445600,IDXX,twelve_data
2026-03-26,575.26001,586.21002,570.97998,573.28998,432400,IDXX,twelve_data
2026-03-25,581.099976,581.63,562.34998,575.71997,419900,IDXX,twelve_data
2026-03-24,573.40002,576.51001,565.33002,570.21002,361500,IDXX,twelve_data
2026-03-23,592.59998,594.77002,577.90997,578.51001,415900,IDXX,twelve_data
2026-03-20,576.78003,581.35999,569.89001,577.26001,765300,IDXX,twelve_data
2026-03-19,577.62,586.01001,575.51001,579.84998,482600,IDXX,twelve_data
2026-03-18,581.90997,586.95001,574.84998,577.12,542300,IDXX,twelve_data
2026-03-17,591.84998,599.96997,586.62,586.97998,426800,IDXX,twelve_data
2026-03-16,577.51001,592.59003,576.53998,586.37,510600,IDXX,twelve_data
2026-03-13,576.23999,578.28998,567.62,573.82001,456400,IDXX,twelve_data
2026-03-12,592.87,596.23999,570.34998,571.21002,800600,IDXX,twelve_data
2026-03-11,598.42999,603.29999,585.090027,600.52002,409200,IDXX,twelve_data
2026-03-10,607.96002,610.42999,598.099976,598.84998,463100,IDXX,twelve_data
2026-03-09,601.52002,611.62,594.32001,610.45001,477700,IDXX,twelve_data
2026-03-06,607.59003,615.47998,594.94,608.40997,560500,IDXX,twelve_data
2026-03-05,634.080017,639.38,614.25,618.91998,611000,IDXX,twelve_data
2026-03-04,633.5,651.059998,630.23999,648.70001,561200,IDXX,twelve_data
2026-03-03,627.90997,644.20001,624.95001,635.53998,501600,IDXX,twelve_data
2026-03-02,639.47998,647.039978,627.39001,636.70001,522300,IDXX,twelve_data
2026-02-27,650.039978,661.28003,644.53998,656.72998,799000,IDXX,twelve_data
2026-02-26,657.57001,666.14001,650.0,660.71002,414300,IDXX,twelve_data
2026-02-25,650.29999,663.13,650.29999,657.38,504500,IDXX,twelve_data
2026-02-24,623.13,652.64001,617.0,649.22998,790900,IDXX,twelve_data
2026-02-23,628.94,631.79999,618.56,623.13,515600,IDXX,twelve_data
2026-02-20,626.75,638.14001,625.21997,635.65997,301700,IDXX,twelve_data
