date,open,high,low,close,volume,symbol,source
2026-06-10,323.29001,348.1611,318.94501,321.79999,13392569,LRCX,twelve_data
2026-06-09,335.5,349.089996,306.01001,327.16,14451300,LRCX,twelve_data
2026-06-08,318.54999,330.67999,315.0,324.45001,11465100,LRCX,twelve_data
2026-06-05,320.37,323.42001,302.73999,303.28,13309000,LRCX,twelve_data
2026-06-04,329.75,342.37,324.70999,336.41,8277000,LRCX,twelve_data
2026-06-03,335.049988,346.19,332.13,343.70999,8630900,LRCX,twelve_data
2026-06-02,324.42001,335.54999,320.85999,334.41,8632400,LRCX,twelve_data
2026-06-01,309.26999,320.82999,307.040009,317.12,8052800,LRCX,twelve_data
2026-05-29,322.0,324.25,316.81,318.17999,10872200,LRCX,twelve_data
2026-05-28,317.45001,322.64001,308.73999,318.0,8402800,LRCX,twelve_data
2026-05-27,331.67001,333.32999,314.28,318.92999,8819300,LRCX,twelve_data
2026-05-26,314.76999,323.98001,309.64999,322.67999,9763600,LRCX,twelve_data
2026-05-22,305.73001,309.98001,303.17999,305.35001,7854700,LRCX,twelve_data
2026-05-21,292.67001,303.17999,291.79999,302.23999,9162400,LRCX,twelve_data
2026-05-20,279.57999,293.63,277.51999,292.089996,8574200,LRCX,twelve_data
2026-05-19,267.95001,278.73001,263.70999,273.38,8308600,LRCX,twelve_data
2026-05-18,292.73999,294.56,273.079987,277.95999,8562200,LRCX,twelve_data
2026-05-15,289.44,289.44,276.48001,284.72,9643200,LRCX,twelve_data
2026-05-14,296.32999,302.0,293.01001,299.14999,6404900,LRCX,twelve_data
2026-05-13,295.26999,298.98001,287.17999,295.44,8633100,LRCX,twelve_data
2026-05-12,287.22,290.35001,277.76999,289.23999,9341800,LRCX,twelve_data
2026-05-11,292.51001,300.0,292.51001,296.049988,9150000,LRCX,twelve_data
2026-05-08,295.72,297.42001,287.51999,294.049988,8996700,LRCX,twelve_data
2026-05-07,297.029999,298.0,283.14001,286.51999,9704500,LRCX,twelve_data
2026-05-06,287.0,297.87,285.85001,297.17001,14788600,LRCX,twelve_data
2026-05-05,266.64001,280.0,266.64001,275.79999,11884000,LRCX,twelve_data
2026-05-04,256.69,263.079987,254.95,258.57001,6497400,LRCX,twelve_data
2026-05-01,255.14,260.44,250.12,256.72,8094500,LRCX,twelve_data
2026-04-30,252.39,258.57999,248.66,257.85999,10381100,LRCX,twelve_data
2026-04-29,253.17,253.96001,241.60001,248.75,9585300,LRCX,twelve_data
2026-04-28,251.98,253.7,243.039993,251.23,11499500,LRCX,twelve_data
2026-04-27,267.76001,268.82999,256.31,259.47,8095400,LRCX,twelve_data
2026-04-24,267.5,275.84,266.88,267.78,12313200,LRCX,twelve_data
2026-04-23,265.049988,272.82001,253.28,258.56,12269100,LRCX,twelve_data
2026-04-22,261.70999,266.14001,257.39999,265.54999,9803300,LRCX,twelve_data
2026-04-21,263.81,265.60001,256.70999,258.37,7830300,LRCX,twelve_data
2026-04-20,267.10001,267.64999,262.54001,263.16,5989900,LRCX,twelve_data
2026-04-17,267.97,268.76001,262.42001,267.60001,8465400,LRCX,twelve_data
2026-04-16,263.48001,266.25,259.17999,260.95999,7829400,LRCX,twelve_data
2026-04-15,267.0,267.98999,255.48,265.16,11324200,LRCX,twelve_data
2026-04-14,271.85999,273.5,264.89999,272.41,8500600,LRCX,twelve_data
2026-04-13,263.12,267.54001,260.85001,267.32001,8773600,LRCX,twelve_data
2026-04-10,263.19,268.23001,259.32999,263.66,9124700,LRCX,twelve_data
2026-04-09,248.33,259.0,247.35001,258.76001,9757800,LRCX,twelve_data
2026-04-08,242.75,249.19,241.49001,246.49001,11023000,LRCX,twelve_data
2026-04-07,218.24001,224.49001,216.5,224.35001,6818400,LRCX,twelve_data
2026-04-06,220.13,221.56,216.53,220.64999,4031200,LRCX,twelve_data
2026-04-02,208.84,222.0099945,208.8,218.44,6805400,LRCX,twelve_data
2026-04-01,215.45,225.5,215.0,222.0099945,10697600,LRCX,twelve_data
2026-03-31,206.0,213.84,203.0099945,213.66,11725000,LRCX,twelve_data
2026-03-30,214.56,216.28999,198.60001,199.92999,11921000,LRCX,twelve_data
2026-03-27,209.67,217.0,209.0,211.41,8503300,LRCX,twelve_data
2026-03-26,225.74001,226.89,211.38,211.62,13460500,LRCX,twelve_data
2026-03-25,236.14999,237.10001,227.36,233.45,8330600,LRCX,twelve_data
2026-03-24,230.16,241.37,230.16,238.84,7388000,LRCX,twelve_data
2026-03-23,230.39,239.52,227.070007,233.31,9506200,LRCX,twelve_data
2026-03-20,234.32001,236.84,222.050003,228.36,26176400,LRCX,twelve_data
2026-03-19,218.17,235.14,215.0,233.99001,10101900,LRCX,twelve_data
2026-03-18,226.74001,232.32001,222.98,224.71001,12478800,LRCX,twelve_data
2026-03-17,220.53,226.71001,218.55,226.47,10043700,LRCX,twelve_data
2026-03-16,217.95,221.46001,215.95,219.39999,9533100,LRCX,twelve_data
2026-03-13,212.34,218.0,211.23,212.2,8906500,LRCX,twelve_data
2026-03-12,213.67,215.17,208.0,209.49001,9932900,LRCX,twelve_data
2026-03-11,214.45,221.62,214.0,218.87,7160500,LRCX,twelve_data
2026-03-10,211.0,220.82001,210.88,215.23,10699700,LRCX,twelve_data
2026-03-09,195.0,211.5,194.080002,211.14999,13421000,LRCX,twelve_data
2026-03-06,205.45,211.24001,198.45,199.33,13597800,LRCX,twelve_data
2026-03-05,218.41,222.41,208.13,214.67999,10241000,LRCX,twelve_data
2026-03-04,221.71001,225.12,219.0,222.99001,8614400,LRCX,twelve_data
2026-03-03,223.77,224.12,215.78999,217.27,12442300,LRCX,twelve_data
2026-03-02,229.28,233.83,227.23,231.0,10294000,LRCX,twelve_data
2026-02-27,233.46001,240.10001,232.67999,233.89,12988900,LRCX,twelve_data
2026-02-26,246.029999,248.5,230.7,239.070007,10700300,LRCX,twelve_data
2026-02-25,249.89,256.67999,248.39,249.48,9835400,LRCX,twelve_data
2026-02-24,243.45,247.75999,238.98,244.25,9087100,LRCX,twelve_data
2026-02-23,245.35001,249.39999,237.37,242.27,9488000,LRCX,twelve_data
2026-02-20,237.55,245.75999,236.97,244.92,8601200,LRCX,twelve_data
2026-02-19,234.070007,237.92,231.42,237.39,6384200,LRCX,twelve_data
2026-02-18,236.38,245.27,234.10001,240.089996,10095400,LRCX,twelve_data
2026-02-17,231.45,238.14999,228.88,235.58,7368500,LRCX,twelve_data
2026-02-13,236.17999,242.78,233.39,235.53,9905400,LRCX,twelve_data
2026-02-12,236.33,238.91,229.64,231.28999,10662100,LRCX,twelve_data
2026-02-11,235.55,240.34,230.039993,235.12,9555800,LRCX,twelve_data
2026-02-10,229.28,229.31,220.25,226.61,7909500,LRCX,twelve_data
2026-02-09,229.0099945,231.32001,223.39,229.28,9976700,LRCX,twelve_data
2026-02-06,220.67,232.45,218.75999,231.0099945,13848800,LRCX,twelve_data
2026-02-05,208.13,215.85001,204.57001,213.31,10928900,LRCX,twelve_data
2026-02-04,229.87,231.11,205.11,209.78,19608000,LRCX,twelve_data
2026-02-03,244.89,246.62,226.88,230.10001,13500400,LRCX,twelve_data
2026-02-02,233.33,242.95,232.0,237.5,13299300,LRCX,twelve_data
2026-01-30,244.25999,251.87,232.0,233.46001,18352900,LRCX,twelve_data
2026-01-29,245.61,251.38,236.82001,248.17,16801600,LRCX,twelve_data
2026-01-28,241.27,243.99001,237.14,239.58,15630600,LRCX,twelve_data
2026-01-27,230.63,239.5,228.75999,238.46001,12005900,LRCX,twelve_data
2026-01-26,218.98,225.35001,215.92999,222.87,10625600,LRCX,twelve_data
2026-01-23,217.87,223.36,213.87,217.94,10156800,LRCX,twelve_data
2026-01-22,235.56,236.10001,219.75999,220.7,11958600,LRCX,twelve_data
2026-01-21,223.050003,232.89999,220.66,228.39,12454800,LRCX,twelve_data
2026-01-20,218.21001,226.14999,217.61,222.41,11601700,LRCX,twelve_data
2026-01-16,221.89999,225.69,219.0,222.96001,14392700,LRCX,twelve_data
2026-01-15,228.14999,229.57001,217.21001,217.47,15249800,LRCX,twelve_data
2026-01-14,211.13,211.31,206.61,208.78999,18187200,LRCX,twelve_data
2026-01-13,219.42,220.57001,213.39,214.38,12737000,LRCX,twelve_data
2026-01-12,216.12,222.58,215.17999,220.39999,10749100,LRCX,twelve_data
2026-01-09,204.66,219.59,202.72,218.36,16758600,LRCX,twelve_data
2026-01-08,202.87,203.22,195.039993,200.96001,13928600,LRCX,twelve_data
2026-01-07,202.58,205.38,199.8,203.080002,15121000,LRCX,twelve_data
2026-01-06,197.78999,210.45,197.14999,206.96001,18787600,LRCX,twelve_data
2026-01-05,190.12,198.36,190.12,194.75999,16268200,LRCX,twelve_data
2026-01-02,177.85001,185.78,177.5,185.059998,11957400,LRCX,twelve_data
2025-12-31,174.49001,174.91,170.75999,171.17999,4935800,LRCX,twelve_data
2025-12-30,176.53999,177.36,173.59,173.78,5670800,LRCX,twelve_data
2025-12-29,176.5,179.23,174.75,175.87,6663300,LRCX,twelve_data
2025-12-26,178.42999,179.8,177.8,178.070007,5238900,LRCX,twelve_data
2025-12-24,175.25999,177.56,175.2,177.33,2598900,LRCX,twelve_data
2025-12-23,175.25999,177.28999,174.78,175.16,6483000,LRCX,twelve_data
2025-12-22,175.67999,175.96001,171.49001,175.25999,11436100,LRCX,twelve_data
2025-12-19,166.080002,173.58,166.080002,172.27,38469400,LRCX,twelve_data
2025-12-18,163.19,168.28999,162.0,164.7,14006400,LRCX,twelve_data
