date,open,high,low,close,volume,symbol,source
2026-06-10,393.85001,398.51501,385.16,386.23001,1691307,MAR,twelve_data
2026-06-09,394.0,398.95999,389.38,393.60999,1394700,MAR,twelve_data
2026-06-08,392.51001,395.85001,388.39001,391.42001,1349000,MAR,twelve_data
2026-06-05,388.10999,396.64999,386.45001,392.51001,1975900,MAR,twelve_data
2026-06-04,383.20001,385.98001,380.64001,385.29999,1150100,MAR,twelve_data
2026-06-03,373.82999,377.13,371.28,376.75,1058000,MAR,twelve_data
2026-06-02,376.70001,377.66,373.16,373.76001,1186800,MAR,twelve_data
2026-06-01,371.32999,378.32999,370.57999,376.95999,1396800,MAR,twelve_data
2026-05-29,385.56,386.88,373.29001,375.60001,2322500,MAR,twelve_data
2026-05-28,384.89999,388.37,381.62,385.76001,1974100,MAR,twelve_data
2026-05-27,378.57001,386.29999,378.57001,385.85999,1616800,MAR,twelve_data
2026-05-26,369.85001,374.57001,368.76001,373.81,1105600,MAR,twelve_data
2026-05-22,368.20999,370.91,367.29999,369.14999,820100,MAR,twelve_data
2026-05-21,366.62,371.14999,361.39999,370.56,908400,MAR,twelve_data
2026-05-20,359.19,371.51001,356.57999,369.75,1748000,MAR,twelve_data
2026-05-19,357.95999,362.59,354.35999,358.69,1656000,MAR,twelve_data
2026-05-18,354.66,363.79001,352.95001,359.17999,1410100,MAR,twelve_data
2026-05-15,351.89999,354.48999,350.95001,353.17001,1114000,MAR,twelve_data
2026-05-14,352.17999,357.079987,351.48999,353.47,1138900,MAR,twelve_data
2026-05-13,347.72,353.91,346.26001,350.19,1387700,MAR,twelve_data
2026-05-12,355.0,358.17999,349.42999,350.23001,1297600,MAR,twelve_data
2026-05-11,350.54001,353.53,348.14999,353.32001,1729100,MAR,twelve_data
2026-05-08,353.48001,358.39001,352.32999,353.17999,1068000,MAR,twelve_data
2026-05-07,358.01001,360.84,350.48999,352.049988,1209000,MAR,twelve_data
2026-05-06,363.87,365.0,352.79999,359.059998,1972500,MAR,twelve_data
2026-05-05,347.39001,357.91,347.39001,354.51999,1878900,MAR,twelve_data
2026-05-04,351.16,353.84,345.38,347.23999,977400,MAR,twelve_data
2026-05-01,357.5,363.75,354.67001,354.97,1001500,MAR,twelve_data
2026-04-30,357.95999,363.26001,355.10001,361.69,1997200,MAR,twelve_data
2026-04-29,357.39001,357.39001,349.049988,353.95001,1249500,MAR,twelve_data
2026-04-28,358.64001,366.5,356.95999,358.32999,1240300,MAR,twelve_data
2026-04-27,364.0,367.059998,358.38,360.67001,1354500,MAR,twelve_data
2026-04-24,367.45001,368.73001,364.0,367.14999,1148600,MAR,twelve_data
2026-04-23,369.84,372.089996,363.54999,368.23999,1141200,MAR,twelve_data
2026-04-22,376.019989,377.60999,366.53,367.13,1391500,MAR,twelve_data
2026-04-21,377.34,380.0,373.14001,375.45001,1562300,MAR,twelve_data
2026-04-20,375.35999,379.17999,374.51001,378.72,1205100,MAR,twelve_data
2026-04-17,370.48999,379.56,368.97,377.92999,2052300,MAR,twelve_data
2026-04-16,364.92999,367.5,361.23001,362.42001,1535600,MAR,twelve_data
2026-04-15,365.79999,366.14001,360.87,363.73999,1528400,MAR,twelve_data
2026-04-14,358.94,367.32001,357.79001,366.70001,1476800,MAR,twelve_data
2026-04-13,351.51999,359.73999,348.0,359.56,1286200,MAR,twelve_data
2026-04-10,354.32001,357.029999,352.019989,354.10001,1122800,MAR,twelve_data
2026-04-09,347.51001,354.0,344.53,352.92999,1147100,MAR,twelve_data
2026-04-08,349.059998,353.60001,346.040009,348.57999,1701100,MAR,twelve_data
2026-04-07,337.26999,337.26999,326.76001,330.92999,1498000,MAR,twelve_data
2026-04-06,328.72,338.42999,328.0,338.0,1110400,MAR,twelve_data
2026-04-02,327.42001,335.31,324.89001,331.92999,1119400,MAR,twelve_data
2026-04-01,329.64001,334.14001,325.31,333.45999,1577500,MAR,twelve_data
2026-03-31,321.17001,330.92001,321.17001,327.070007,2458000,MAR,twelve_data
