date,open,high,low,close,volume,symbol,source
2026-06-10,90.255,92.49,87.55,87.91,10133687,MCHP,twelve_data
2026-06-09,92.99,94.5,85.28,91.47,15333000,MCHP,twelve_data
2026-06-08,91.86,93.18,89.62,91.37,13900600,MCHP,twelve_data
2026-06-05,93.57,93.95,87.56,88.34,19736600,MCHP,twelve_data
2026-06-04,95.65,99.6,94.58,96.3,9557000,MCHP,twelve_data
2026-06-03,96.64,97.39,94.36,96.55,10449400,MCHP,twelve_data
2026-06-02,96.75,99.3,94.16,96.96,13414800,MCHP,twelve_data
2026-06-01,92.88,94.2,90.23,91.52,11345100,MCHP,twelve_data
2026-05-29,96.68,97.99,93.99,94.65,11366400,MCHP,twelve_data
2026-05-28,96.86,97.99,93.64,96.040001,7696100,MCHP,twelve_data
2026-05-27,99.38,100.25,94.72,96.85,12755800,MCHP,twelve_data
2026-05-26,95.84,99.97,95.22,98.050003,13087000,MCHP,twelve_data
2026-05-22,90.67,94.91,90.64,93.43,8837400,MCHP,twelve_data
2026-05-21,93.0,93.28,89.16,91.11,8596100,MCHP,twelve_data
2026-05-20,92.68,94.34,91.81,94.019997,10871600,MCHP,twelve_data
2026-05-19,90.45,93.59,90.0,91.81,7350400,MCHP,twelve_data
2026-05-18,95.82,95.82,91.13,92.76,10149000,MCHP,twelve_data
2026-05-15,94.099998,95.59,93.72,93.85,9445400,MCHP,twelve_data
2026-05-14,96.39,97.29,95.27,97.040001,6977400,MCHP,twelve_data
2026-05-13,99.65,99.87,96.059998,96.71,12894100,MCHP,twelve_data
2026-05-12,97.059998,98.15,94.42,97.7,12828500,MCHP,twelve_data
2026-05-11,98.099998,101.18,96.57,99.029999,19625200,MCHP,twelve_data
2026-05-08,105.050003,105.91,96.82,99.089996,18857300,MCHP,twelve_data
2026-05-07,102.15,102.28,99.59,101.58,15859600,MCHP,twelve_data
2026-05-06,98.48,103.24,98.0,102.92,13764100,MCHP,twelve_data
2026-05-05,95.23,99.080002,94.17,98.48,11012100,MCHP,twelve_data
2026-05-04,96.22,96.22,93.62,95.3,8362100,MCHP,twelve_data
2026-05-01,92.81,94.56,91.91,93.95,8062800,MCHP,twelve_data
2026-04-30,91.0,93.029999,89.12,92.91,9342700,MCHP,twelve_data
2026-04-29,89.0,90.73,87.11,90.17,12902700,MCHP,twelve_data
2026-04-28,85.73,87.14,83.95,84.26,13219800,MCHP,twelve_data
2026-04-27,88.96,89.29,85.28,86.84,10126700,MCHP,twelve_data
2026-04-24,91.11,91.5,87.91,89.44,11341200,MCHP,twelve_data
2026-04-23,85.78,92.24,85.46,90.64,18143200,MCHP,twelve_data
2026-04-22,82.47,82.9,81.089996,82.48,8901100,MCHP,twelve_data
2026-04-21,80.49,81.86,80.24,80.93,8519100,MCHP,twelve_data
2026-04-20,79.0,80.71,78.42,80.39,9660700,MCHP,twelve_data
2026-04-17,78.78,79.9,77.76,78.76,10896300,MCHP,twelve_data
2026-04-16,74.56,77.32,74.010002,76.87,7221100,MCHP,twelve_data
2026-04-15,74.13,74.86,72.9,74.49,6869400,MCHP,twelve_data
2026-04-14,74.2,74.89,73.019997,74.5,7446400,MCHP,twelve_data
2026-04-13,71.46,73.71,71.12,73.55,6724900,MCHP,twelve_data
2026-04-10,71.91,72.7,70.83,71.56,8065300,MCHP,twelve_data
2026-04-09,70.5,71.55,69.53,71.22,8477400,MCHP,twelve_data
2026-04-08,72.019997,72.5,69.73,70.73,13559100,MCHP,twelve_data
2026-04-07,67.010002,67.79,65.75,67.51,6549400,MCHP,twelve_data
2026-04-06,65.97,67.81,65.81,67.22,5480100,MCHP,twelve_data
2026-04-02,63.22,65.81,62.62,65.6,6599900,MCHP,twelve_data
2026-04-01,64.83,66.53,64.51,65.38,7926800,MCHP,twelve_data
2026-03-31,61.35,64.98,61.18,64.61,12580900,MCHP,twelve_data
2026-03-30,62.41,62.94,59.31,60.060001,8534200,MCHP,twelve_data
2026-03-27,63.53,63.79,61.58,62.0,8341800,MCHP,twelve_data
2026-03-26,64.49,65.99,63.97,64.2,10554300,MCHP,twelve_data
2026-03-25,66.25,68.099998,64.83,65.16,6581000,MCHP,twelve_data
2026-03-24,63.73,66.58,63.7,65.63,5553900,MCHP,twelve_data
