date,open,high,low,close,volume,symbol,source
2026-06-10,63.47,64.345,62.96,64.18,7140843,MDLZ,twelve_data
2026-06-09,61.92,63.29,61.57,62.93,8331300,MDLZ,twelve_data
2026-06-08,62.19,62.31,61.54,61.6,7007400,MDLZ,twelve_data
2026-06-05,61.15,63.14,61.13,62.040001,8567100,MDLZ,twelve_data
2026-06-04,61.95,62.41,60.7,60.99,5876700,MDLZ,twelve_data
2026-06-03,61.27,62.26,61.11,61.31,6666700,MDLZ,twelve_data
2026-06-02,61.029999,61.75,60.83,61.07,7236600,MDLZ,twelve_data
2026-06-01,60.62,61.15,59.95,61.049999,8749300,MDLZ,twelve_data
2026-05-29,62.099998,62.15,61.09,61.17,8924800,MDLZ,twelve_data
2026-05-28,62.22,62.55,61.79,62.39,6751300,MDLZ,twelve_data
2026-05-27,61.44,62.56,61.44,62.25,9301600,MDLZ,twelve_data
2026-05-26,61.94,62.52,61.22,61.24,7829300,MDLZ,twelve_data
2026-05-22,61.58,62.19,61.42,61.76,7049600,MDLZ,twelve_data
2026-05-21,61.74,61.89,60.9,61.5,5378000,MDLZ,twelve_data
2026-05-20,61.29,62.14,60.78,61.84,7100800,MDLZ,twelve_data
2026-05-19,61.5,62.59,61.040001,61.29,6716900,MDLZ,twelve_data
2026-05-18,60.51,61.85,60.45,61.64,6207100,MDLZ,twelve_data
2026-05-15,61.56,61.58,60.3,60.44,8000800,MDLZ,twelve_data
2026-05-14,61.77,61.99,60.83,60.97,5913400,MDLZ,twelve_data
2026-05-13,61.27,61.92,60.78,61.52,10031900,MDLZ,twelve_data
2026-05-12,61.78,62.2,61.060001,61.7,6609400,MDLZ,twelve_data
2026-05-11,61.54,61.73,60.88,61.41,7087400,MDLZ,twelve_data
2026-05-08,61.25,62.060001,61.25,61.55,6472000,MDLZ,twelve_data
2026-05-07,61.34,61.91,60.78,61.31,5462600,MDLZ,twelve_data
2026-05-06,61.45,62.19,61.33,61.87,6020000,MDLZ,twelve_data
2026-05-05,61.22,61.81,60.26,61.36,8347500,MDLZ,twelve_data
2026-05-04,61.35,61.84,60.93,61.38,6280700,MDLZ,twelve_data
2026-05-01,61.91,62.19,60.81,61.37,6479700,MDLZ,twelve_data
2026-04-30,61.049999,61.81,60.8,61.44,10111200,MDLZ,twelve_data
2026-04-29,60.0,61.99,59.77,61.040001,14591800,MDLZ,twelve_data
2026-04-28,58.11,58.61,57.6,58.54,11613700,MDLZ,twelve_data
2026-04-27,57.3,58.24,57.3,57.42,6593200,MDLZ,twelve_data
2026-04-24,57.3,58.07,57.07,57.61,10095600,MDLZ,twelve_data
2026-04-23,56.32,57.99,56.18,57.71,7642700,MDLZ,twelve_data
2026-04-22,56.18,56.54,55.79,56.060001,5639800,MDLZ,twelve_data
2026-04-21,57.09,57.18,56.0,56.13,7301900,MDLZ,twelve_data
2026-04-20,57.28,57.62,56.82,57.31,5552100,MDLZ,twelve_data
2026-04-17,57.34,57.49,56.85,57.25,8240800,MDLZ,twelve_data
2026-04-16,56.4,57.17,56.07,57.07,6754700,MDLZ,twelve_data
2026-04-15,57.68,57.68,56.34,56.58,8049800,MDLZ,twelve_data
2026-04-14,57.62,58.4,56.98,57.84,6585400,MDLZ,twelve_data
2026-04-13,58.72,58.83,57.42,57.68,9286300,MDLZ,twelve_data
2026-04-10,59.09,59.32,58.6,59.0,6807400,MDLZ,twelve_data
2026-04-09,58.18,59.23,58.080002,59.09,7349400,MDLZ,twelve_data
2026-04-08,57.47,58.84,57.22,58.83,8101700,MDLZ,twelve_data
2026-04-07,58.29,58.6,57.45,57.51,9049900,MDLZ,twelve_data
2026-04-06,57.54,58.64,57.35,58.38,5896500,MDLZ,twelve_data
2026-04-02,56.97,57.58,56.73,57.54,5631700,MDLZ,twelve_data
2026-04-01,57.62,57.65,56.51,57.07,9978400,MDLZ,twelve_data
2026-03-31,57.9,58.25,56.77,57.64,11205800,MDLZ,twelve_data
2026-03-30,58.63,59.38,58.21,58.25,10310000,MDLZ,twelve_data
2026-03-27,57.58,58.78,57.28,58.27,14112900,MDLZ,twelve_data
2026-03-26,57.55,58.68,57.52,57.58,8416900,MDLZ,twelve_data
2026-03-25,56.98,57.53,56.24,57.43,9431900,MDLZ,twelve_data
2026-03-24,56.54,57.98,56.29,57.18,9066000,MDLZ,twelve_data
2026-03-23,56.74,57.24,55.92,56.86,12617300,MDLZ,twelve_data
2026-03-20,56.48,57.02,56.0099983,56.21,22557300,MDLZ,twelve_data
2026-03-19,56.53,56.96,55.83,56.49,8864400,MDLZ,twelve_data
2026-03-18,57.37,57.54,56.27,56.47,9252900,MDLZ,twelve_data
2026-03-17,57.58,58.82,57.5,57.94,13495300,MDLZ,twelve_data
2026-03-16,55.58,57.36,55.3,57.16,11950800,MDLZ,twelve_data
2026-03-13,54.83,55.02,54.47,54.89,9740600,MDLZ,twelve_data
2026-03-12,55.55,55.97,54.31,54.35,10232100,MDLZ,twelve_data
2026-03-11,56.25,56.31,54.68,55.36,10296500,MDLZ,twelve_data
2026-03-10,58.13,58.31,56.55,56.58,7716800,MDLZ,twelve_data
2026-03-09,58.19,58.65,57.43,58.17,10735800,MDLZ,twelve_data
2026-03-06,58.029999,58.59,57.35,58.4,9532600,MDLZ,twelve_data
2026-03-05,58.49,58.6,57.66,58.18,13089200,MDLZ,twelve_data
2026-03-04,59.0,59.17,58.18,58.69,11608700,MDLZ,twelve_data
2026-03-03,59.96,60.099998,58.7,58.77,9949200,MDLZ,twelve_data
2026-03-02,61.16,61.34,60.28,60.44,6523100,MDLZ,twelve_data
2026-02-27,60.080002,61.76,59.91,61.58,12554900,MDLZ,twelve_data
2026-02-26,60.38,60.38,59.63,59.94,10716600,MDLZ,twelve_data
2026-02-25,61.13,61.29,59.66,60.12,6866100,MDLZ,twelve_data
2026-02-24,60.3,61.28,60.3,61.13,7349600,MDLZ,twelve_data
2026-02-23,58.6,60.7,58.5,60.38,9489000,MDLZ,twelve_data
2026-02-20,58.64,59.18,58.34,58.8,9491500,MDLZ,twelve_data
2026-02-19,60.15,60.32,58.02,58.64,10733100,MDLZ,twelve_data
2026-02-18,59.9,60.32,59.35,60.080002,7887000,MDLZ,twelve_data
