date,open,high,low,close,volume,symbol,source
2026-06-10,90.998,91.47,90.089798,91.21,6941177,MNST,twelve_data
2026-06-09,89.27,90.49,87.91,90.15,6711000,MNST,twelve_data
2026-06-08,89.29,90.22,88.35,88.47,5596400,MNST,twelve_data
2026-06-05,89.0,90.39,88.78,89.55,5676600,MNST,twelve_data
2026-06-04,90.0,90.44,88.3,88.54,4864700,MNST,twelve_data
2026-06-03,87.88,89.7,87.84,89.040001,4801300,MNST,twelve_data
2026-06-02,89.17,89.27,87.23,88.24,7387600,MNST,twelve_data
2026-06-01,88.25,89.86,87.82,89.099998,5806700,MNST,twelve_data
2026-05-29,87.99,89.099998,87.42,88.080002,9465600,MNST,twelve_data
2026-05-28,88.48,89.14,87.7,87.99,4739100,MNST,twelve_data
2026-05-27,88.0,89.85,87.94,89.24,5672800,MNST,twelve_data
2026-05-26,87.39,87.95,86.68,87.42,4812900,MNST,twelve_data
2026-05-22,86.2,87.11,85.86,86.79,3239000,MNST,twelve_data
2026-05-21,86.64,86.75,85.47,86.32,4306600,MNST,twelve_data
2026-05-20,86.35,87.63,86.010002,86.88,4333900,MNST,twelve_data
2026-05-19,87.53,88.040001,86.18,86.35,4724900,MNST,twelve_data
2026-05-18,87.49,88.66,86.86,88.54,4806300,MNST,twelve_data
2026-05-15,86.0,87.91,85.88,87.089996,6149000,MNST,twelve_data
2026-05-14,85.75,86.040001,85.2,85.82,4129400,MNST,twelve_data
2026-05-13,86.0,86.79,85.28,85.93,6515100,MNST,twelve_data
2026-05-12,86.0,86.33,84.81,85.87,6027200,MNST,twelve_data
2026-05-11,85.010002,86.45,83.26,86.41,7794200,MNST,twelve_data
2026-05-08,84.5,88.77,83.13,86.29,15284800,MNST,twelve_data
2026-05-07,76.71,76.96,75.38,75.97,6626100,MNST,twelve_data
2026-05-06,76.83,77.96,76.3,77.2,4295200,MNST,twelve_data
2026-05-05,75.0,76.61,74.85,75.8,3820800,MNST,twelve_data
