date,open,high,low,close,volume,symbol,source
2026-06-10,905.28003,957.46997,883.25,891.88,53807408,MU,twelve_data
2026-06-09,988.17999,989.15002,854.34998,935.89001,73002600,MU,twelve_data
2026-06-08,938.27002,962.95001,916.5,949.28003,54097800,MU,twelve_data
2026-06-05,944.40002,961.89001,864.01001,864.01001,77250500,MU,twelve_data
2026-06-04,1007.099976,1036.37,971.67999,996.0,54917200,MU,twelve_data
2026-06-03,1079.01001,1089.29004,1038.5,1079.56995,40324200,MU,twelve_data
2026-06-02,1050.0,1076.56006,1017.20001,1064.099976,47555400,MU,twelve_data
2026-06-01,1009.71997,1046.96997,1009.5,1035.5,46552100,MU,twelve_data
2026-05-29,957.0,981.0,940.51001,971.0,60498600,MU,twelve_data
2026-05-28,929.83002,949.48999,904.78003,923.52002,49694300,MU,twelve_data
2026-05-27,955.65997,956.15997,888.15002,928.40997,72295700,MU,twelve_data
2026-05-26,820.5,916.79999,820.29999,895.88,76560800,MU,twelve_data
2026-05-22,756.82001,780.20001,747.20001,751.0,36002900,MU,twelve_data
2026-05-21,736.35999,764.90002,732.20001,762.099976,42461500,MU,twelve_data
2026-05-20,734.96002,735.67999,700.65997,731.98999,48827400,MU,twelve_data
2026-05-19,665.58002,725.95001,652.21002,698.73999,61792100,MU,twelve_data
2026-05-18,750.46002,757.0,663.25,681.53998,60042500,MU,twelve_data
2026-05-15,732.57001,749.59003,719.0,724.65997,48519000,MU,twelve_data
2026-05-14,787.62,812.0,775.63,776.01001,42142700,MU,twelve_data
2026-05-13,813.15997,814.95001,779.46997,803.63,54875100,MU,twelve_data
2026-05-12,774.70001,782.76001,706.59998,766.58002,73743000,MU,twelve_data
2026-05-11,792.97998,818.66998,768.0,795.33002,70972900,MU,twelve_data
2026-05-08,676.45001,747.21002,676.21002,746.81,65130900,MU,twelve_data
2026-05-07,649.83002,683.090027,635.41998,646.63,47527500,MU,twelve_data
2026-05-06,660.37,667.66998,627.58002,666.59003,55725800,MU,twelve_data
2026-05-05,609.78003,651.73999,605.46997,640.20001,64268500,MU,twelve_data
2026-05-04,560.59998,592.79999,557.76001,576.45001,46043700,MU,twelve_data
2026-05-01,511.78,545.90997,510.20999,542.21002,40215300,MU,twelve_data
2026-04-30,529.73999,535.5,502.57999,517.15997,36554400,MU,twelve_data
2026-04-29,526.0,531.02002,508.79999,518.46002,36248500,MU,twelve_data
2026-04-28,503.54001,518.83002,488.23001,504.29001,44816600,MU,twelve_data
2026-04-27,510.56,531.35999,510.019989,524.56,41298800,MU,twelve_data
2026-04-24,495.92001,506.98999,489.35999,496.72,35379600,MU,twelve_data
2026-04-23,482.28,493.62,471.79999,481.72,38178000,MU,twelve_data
2026-04-22,462.92999,491.98001,458.56,487.48001,45998100,MU,twelve_data
2026-04-21,451.32001,457.82001,441.29999,449.38,27734000,MU,twelve_data
2026-04-20,458.25,464.56,435.89999,448.42001,32013600,MU,twelve_data
2026-04-17,466.85001,470.97,452.20001,455.070007,33405000,MU,twelve_data
2026-04-16,452.95999,462.34,444.38,457.23001,33626400,MU,twelve_data
2026-04-15,457.63,463.95001,439.32001,456.23001,40370100,MU,twelve_data
2026-04-14,434.35001,465.78,424.85999,465.66,52534900,MU,twelve_data
2026-04-13,416.47,426.88,408.5,426.56,37015800,MU,twelve_data
2026-04-10,420.29001,423.85999,410.049988,420.59,36377600,MU,twelve_data
2026-04-09,407.60999,423.94,398.44,421.51001,43101000,MU,twelve_data
2026-04-08,415.13,416.0,398.88,406.73001,49216600,MU,twelve_data
2026-04-07,374.13,379.25,364.10001,377.57999,40224100,MU,twelve_data
2026-04-06,373.79999,385.079987,370.60999,377.76001,41414900,MU,twelve_data
2026-04-02,341.34,366.94,340.20001,366.23999,51498700,MU,twelve_data
2026-04-01,348.91,377.89001,343.0,367.85001,74429800,MU,twelve_data
2026-03-31,321.67001,337.84,311.48999,337.84,73551800,MU,twelve_data
2026-03-30,362.66,362.81,318.39999,321.79999,73833200,MU,twelve_data
2026-03-27,359.85999,368.70001,354.059998,357.22,45806700,MU,twelve_data
2026-03-26,370.019989,374.25,350.0,355.45999,54515900,MU,twelve_data
2026-03-25,383.0,388.92001,371.38,382.089996,55328700,MU,twelve_data
2026-03-24,401.28,404.98001,388.91,395.53,44975100,MU,twelve_data
2026-03-23,426.14999,444.26999,401.51999,404.35001,54807300,MU,twelve_data
2026-03-20,443.92001,449.10001,415.35999,422.89999,64224900,MU,twelve_data
2026-03-19,424.97,457.22,421.10999,444.26999,74591900,MU,twelve_data
2026-03-18,464.76001,471.34,458.29999,461.73001,58973700,MU,twelve_data
2026-03-17,452.54001,462.73001,445.14001,461.69,43017900,MU,twelve_data
2026-03-16,446.16,454.85999,437.75,441.79999,43067600,MU,twelve_data
2026-03-13,413.75,429.35001,413.0,426.13,39261000,MU,twelve_data
2026-03-12,410.0,413.73001,396.67001,405.35001,31720900,MU,twelve_data
2026-03-11,410.76999,422.75,405.79001,418.69,30191400,MU,twelve_data
2026-03-10,394.01001,415.31,393.64001,403.10999,33745400,MU,twelve_data
2026-03-09,363.95999,390.0,357.67001,389.32001,35547200,MU,twelve_data
2026-03-06,380.14001,391.17999,367.45001,370.29999,34458800,MU,twelve_data
2026-03-05,398.60001,404.53,380.29999,397.049988,29960100,MU,twelve_data
2026-03-04,393.64001,407.88,387.60999,400.76999,32644900,MU,twelve_data
2026-03-03,386.54999,390.089996,374.54999,379.67999,39010900,MU,twelve_data
2026-03-02,401.47,417.60999,397.0,412.67001,30049200,MU,twelve_data
2026-02-27,401.81,417.95999,401.17999,412.37,28653900,MU,twelve_data
2026-02-26,424.84,434.0,401.95999,415.56,35433500,MU,twelve_data
2026-02-25,426.5,436.89001,423.0,429.0,27296300,MU,twelve_data
2026-02-24,429.22,436.26999,411.28,418.01001,33389200,MU,twelve_data
2026-02-23,422.31,431.70001,415.29999,420.97,25426600,MU,twelve_data
2026-02-20,415.17999,430.57001,415.14999,428.17001,29894900,MU,twelve_data
2026-02-19,415.81,420.32001,407.73999,417.35001,21651300,MU,twelve_data
2026-02-18,399.5,427.85001,394.60001,420.95001,32306600,MU,twelve_data
2026-02-17,400.95001,413.66,395.29999,399.78,28549500,MU,twelve_data
2026-02-13,405.19,420.88,392.70999,411.66,33807600,MU,twelve_data
2026-02-12,422.25,438.76999,411.16,413.97,45639100,MU,twelve_data
2026-02-11,395.39001,414.16,386.57001,410.34,48475000,MU,twelve_data
2026-02-10,375.98999,382.79001,366.059998,373.25,35433800,MU,twelve_data
2026-02-09,380.69,391.81,370.67999,383.5,31009600,MU,twelve_data
2026-02-06,377.97,396.64999,372.87,394.69,37196000,MU,twelve_data
2026-02-05,369.62,390.92999,366.0,382.89001,38899500,MU,twelve_data
2026-02-04,410.59,413.0,363.89999,379.39999,58074900,MU,twelve_data
2026-02-03,442.16,442.29999,407.53,419.44,42763300,MU,twelve_data
2026-02-02,412.17999,442.42999,410.0,437.79999,37771200,MU,twelve_data
2026-01-30,446.47,455.5,407.13,414.88,51022900,MU,twelve_data
