date,open,high,low,close,volume,symbol,source
2026-06-10,120.9457,120.9457,113.94,113.99,2561017,PCAR,twelve_data
2026-06-09,118.63,120.6,116.73,119.69,3085800,PCAR,twelve_data
2026-06-08,117.26,119.23,116.17,118.44,3186400,PCAR,twelve_data
2026-06-05,117.62,118.73,116.19,116.68,3675400,PCAR,twelve_data
2026-06-04,115.82,118.76,114.56,118.07,5082200,PCAR,twelve_data
2026-06-03,113.3,115.8,112.68,114.38,3094700,PCAR,twelve_data
2026-06-02,109.82,114.050003,109.82,112.89,2595500,PCAR,twelve_data
2026-06-01,108.88,109.7,106.77,109.47,3338800,PCAR,twelve_data
2026-05-29,110.16,112.21,110.16,110.37,3645300,PCAR,twelve_data
2026-05-28,111.6,113.07,110.61,112.22,2117000,PCAR,twelve_data
2026-05-27,112.61,113.82,112.029999,112.26,2940600,PCAR,twelve_data
2026-05-26,110.97,112.019997,110.23,112.010002,2728300,PCAR,twelve_data
2026-05-22,109.51,109.96,108.46,109.35,2403600,PCAR,twelve_data
2026-05-21,110.74,110.74,107.78,109.34,3370400,PCAR,twelve_data
2026-05-20,109.53,112.35,108.6,111.64,2774300,PCAR,twelve_data
2026-05-19,110.97,111.21,108.73,109.38,2764900,PCAR,twelve_data
2026-05-18,110.9,111.84,109.5,111.68,2863900,PCAR,twelve_data
2026-05-15,112.080002,112.35,109.83,110.32,2732500,PCAR,twelve_data
2026-05-14,112.45,113.25,111.93,112.6,2229100,PCAR,twelve_data
2026-05-13,112.46,113.13,111.56,111.78,1965100,PCAR,twelve_data
2026-05-12,112.81,113.38,111.23,113.029999,2079300,PCAR,twelve_data
2026-05-11,114.16,114.56,112.24,112.96,2440600,PCAR,twelve_data
2026-05-08,114.46,114.92,113.56,114.31,2028900,PCAR,twelve_data
2026-05-07,116.26,117.39,113.97,114.050003,2358400,PCAR,twelve_data
2026-05-06,115.49,117.099998,114.82,116.51,2869900,PCAR,twelve_data
2026-05-05,114.82,115.040001,112.69,113.42,2633100,PCAR,twelve_data
