date,open,high,low,close,volume,symbol,source
2026-06-10,129.325,133.185,128.8,130.21001,29150613,PLTR,twelve_data
2026-06-09,134.87,136.99001,127.35,132.070007,38563400,PLTR,twelve_data
2026-06-08,135.67999,137.75999,135.28,136.47,26978900,PLTR,twelve_data
2026-06-05,140.325,141.97,134.024994,135.53,38283500,PLTR,twelve_data
2026-06-04,145.46001,146.37,140.272,141.7,40834000,PLTR,twelve_data
2026-06-03,149.7,151.67999,141.25,142.2,41072500,PLTR,twelve_data
2026-06-02,156.69,159.55,149.8,152.17,43163100,PLTR,twelve_data
2026-06-01,159.98,163.7,155.88,160.64999,57654000,PLTR,twelve_data
2026-05-29,147.825,157.77901,145.78999,156.53999,92196600,PLTR,twelve_data
2026-05-28,133.16,145.0,133.0,143.34,52085200,PLTR,twelve_data
2026-05-27,133.3,135.73,131.63,132.50999,34159800,PLTR,twelve_data
2026-05-26,136.16,138.67999,133.3,136.60001,31723900,PLTR,twelve_data
2026-05-22,137.425,139.020004,134.3,136.88,27578000,PLTR,twelve_data
2026-05-21,135.8,138.55,135.42,137.41499,24311900,PLTR,twelve_data
2026-05-20,134.145,137.24001,132.42,137.14999,31307700,PLTR,twelve_data
2026-05-19,135.17,137.47,133.60001,135.25999,29777300,PLTR,twelve_data
2026-05-18,132.5,135.935,131.33,135.14,32034600,PLTR,twelve_data
2026-05-15,132.8,135.64,132.28999,133.99001,32629700,PLTR,twelve_data
2026-05-14,129.64999,134.48,129.45,133.73,37052600,PLTR,twelve_data
2026-05-13,134.0059967,136.99001,128.75,130.050003,55189400,PLTR,twelve_data
2026-05-12,136.60001,137.42999,133.46001,136.0,38781100,PLTR,twelve_data
2026-05-11,134.91,137.14,132.771,136.89,41414500,PLTR,twelve_data
2026-05-08,135.86501,137.88,133.020004,137.8,41745400,PLTR,twelve_data
2026-05-07,135.10001,140.95,134.78,137.050003,50184900,PLTR,twelve_data
2026-05-06,133.71001,135.7,131.14999,133.78999,55524800,PLTR,twelve_data
2026-05-05,140.295,142.98,134.72,135.91,89747100,PLTR,twelve_data
2026-05-04,147.75,149.64,145.22501,146.029999,70525900,PLTR,twelve_data
2026-05-01,143.25,146.44,141.39,144.070007,33219900,PLTR,twelve_data
2026-04-30,138.47501,140.2,136.64999,139.11,32523600,PLTR,twelve_data
2026-04-29,139.75999,139.75999,134.67999,137.97,33348100,PLTR,twelve_data
2026-04-28,142.3,143.85001,140.42,141.17999,24757200,PLTR,twelve_data
2026-04-27,141.25,145.070007,141.0099945,143.10001,31275400,PLTR,twelve_data
2026-04-24,142.96001,143.33,138.92999,143.089996,38677200,PLTR,twelve_data
2026-04-23,149.7,150.28999,139.92,141.57001,58654400,PLTR,twelve_data
2026-04-22,148.36,152.67999,147.41,152.62,43701500,PLTR,twelve_data
2026-04-21,146.81,149.87,143.99899,145.97,44830000,PLTR,twelve_data
2026-04-20,145.0,147.2,143.83,145.89,33482700,PLTR,twelve_data
2026-04-17,145.315,148.28,143.3,146.39,50657600,PLTR,twelve_data
2026-04-16,144.28999,145.55,139.53,142.75999,43746000,PLTR,twelve_data
2026-04-15,136.78999,142.58,134.92999,142.14999,48389400,PLTR,twelve_data
2026-04-14,134.427,138.070007,134.0,135.7,52786800,PLTR,twelve_data
2026-04-13,130.23,134.42,129.14999,132.37,65772800,PLTR,twelve_data
2026-04-10,128.48,129.2,122.68,128.059998,116656800,PLTR,twelve_data
2026-04-09,139.395,139.53999,128.47,130.49001,92361400,PLTR,twelve_data
2026-04-08,154.765,156.28,139.17,140.75999,64827700,PLTR,twelve_data
2026-04-07,146.882,150.27,144.45,150.070007,28671100,PLTR,twelve_data
2026-04-06,148.36,150.61,146.631,147.92999,25142200,PLTR,twelve_data
2026-04-02,143.485,148.50999,137.99001,148.46001,30437000,PLTR,twelve_data
2026-04-01,147.0,148.3,144.47,146.49001,34171000,PLTR,twelve_data
2026-03-31,140.020004,147.86,138.97,146.28,45558600,PLTR,twelve_data
2026-03-30,143.27,144.12,136.3,137.55,41289800,PLTR,twelve_data
2026-03-27,145.88,145.96001,141.56,143.059998,35790800,PLTR,twelve_data
2026-03-26,153.054993,153.12,147.25,147.56,43038400,PLTR,twelve_data
2026-03-25,157.42,160.27,154.855,154.96001,38543300,PLTR,twelve_data
2026-03-24,160.070007,162.39999,151.64,154.78,56155700,PLTR,twelve_data
2026-03-23,153.24001,161.080002,153.24001,160.84,57507100,PLTR,twelve_data
2026-03-20,155.2,156.64999,149.089996,150.67999,48700200,PLTR,twelve_data
2026-03-19,153.10001,156.14999,150.5,155.67999,33915900,PLTR,twelve_data
2026-03-18,154.94501,156.69,152.61,152.77,32476700,PLTR,twelve_data
2026-03-17,152.405,156.75,152.12,155.080002,37118500,PLTR,twelve_data
2026-03-16,152.45,153.86,151.17,152.72,32898900,PLTR,twelve_data
2026-03-13,153.3,154.56,148.58,150.95,42460600,PLTR,twelve_data
2026-03-12,153.0099945,155.88,150.98,153.5,54409800,PLTR,twelve_data
2026-03-11,151.38,153.16901,149.33,151.60001,33955900,PLTR,twelve_data
2026-03-10,155.99001,156.657,150.14,151.14,47501400,PLTR,twelve_data
2026-03-09,155.69,158.44,152.97,156.42999,47574200,PLTR,twelve_data
2026-03-06,150.44,161.45,150.28999,157.16,74980900,PLTR,twelve_data
2026-03-05,152.94,156.38,149.61,152.67,50714500,PLTR,twelve_data
2026-03-04,148.42999,154.52,148.059998,153.19,60062200,PLTR,twelve_data
2026-03-03,142.10001,147.5,138.2,147.22,67460200,PLTR,twelve_data
2026-03-02,140.77499,147.14,140.52,145.17,72683900,PLTR,twelve_data
2026-02-27,134.070007,138.10001,133.98,137.19,59412400,PLTR,twelve_data
2026-02-26,133.845,137.50999,132.63,135.94,45100000,PLTR,twelve_data
2026-02-25,130.61,136.089996,129.17999,134.19,53078300,PLTR,twelve_data
2026-02-24,129.0050049,130.24001,126.37,128.84,47121400,PLTR,twelve_data
2026-02-23,132.039993,132.039993,127.39,130.60001,52512200,PLTR,twelve_data
2026-02-20,132.36501,136.21001,131.17,135.24001,53726800,PLTR,twelve_data
2026-02-19,132.31,136.16,131.0099945,134.89,42197200,PLTR,twelve_data
2026-02-18,135.89,140.963,134.87,135.38,59677100,PLTR,twelve_data
2026-02-17,128.895,134.32001,127.29,133.020004,48407100,PLTR,twelve_data
2026-02-13,127.9,133.56,126.233,131.41,49438100,PLTR,twelve_data
2026-02-12,135.36,135.89,126.56,129.13,74090600,PLTR,twelve_data
2026-02-11,139.024994,139.25,132.95,135.67999,52796100,PLTR,twelve_data
2026-02-10,144.965,145.56,137.77,139.50999,56061300,PLTR,twelve_data
2026-02-09,136.58,145.87,134.776,142.91,58042500,PLTR,twelve_data
2026-02-06,135.33,137.687,132.35001,135.89999,62661400,PLTR,twelve_data
2026-02-05,136.82001,137.98,128.32001,130.0099945,93690800,PLTR,twelve_data
2026-02-04,155.41,155.85001,135.67999,139.53999,113199500,PLTR,twelve_data
2026-02-03,165.050003,165.078003,153.12,157.88,113169200,PLTR,twelve_data
2026-02-02,150.94,151.39999,146.65401,147.75999,72811100,PLTR,twelve_data
2026-01-30,150.050003,151.0,145.13901,146.59,47271000,PLTR,twelve_data
2026-01-29,157.63,157.63,147.12,151.86,59846800,PLTR,twelve_data
2026-01-28,164.39999,165.044998,157.24001,157.35001,44822800,PLTR,twelve_data
2026-01-27,167.48,169.44,164.69,165.7,26542300,PLTR,twelve_data
2026-01-26,168.21001,170.59,167.325,167.47,22777200,PLTR,twelve_data
2026-01-23,167.27,172.0,166.3,169.60001,30285700,PLTR,twelve_data
2026-01-22,168.925,169.0,164.95,165.89999,28499500,PLTR,twelve_data
2026-01-21,168.40199,169.49001,161.11,165.33,47851200,PLTR,twelve_data
2026-01-20,167.625,171.97,166.24001,168.53,36708500,PLTR,twelve_data
2026-01-16,179.36,182.42999,170.0099945,170.96001,59483600,PLTR,twelve_data
2026-01-15,178.71001,180.60001,176.53,177.070007,31109200,PLTR,twelve_data
2026-01-14,178.125,181.59801,173.95,178.39999,33651400,PLTR,twelve_data
2026-01-13,178.875,181.10001,176.14,178.96001,27769400,PLTR,twelve_data
2026-01-12,177.685,182.5,176.34,179.41,34954500,PLTR,twelve_data
2026-01-09,177.020004,178.72,174.75,177.49001,31362900,PLTR,twelve_data
2026-01-08,185.61501,185.66,174.37,176.86,47304300,PLTR,twelve_data
2026-01-07,179.8,187.28,177.66,181.67999,45349000,PLTR,twelve_data
2026-01-06,175.75999,180.19,174.77,179.71001,34838600,PLTR,twelve_data
2026-01-05,174.88,175.82001,171.78999,174.039993,39511700,PLTR,twelve_data
2026-01-02,181.3,181.35001,166.35001,167.86,60634100,PLTR,twelve_data
2025-12-31,181.13,181.53,177.25,177.75,22997400,PLTR,twelve_data
2025-12-30,184.35001,184.729,180.7,180.84,23336300,PLTR,twelve_data
2025-12-29,186.85001,187.2,183.64,184.17999,28242000,PLTR,twelve_data
2025-12-26,195.014999,196.35001,188.62,188.71001,26262000,PLTR,twelve_data
2025-12-24,193.16,195.17,192.83,194.17,11710100,PLTR,twelve_data
2025-12-23,192.825,195.37,191.735,194.13,24041000,PLTR,twelve_data
2025-12-22,195.039993,198.88,192.42999,193.98,36686000,PLTR,twelve_data
2025-12-19,186.74001,195.0,186.73,193.38,76929400,PLTR,twelve_data
2025-12-18,181.50999,187.33,181.50999,185.69,40221500,PLTR,twelve_data
2025-12-17,187.715,187.75,176.5,177.28999,50424700,PLTR,twelve_data
2025-12-16,181.655,188.5,181.142,187.75,42070300,PLTR,twelve_data
2025-12-15,185.080002,187.78,180.029999,183.25,32796100,PLTR,twelve_data
2025-12-12,185.81,186.52499,177.66701,183.57001,42427400,PLTR,twelve_data
2025-12-11,184.8,188.050003,180.21001,187.53999,36843200,PLTR,twelve_data
2025-12-10,184.95,190.39,182.75,187.91,59398000,PLTR,twelve_data
2025-12-09,180.97,182.85001,180.38,181.84,18937600,PLTR,twelve_data
2025-12-08,182.21001,183.88,179.53999,181.49001,30456700,PLTR,twelve_data
2025-12-05,178.23,182.153,177.16,181.75999,32079300,PLTR,twelve_data
2025-12-04,176.36501,178.44,174.42999,177.92,29217800,PLTR,twelve_data
2025-12-03,170.14,177.91,168.83,176.080002,30541600,PLTR,twelve_data
2025-12-02,169.59,175.75,169.59,170.69,35368000,PLTR,twelve_data
2025-12-01,165.0,169.10001,163.12,167.49001,27779600,PLTR,twelve_data
2025-11-28,167.75999,168.8,165.875,168.45,17199500,PLTR,twelve_data
2025-11-26,166.85001,168.339,163.88,165.77,34610500,PLTR,twelve_data
2025-11-25,160.070007,164.64999,156.55499,163.55,36523500,PLTR,twelve_data
2025-11-24,157.47,165.17,157.0,162.25,57877800,PLTR,twelve_data
2025-11-21,156.0099945,158.11,147.56,154.85001,71346400,PLTR,twelve_data
2025-11-20,172.070007,174.57001,154.395,155.745,78443900,PLTR,twelve_data
2025-11-19,167.8,169.60001,162.42,165.42,46108200,PLTR,twelve_data
2025-11-18,168.37,172.83,165.5,167.33,53710100,PLTR,twelve_data
2025-11-17,170.53,174.24001,167.67999,171.25,50339000,PLTR,twelve_data
2025-11-14,166.97501,177.28999,164.5,174.0099945,62596800,PLTR,twelve_data
2025-11-13,181.715,182.7,170.731,172.14,63188800,PLTR,twelve_data
2025-11-12,190.58,190.58,180.39999,184.17,55347100,PLTR,twelve_data
2025-11-11,190.33501,192.925,187.13,190.96001,49819700,PLTR,twelve_data
2025-11-10,184.31,194.92999,183.52,193.61,87764200,PLTR,twelve_data
2025-11-07,173.14999,178.7,168.91,177.92999,73989700,PLTR,twelve_data
2025-11-06,187.99001,191.089996,174.53,175.050003,78468600,PLTR,twelve_data
2025-11-05,189.0,190.32001,181.21001,187.89999,76121000,PLTR,twelve_data
2025-11-04,192.070007,195.7,185.56,190.74001,121380900,PLTR,twelve_data
2025-11-03,205.044998,207.52,201.82001,207.17999,81016800,PLTR,twelve_data
2025-10-31,199.2,204.17999,197.92,200.47,52697600,PLTR,twelve_data
2025-10-30,198.425,199.67,194.12,194.55,43541700,PLTR,twelve_data
2025-10-29,191.080002,199.85001,190.49001,198.81,65537300,PLTR,twelve_data
2025-10-28,189.48,191.78,186.78,189.60001,38201000,PLTR,twelve_data
2025-10-27,188.97,192.83,187.52,189.17999,47153100,PLTR,twelve_data
2025-10-24,182.88,186.17,182.85001,184.63,34813500,PLTR,twelve_data
2025-10-23,175.44501,181.56,175.0099945,180.48,35812300,PLTR,twelve_data
2025-10-22,181.92999,182.21001,169.42,175.49001,58263100,PLTR,twelve_data
2025-10-21,182.059998,182.38901,178.64999,181.50999,27528100,PLTR,twelve_data
2025-10-20,179.49001,183.089996,177.44,181.59,31975800,PLTR,twelve_data
2025-10-17,177.75,181.59,173.95,178.14999,43421500,PLTR,twelve_data
2025-10-16,181.78,184.82001,176.45,178.12,42870900,PLTR,twelve_data
2025-10-15,181.655,184.35001,176.020004,179.62,37372100,PLTR,twelve_data
2025-10-14,176.0,182.34,170.82001,179.74001,49261400,PLTR,twelve_data
2025-10-13,178.67999,179.22,173.45,177.21001,41332400,PLTR,twelve_data
2025-10-10,185.17,187.10001,173.53,175.44,55194000,PLTR,twelve_data
