date,open,high,low,close,volume,symbol,source
2026-06-10,97.58,99.56,96.9,98.76,8606558,SBUX,twelve_data
2026-06-09,95.15,98.44,94.97,97.41,10618500,SBUX,twelve_data
2026-06-08,94.84,95.77,94.47,94.82,7306400,SBUX,twelve_data
2026-06-05,94.29,95.99,93.64,95.29,7623300,SBUX,twelve_data
2026-06-04,97.79,98.24,93.81,94.14,7524400,SBUX,twelve_data
2026-06-03,95.48,98.2,95.22,95.89,8541800,SBUX,twelve_data
2026-06-02,95.8,97.9,95.4,95.51,9546600,SBUX,twelve_data
2026-06-01,98.25,98.34,95.59,96.51,8191500,SBUX,twelve_data
2026-05-29,100.5,100.91,98.58,99.16,8206600,SBUX,twelve_data
2026-05-28,101.74,102.25,100.37,100.75,6261500,SBUX,twelve_data
2026-05-27,101.78,102.77,100.13,102.099998,8901400,SBUX,twelve_data
2026-05-26,103.080002,103.97,100.8,101.42,9099100,SBUX,twelve_data
2026-05-22,104.040001,104.3,102.39,103.11,9095700,SBUX,twelve_data
2026-05-21,105.86,106.16,103.62,104.13,8342800,SBUX,twelve_data
2026-05-20,106.38,107.46,105.41,106.5,6632500,SBUX,twelve_data
2026-05-19,105.54,107.56,105.11,106.38,5265800,SBUX,twelve_data
2026-05-18,106.79,108.11,105.84,106.6,6587800,SBUX,twelve_data
2026-05-15,105.75,107.88,105.0,106.82,6463900,SBUX,twelve_data
2026-05-14,108.13,108.88,106.35,106.4,9941400,SBUX,twelve_data
2026-05-13,106.77,108.050003,105.47,105.95,8638900,SBUX,twelve_data
2026-05-12,105.57,107.16,104.34,106.58,6366000,SBUX,twelve_data
2026-05-11,104.95,108.040001,104.95,105.74,6499500,SBUX,twelve_data
2026-05-08,104.42,105.43,104.25,104.93,4538300,SBUX,twelve_data
2026-05-07,105.95,106.099998,102.94,104.26,9179300,SBUX,twelve_data
2026-05-06,104.75,107.55,104.4,106.44,8665700,SBUX,twelve_data
2026-05-05,104.76,106.07,104.35,104.94,6458500,SBUX,twelve_data
2026-05-04,105.8,106.68,104.69,104.97,5487700,SBUX,twelve_data
2026-05-01,105.7,107.52,105.43,105.9,6362300,SBUX,twelve_data
2026-04-30,105.55,105.95,103.83,105.33,9485900,SBUX,twelve_data
2026-04-29,102.0,107.27,100.080002,105.5,25449200,SBUX,twelve_data
2026-04-28,98.48,98.68,96.45,97.28,10383500,SBUX,twelve_data
2026-04-27,98.74,99.5,97.84,97.89,5311600,SBUX,twelve_data
2026-04-24,99.39,99.51,98.0,98.67,6092500,SBUX,twelve_data
2026-04-23,99.97,100.81,99.2,99.54,4515300,SBUX,twelve_data
2026-04-22,98.080002,99.66,97.57,99.52,5730100,SBUX,twelve_data
2026-04-21,99.0,99.16,96.85,97.8,4564200,SBUX,twelve_data
2026-04-20,99.0,99.73,98.3,98.95,6581800,SBUX,twelve_data
2026-04-17,99.07,101.43,98.91,100.0,8133400,SBUX,twelve_data
2026-04-16,98.35,99.15,97.77,98.36,5645500,SBUX,twelve_data
2026-04-15,98.49,99.18,97.8,98.34,5211600,SBUX,twelve_data
2026-04-14,97.88,99.0,97.56,98.47,4995500,SBUX,twelve_data
2026-04-13,96.6,97.67,95.45,97.48,5249200,SBUX,twelve_data
