date,open,high,low,close,volume,symbol,source
2026-06-10,455.0,472.4375,453.28,460.54001,1530776,SNPS,twelve_data
2026-06-09,475.81,487.54999,451.0,465.26999,2165300,SNPS,twelve_data
2026-06-08,467.28,478.51001,463.38,473.48001,1579400,SNPS,twelve_data
2026-06-05,487.98001,488.95001,458.53,464.85001,1839400,SNPS,twelve_data
2026-06-04,500.35001,500.35001,485.0,494.48001,2013500,SNPS,twelve_data
2026-06-03,502.78,504.12,491.20001,498.019989,1660900,SNPS,twelve_data
2026-06-02,485.63,508.72,485.63,508.35001,2347200,SNPS,twelve_data
2026-06-01,484.070007,494.25,470.73999,492.29001,2586600,SNPS,twelve_data
2026-05-29,480.67001,484.5,469.37,475.62,3357500,SNPS,twelve_data
2026-05-28,510.0,526.090027,471.69,480.64001,4745100,SNPS,twelve_data
2026-05-27,534.56,534.62,523.15002,525.91998,2433700,SNPS,twelve_data
2026-05-26,529.96997,539.47998,524.17999,534.56,1792100,SNPS,twelve_data
2026-05-22,510.0,534.10999,508.51001,524.73999,1873100,SNPS,twelve_data
2026-05-21,491.26001,504.73001,488.69,503.98001,1423300,SNPS,twelve_data
2026-05-20,479.34,499.23001,473.76999,498.92999,2259300,SNPS,twelve_data
2026-05-19,494.32001,501.0,490.57999,493.87,1312200,SNPS,twelve_data
2026-05-18,499.17999,501.82999,489.089996,498.42999,1883500,SNPS,twelve_data
2026-05-15,502.23999,509.0,491.049988,502.42001,1488500,SNPS,twelve_data
2026-05-14,508.59,513.65002,504.64001,510.019989,1150000,SNPS,twelve_data
2026-05-13,514.59003,514.73999,502.26999,509.28,1335500,SNPS,twelve_data
2026-05-12,511.29999,517.16998,508.16,513.21002,1217400,SNPS,twelve_data
2026-05-11,513.89001,519.71002,512.0,516.19,1309800,SNPS,twelve_data
2026-05-08,504.37,519.10999,500.59,516.47998,1733200,SNPS,twelve_data
2026-05-07,506.29999,517.0,503.48999,505.19,1597100,SNPS,twelve_data
2026-05-06,504.60001,507.34,497.51001,504.42001,1866900,SNPS,twelve_data
2026-05-05,501.70999,512.53998,500.01001,502.51001,1883300,SNPS,twelve_data
2026-05-04,493.84,500.25,488.34,497.5,1642500,SNPS,twelve_data
2026-05-01,491.16,497.94,485.44,489.019989,845900,SNPS,twelve_data
