date,open,high,low,close,volume,symbol,source
2026-06-10,823.0,855.51001,806.47998,815.98999,3105786,STX,twelve_data
2026-06-09,909.98999,911.28998,801.89001,846.01001,3133400,STX,twelve_data
2026-06-08,882.71997,894.91998,854.21002,876.77002,2483100,STX,twelve_data
2026-06-05,889.17999,910.65997,843.63,847.46997,3611300,STX,twelve_data
2026-06-04,891.54999,941.48999,885.0,925.98999,2534400,STX,twelve_data
2026-06-03,940.32001,966.79999,919.0,940.69,2902300,STX,twelve_data
2026-06-02,929.88,953.71997,914.98999,926.60999,2561900,STX,twelve_data
2026-06-01,885.33002,940.78998,882.91998,921.26001,3358000,STX,twelve_data
2026-05-29,892.83002,904.16998,867.02002,879.79999,4674500,STX,twelve_data
2026-05-28,889.52002,905.39001,866.01001,880.71997,2838100,STX,twelve_data
2026-05-27,881.14001,888.95001,846.070007,870.65997,3794300,STX,twelve_data
2026-05-26,831.16998,862.65002,816.97998,845.76001,3437900,STX,twelve_data
2026-05-22,814.71997,824.0,799.81,812.72998,2531400,STX,twelve_data
2026-05-21,753.46997,811.51001,753.46997,810.46002,3483500,STX,twelve_data
2026-05-20,757.15997,764.96997,741.0,751.070007,2269100,STX,twelve_data
2026-05-19,719.51001,745.97998,695.14001,733.34998,3639300,STX,twelve_data
2026-05-18,801.0,801.0,710.10999,740.84003,4945800,STX,twelve_data
2026-05-15,771.57001,807.63,765.77002,795.46997,2784800,STX,twelve_data
2026-05-14,812.47998,838.59998,796.16998,804.76001,2360000,STX,twelve_data
2026-05-13,827.5,831.98999,795.01001,817.34998,2511700,STX,twelve_data
2026-05-12,814.70001,833.059998,766.96997,808.79999,3798100,STX,twelve_data
2026-05-11,793.25,841.31,790.47998,834.01001,6078600,STX,twelve_data
2026-05-08,780.0,802.13,772.0,782.64001,4874000,STX,twelve_data
2026-05-07,771.28998,771.28998,742.01001,766.44,4900900,STX,twelve_data
2026-05-06,768.79999,787.34998,752.79999,786.41998,5575000,STX,twelve_data
2026-05-05,755.0,792.01001,752.59003,771.01001,6522500,STX,twelve_data
2026-05-04,742.15997,749.0,729.17999,738.53998,6022100,STX,twelve_data
2026-05-01,667.01001,728.0,663.29999,726.92999,7378700,STX,twelve_data
2026-04-30,655.17999,680.63,639.049988,673.64001,6479300,STX,twelve_data
2026-04-29,667.97998,697.0,632.0,643.29999,10896900,STX,twelve_data
2026-04-28,566.039978,592.84003,553.20001,579.030029,5956800,STX,twelve_data
2026-04-27,599.31,602.90997,577.35999,595.85999,2919500,STX,twelve_data
2026-04-24,592.70001,599.97998,578.41998,586.25,2704100,STX,twelve_data
2026-04-23,574.23999,607.89001,573.01001,587.62,3175700,STX,twelve_data
2026-04-22,580.01001,586.0,563.29999,579.88,3233300,STX,twelve_data
2026-04-21,543.01001,567.70001,536.030029,559.90002,3563000,STX,twelve_data
2026-04-20,550.77002,553.0,531.60999,539.75,2915800,STX,twelve_data
2026-04-17,544.45001,553.57001,537.52002,547.75,3449100,STX,twelve_data
2026-04-16,511.76001,532.059998,506.0,531.81,3122700,STX,twelve_data
2026-04-15,520.83002,526.0,503.10999,519.59998,3841400,STX,twelve_data
2026-04-14,520.0,534.22998,501.45001,533.44,3568600,STX,twelve_data
2026-04-13,500.079987,514.75,495.64999,513.28003,2880000,STX,twelve_data
2026-04-10,504.67001,509.54999,494.60001,503.13,3435200,STX,twelve_data
2026-04-09,504.0,508.70999,493.20001,500.76999,3092200,STX,twelve_data
2026-04-08,503.20001,517.17999,487.67001,496.29999,5424600,STX,twelve_data
2026-04-07,448.14001,468.85001,445.0,468.72,4276700,STX,twelve_data
2026-04-06,450.88,470.23001,449.79001,453.29999,4887400,STX,twelve_data
2026-04-02,401.0,429.41,400.0,429.35999,2376300,STX,twelve_data
2026-04-01,396.48999,428.17999,396.31,423.12,3716000,STX,twelve_data
2026-03-31,371.089996,392.01001,368.0,391.76001,3605200,STX,twelve_data
2026-03-30,393.059998,399.41,351.42001,362.42999,4159300,STX,twelve_data
2026-03-27,378.53,388.070007,376.079987,380.070007,2322500,STX,twelve_data
2026-03-26,401.66,406.64999,377.32999,378.79001,4111900,STX,twelve_data
2026-03-25,410.16,422.53,389.01001,413.22,3452500,STX,twelve_data
2026-03-24,402.85999,426.28,395.0,424.95999,3759700,STX,twelve_data
2026-03-23,420.0,425.17999,395.19,404.019989,3864800,STX,twelve_data
2026-03-20,433.5,439.73001,409.25,411.23001,8620000,STX,twelve_data
2026-03-19,396.39999,437.45999,388.37,434.60001,4157000,STX,twelve_data
2026-03-18,419.53,422.73999,405.10999,406.76999,3830800,STX,twelve_data
2026-03-17,400.0,421.31,397.5,421.089996,3469200,STX,twelve_data
2026-03-16,397.5,410.79999,395.63,398.78,3120200,STX,twelve_data
2026-03-13,378.070007,394.98999,377.14001,383.70999,2913500,STX,twelve_data
2026-03-12,382.70999,385.0,368.69,373.98001,2058300,STX,twelve_data
2026-03-11,384.0,391.23999,376.14999,385.97,1970100,STX,twelve_data
2026-03-10,377.92999,398.29001,377.92999,384.29001,3487000,STX,twelve_data
2026-03-09,342.42001,374.66,342.0,374.32999,2929900,STX,twelve_data
2026-03-06,356.31,370.34,351.14999,352.79999,2415600,STX,twelve_data
2026-03-05,370.98001,378.14999,352.56,367.34,3394900,STX,twelve_data
2026-03-04,367.5,390.5,364.67999,375.01001,3774200,STX,twelve_data
2026-03-03,361.26001,365.98001,350.10001,357.62,5712500,STX,twelve_data
2026-03-02,393.59,407.70001,374.53,379.51999,4224400,STX,twelve_data
2026-02-27,400.0,415.60001,396.22,407.84,3605500,STX,twelve_data
2026-02-26,413.69,416.5,393.22,409.67001,3077500,STX,twelve_data
2026-02-25,409.26001,426.5,408.29999,421.85001,3385600,STX,twelve_data
2026-02-24,410.10999,413.79999,394.049988,396.019989,3119300,STX,twelve_data
2026-02-23,410.39999,422.98999,402.14999,407.39999,2402300,STX,twelve_data
2026-02-20,403.079987,416.98999,399.13,411.10999,2962600,STX,twelve_data
2026-02-19,420.17001,424.10999,402.16,408.97,3518300,STX,twelve_data
2026-02-18,418.94,434.95001,417.29999,424.14001,2865600,STX,twelve_data
2026-02-17,420.0,429.23001,411.60001,415.94,2839300,STX,twelve_data
2026-02-13,416.059998,431.66,402.51001,425.98999,3856100,STX,twelve_data
2026-02-12,425.82001,459.84,425.81,431.17001,6436900,STX,twelve_data
2026-02-11,409.64001,415.60001,391.0,407.25,2827000,STX,twelve_data
2026-02-10,421.76999,421.76999,395.14001,396.23001,3172000,STX,twelve_data
2026-02-09,424.040009,438.54999,415.0,425.0,3188600,STX,twelve_data
2026-02-06,426.26001,431.92999,406.85999,429.32001,3284500,STX,twelve_data
2026-02-05,413.56,418.39999,394.23999,405.45001,5641900,STX,twelve_data
2026-02-04,442.0,453.45001,402.040009,418.63,6601100,STX,twelve_data
2026-02-03,451.51001,459.41,424.51001,444.45001,6089200,STX,twelve_data
2026-02-02,402.5,436.0,399.53,432.95001,6062800,STX,twelve_data
2026-01-30,449.64001,452.92001,397.32999,407.69,9224400,STX,twelve_data
2026-01-29,450.26999,457.84,434.0,446.57001,9052800,STX,twelve_data
2026-01-28,395.19,449.5,389.0,442.92999,14749800,STX,twelve_data
2026-01-27,361.62,383.88,361.0,371.76001,7353600,STX,twelve_data
2026-01-26,348.85001,370.47,346.0,358.29001,5039000,STX,twelve_data
2026-01-23,344.47,347.70999,331.75,346.10001,2957800,STX,twelve_data
2026-01-22,350.0,350.049988,330.0,346.53,2796300,STX,twelve_data
2026-01-21,334.41,349.54999,323.60999,344.22,4710600,STX,twelve_data
2026-01-20,322.98999,336.17001,322.040009,325.98999,3620800,STX,twelve_data
2026-01-16,333.5,335.019989,321.19,326.23001,3378500,STX,twelve_data
2026-01-15,322.76001,328.78,317.0,320.32001,3180200,STX,twelve_data
2026-01-14,319.82999,322.73001,309.14999,312.28,1947500,STX,twelve_data
2026-01-13,319.48001,331.0,316.76999,318.44,3459600,STX,twelve_data
2026-01-12,299.31,322.76001,298.089996,321.48001,3066100,STX,twelve_data
2026-01-09,284.67001,305.44,280.67001,304.01001,3187100,STX,twelve_data
2026-01-08,305.88,306.23999,278.14999,284.47,4826000,STX,twelve_data
2026-01-07,319.01001,322.0,298.94,308.26001,5179200,STX,twelve_data
2026-01-06,290.89999,332.0,290.89999,330.42001,5563900,STX,twelve_data
2026-01-05,294.97,298.0,277.69,289.82999,3350300,STX,twelve_data
2026-01-02,281.97,289.64999,280.42001,287.54001,2731000,STX,twelve_data
2025-12-31,280.0,280.25,274.26999,275.39001,1316800,STX,twelve_data
2025-12-30,282.049988,284.01001,279.62,280.079987,1873600,STX,twelve_data
2025-12-29,281.98999,289.47,279.32999,281.29999,2537400,STX,twelve_data
2025-12-26,288.76001,289.79999,282.54999,286.22,1063800,STX,twelve_data
2025-12-24,281.54999,288.5,281.54999,285.26999,1474900,STX,twelve_data
2025-12-23,278.57999,282.85001,274.70999,282.79999,2084400,STX,twelve_data
2025-12-22,301.25,302.0,279.0,282.85001,4340400,STX,twelve_data
2025-12-19,296.67001,305.42999,293.69,296.35999,24731300,STX,twelve_data
2025-12-18,288.5,299.23001,286.67001,292.0,3730500,STX,twelve_data
2025-12-17,291.10999,296.67999,276.10999,277.64999,3514100,STX,twelve_data
2025-12-16,285.41,294.94,280.5,288.13,3091000,STX,twelve_data
2025-12-15,291.89001,293.95999,284.23001,285.57999,3465600,STX,twelve_data
2025-12-12,302.0,304.0,280.51001,287.64001,5255600,STX,twelve_data
2025-12-11,294.29999,308.92999,288.63,307.85001,3176300,STX,twelve_data
2025-12-10,283.70001,301.47,281.29999,298.92001,3617400,STX,twelve_data
2025-12-09,285.79001,289.44,280.0,282.85999,2072700,STX,twelve_data
2025-12-08,281.0,288.26999,278.67001,285.41,3469000,STX,twelve_data
2025-12-05,269.81,279.67001,269.12,278.79001,2863400,STX,twelve_data
2025-12-04,258.70001,266.39999,257.35999,265.63,1971700,STX,twelve_data
2025-12-03,266.45999,266.45999,250.53,258.67001,3828300,STX,twelve_data
2025-12-02,272.91,278.39001,259.38,266.87,3101600,STX,twelve_data
2025-12-01,272.089996,275.98001,266.0,270.10001,2320000,STX,twelve_data
2025-11-28,275.0,277.57999,269.51001,276.69,1243100,STX,twelve_data
2025-11-26,264.66,275.0,262.72,272.28,3487500,STX,twelve_data
2025-11-25,251.17999,263.57001,247.0,261.89001,2555300,STX,twelve_data
2025-11-24,242.92,256.70001,242.91,253.38,4200400,STX,twelve_data
2025-11-21,237.39999,240.5,228.61,237.49001,4177300,STX,twelve_data
2025-11-20,273.17999,275.70001,237.39999,240.5,4071000,STX,twelve_data
2025-11-19,253.99001,263.82001,253.99001,259.14001,2306500,STX,twelve_data
2025-11-18,257.39001,261.35999,249.53,253.86,2479400,STX,twelve_data
2025-11-17,257.5,269.79999,254.48,261.38,2851600,STX,twelve_data
2025-11-14,254.14999,267.81,251.089996,258.20999,4718800,STX,twelve_data
2025-11-13,273.62,277.5,258.85001,262.56,5350200,STX,twelve_data
2025-11-12,288.0,297.88,279.0,283.26001,3985300,STX,twelve_data
2025-11-11,289.26999,296.14999,283.51999,288.0,3881100,STX,twelve_data
