date,open,high,low,close,volume,symbol,source
2026-06-10,502.79999,515.21997,484.5,490.089996,5940016,WDC,twelve_data
2026-06-09,535.5,545.40997,480.87,517.71997,7266600,WDC,twelve_data
2026-06-08,540.21002,540.21002,519.049988,526.92999,6226300,WDC,twelve_data
2026-06-05,545.25,554.15997,511.32999,511.72,9009200,WDC,twelve_data
2026-06-04,566.01001,594.0,564.56,575.5,6488200,WDC,twelve_data
2026-06-03,571.25,602.53998,571.25,594.10999,7846100,WDC,twelve_data
2026-06-02,559.0,571.17999,541.0,563.099976,5029100,WDC,twelve_data
2026-06-01,536.0,564.14001,534.27002,546.20001,6240900,WDC,twelve_data
2026-05-29,542.29999,544.26001,518.67999,531.21002,8383500,WDC,twelve_data
2026-05-28,540.51001,553.5,527.42999,531.17999,6002800,WDC,twelve_data
2026-05-27,538.96997,546.67999,521.70001,530.59998,6263200,WDC,twelve_data
2026-05-26,504.82999,536.12,500.5,524.65002,7552500,WDC,twelve_data
2026-05-22,488.42999,489.98999,478.54999,484.28,4492800,WDC,twelve_data
2026-05-21,458.92999,487.29001,458.87,486.45999,5046800,WDC,twelve_data
2026-05-20,469.38,469.64999,456.17999,459.62,5311700,WDC,twelve_data
2026-05-19,441.70001,464.23001,434.0,455.79999,5891600,WDC,twelve_data
2026-05-18,485.34,487.0,441.67001,458.67999,8996700,WDC,twelve_data
2026-05-15,470.75,486.41,465.0,482.019989,7014400,WDC,twelve_data
2026-05-14,484.76001,507.97,480.34,489.14999,5540900,WDC,twelve_data
2026-05-13,503.32001,503.66,475.37,494.089996,5772800,WDC,twelve_data
2026-05-12,497.85001,508.60001,466.79999,488.73999,7773000,WDC,twelve_data
2026-05-11,489.029999,525.15002,488.0,515.83002,10022600,WDC,twelve_data
2026-05-08,475.059998,483.66,469.32001,480.0,7929800,WDC,twelve_data
2026-05-07,472.019989,475.57001,450.28,463.91,7162900,WDC,twelve_data
2026-05-06,472.0,483.87,448.98999,483.14999,8338900,WDC,twelve_data
2026-05-05,455.79999,480.10999,455.19,465.26001,9794500,WDC,twelve_data
2026-05-04,430.73001,453.82999,428.51001,442.35999,10175700,WDC,twelve_data
2026-05-01,406.22,446.62,404.0,431.51999,15485300,WDC,twelve_data
2026-04-30,427.13,438.85999,422.0,434.51999,11700600,WDC,twelve_data
2026-04-29,424.35001,441.98999,410.049988,412.76001,10458100,WDC,twelve_data
2026-04-28,384.17999,396.32999,374.019989,390.98999,7285500,WDC,twelve_data
2026-04-27,411.73001,414.0,396.28,400.73001,5788200,WDC,twelve_data
2026-04-24,410.10999,414.5,400.049988,404.0,5603000,WDC,twelve_data
2026-04-23,387.0,416.37,385.81,403.12,6774800,WDC,twelve_data
2026-04-22,398.57001,402.0,381.76001,389.10001,7001900,WDC,twelve_data
2026-04-21,377.0,389.70999,369.5,383.81,6125700,WDC,twelve_data
2026-04-20,375.98999,380.64999,366.39999,374.10999,5410700,WDC,twelve_data
2026-04-17,370.35001,378.98001,366.17999,372.51999,5627500,WDC,twelve_data
2026-04-16,362.51001,368.39999,353.10999,361.69,5887400,WDC,twelve_data
2026-04-15,362.0,365.48999,351.60999,365.0,6438800,WDC,twelve_data
2026-04-14,358.75,366.29999,341.5,366.22,7301100,WDC,twelve_data
2026-04-13,341.54999,351.87,339.5,350.16,5429400,WDC,twelve_data
2026-04-10,343.95001,349.75,330.0,343.42999,6122600,WDC,twelve_data
2026-04-09,343.88,345.10001,329.5,337.88,6391800,WDC,twelve_data
2026-04-08,335.0,348.0,331.66,338.78,9163500,WDC,twelve_data
2026-04-07,297.82999,312.20001,295.73001,311.95999,5891600,WDC,twelve_data
2026-04-06,303.17999,311.59,299.14001,304.14999,8532200,WDC,twelve_data
2026-04-02,278.17001,298.14999,278.0,294.97,7860400,WDC,twelve_data
2026-04-01,280.5,304.95001,280.5,297.73001,12920000,WDC,twelve_data
2026-03-31,259.0,271.089996,254.5,270.48999,8781900,WDC,twelve_data
2026-03-30,282.42999,286.87,249.059998,251.67,9063600,WDC,twelve_data
2026-03-27,274.89999,282.5,270.0,275.34,6956000,WDC,twelve_data
2026-03-26,286.79001,291.81,272.82999,273.35001,9726800,WDC,twelve_data
2026-03-25,292.0,300.72,280.75,296.14001,7642100,WDC,twelve_data
2026-03-24,294.51999,301.35001,280.20001,301.049988,7194700,WDC,twelve_data
2026-03-23,298.60999,316.92999,283.16,294.79001,8990500,WDC,twelve_data
2026-03-20,309.51999,312.98999,291.17999,293.10001,12877100,WDC,twelve_data
2026-03-19,292.070007,319.20001,289.029999,316.92999,9092000,WDC,twelve_data
2026-03-18,309.54999,319.62,300.60001,304.89999,12453900,WDC,twelve_data
2026-03-17,288.32001,314.92001,284.72,313.81,14247500,WDC,twelve_data
2026-03-16,282.79001,289.87,278.76999,286.20999,8565000,WDC,twelve_data
2026-03-13,265.98001,278.44,265.34,272.29001,8201200,WDC,twelve_data
