date,open,high,low,close,volume,symbol,source
2026-06-10,78.7,78.7,77.51,78.099998,6642443,XEL,twelve_data
2026-06-09,77.85,78.53,77.3,77.87,5725800,XEL,twelve_data
2026-06-08,79.3,79.88,77.42,77.62,8561500,XEL,twelve_data
2026-06-05,78.34,79.56,78.17,79.040001,5334900,XEL,twelve_data
2026-06-04,78.0,78.8,76.62,77.77,4221600,XEL,twelve_data
2026-06-03,78.0,79.14,76.95,77.39,7393400,XEL,twelve_data
2026-06-02,76.35,78.080002,76.16,77.87,6010400,XEL,twelve_data
2026-06-01,78.45,78.82,76.16,76.41,5024800,XEL,twelve_data
2026-05-29,79.17,80.6,78.43,79.5,14308500,XEL,twelve_data
2026-05-28,80.77,80.9,79.16,79.26,4736500,XEL,twelve_data
2026-05-27,80.5,81.35,80.15,81.0,4712000,XEL,twelve_data
2026-05-26,81.21,81.5,80.67,80.78,4082200,XEL,twelve_data
2026-05-22,80.35,81.14,79.98,81.080002,3738000,XEL,twelve_data
2026-05-21,79.81,80.34,79.49,80.2,6243200,XEL,twelve_data
2026-05-20,80.24,80.44,79.53,79.86,4506200,XEL,twelve_data
2026-05-19,77.87,80.019997,77.83,79.73,3642800,XEL,twelve_data
2026-05-18,78.44,78.99,77.54,78.099998,4971700,XEL,twelve_data
2026-05-15,80.029999,80.029999,77.68,77.92,4702200,XEL,twelve_data
2026-05-14,79.69,80.33,79.63,80.029999,4269500,XEL,twelve_data
2026-05-13,78.74,80.099998,78.63,79.91,3867900,XEL,twelve_data
2026-05-12,80.29,80.57,79.32,79.9,9548100,XEL,twelve_data
2026-05-11,79.56,80.99,79.4,80.6,8070500,XEL,twelve_data
2026-05-08,80.46,81.18,79.27,79.39,4559400,XEL,twelve_data
2026-05-07,80.44,80.82,79.79,80.43,6154900,XEL,twelve_data
2026-05-06,81.13,81.61,80.16,80.55,6705500,XEL,twelve_data
2026-05-05,81.019997,82.15,80.83,81.45,4959300,XEL,twelve_data
2026-05-04,81.95,82.37,80.65,81.17,3550400,XEL,twelve_data
2026-05-01,82.95,83.85,82.38,82.58,5345900,XEL,twelve_data
2026-04-30,79.11,83.11,79.019997,82.95,9105500,XEL,twelve_data
2026-04-29,79.089996,79.46,78.24,78.82,3719000,XEL,twelve_data
2026-04-28,80.19,80.28,78.94,79.48,3790500,XEL,twelve_data
2026-04-27,79.35,79.76,79.17,79.41,3892000,XEL,twelve_data
2026-04-24,79.19,79.69,78.61,79.15,3949300,XEL,twelve_data
2026-04-23,78.63,79.82,78.44,79.48,5379100,XEL,twelve_data
2026-04-22,79.69,80.050003,77.35,78.11,4474400,XEL,twelve_data
2026-04-21,80.52,80.84,78.72,79.080002,3847300,XEL,twelve_data
2026-04-20,81.080002,81.86,80.17,80.32,4041400,XEL,twelve_data
2026-04-17,81.11,81.26,79.81,81.080002,4096700,XEL,twelve_data
2026-04-16,79.099998,81.12,78.97,81.050003,6748500,XEL,twelve_data
