date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-01,402.69,409.9899,399.91,404.25,4335590,401.6460240396,408.9269990101,398.8732312043,403.2019797313,4335590,0.0,1.0,ADI,tiingo
2026-06-02,423.2,423.97,409.0,409.5,4954127,423.2,423.97,409.0,409.5,4954127,1.1,1.0,ADI,tiingo
2026-06-03,437.67,439.7,418.22,424.9,5700706,437.67,439.7,418.22,424.9,5700706,0.0,1.0,ADI,tiingo
2026-06-04,428.76,432.27,420.59,427.78,3376722,428.76,432.27,420.59,427.78,3376722,0.0,1.0,ADI,tiingo
2026-06-05,401.39,419.64,401.26,419.49,7242611,401.39,419.64,401.26,419.49,7242611,0.0,1.0,ADI,tiingo
2026-06-08,403.89,415.0,401.59,414.95,5140171,403.89,415.0,401.59,414.95,5140171,0.0,1.0,ADI,tiingo
2026-06-09,404.62,414.59,383.32,411.95,5415555,404.62,414.59,383.32,411.95,5415555,0.0,1.0,ADI,tiingo
2026-06-10,392.67,411.0,392.41,399.555,3868600,392.67,411.0,392.41,399.555,3868600,0.0,1.0,ADI,tiingo
2026-06-11,412.13,413.05,397.01,401.94,4846699,412.13,413.05,397.01,401.94,4846699,0.0,1.0,ADI,tiingo
2026-06-12,417.79,422.23,406.4,411.95,2997603,417.79,422.23,406.4,411.95,2997603,0.0,1.0,ADI,tiingo
