date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-01,295.63,303.98,295.13,299.51,1186174,295.63,303.98,295.13,299.51,1186174,0.0,1.0,ALNY,tiingo
2026-06-02,286.12,295.6,285.0,293.94,1042633,286.12,295.6,285.0,293.94,1042633,0.0,1.0,ALNY,tiingo
2026-06-03,292.58,293.16,283.1,284.48,988833,292.58,293.16,283.1,284.48,988833,0.0,1.0,ALNY,tiingo
2026-06-04,303.64,310.53,293.85,297.22,1081496,303.64,310.53,293.85,297.22,1081496,0.0,1.0,ALNY,tiingo
2026-06-05,303.05,306.73,300.5,306.34,1004445,303.05,306.73,300.5,306.34,1004445,0.0,1.0,ALNY,tiingo
2026-06-08,292.16,303.57,285.54,303.11,1651435,292.16,303.57,285.54,303.11,1651435,0.0,1.0,ALNY,tiingo
2026-06-09,297.69,302.85,293.97,297.31,1260043,297.69,302.85,293.97,297.31,1260043,0.0,1.0,ALNY,tiingo
2026-06-10,291.22,299.7,290.53,297.69,927374,291.22,299.7,290.53,297.69,927374,0.0,1.0,ALNY,tiingo
2026-06-11,289.39,292.98,285.2201,290.7,1061496,289.39,292.98,285.2201,290.7,1061496,0.0,1.0,ALNY,tiingo
2026-06-12,282.85,291.28,281.765,288.96,1420050,282.85,291.28,281.765,288.96,1420050,0.0,1.0,ALNY,tiingo
