date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-01,106.03,106.79,102.805,106.09,3357738,106.03,106.79,102.805,106.09,3357738,0.0,1.0,INSM,tiingo
2026-06-02,103.73,104.45,100.56,104.09,2406468,103.73,104.45,100.56,104.09,2406468,0.0,1.0,INSM,tiingo
2026-06-03,103.86,105.2037,101.73,102.27,2978436,103.86,105.2037,101.73,102.27,2978436,0.0,1.0,INSM,tiingo
2026-06-04,104.92,105.29,102.89,103.385,1849295,104.92,105.29,102.89,103.385,1849295,0.0,1.0,INSM,tiingo
2026-06-05,94.22,105.0,92.81,103.78,7956669,94.22,105.0,92.81,103.78,7956669,0.0,1.0,INSM,tiingo
2026-06-08,94.17,96.77,92.0701,94.45,5010375,94.17,96.77,92.0701,94.45,5010375,0.0,1.0,INSM,tiingo
2026-06-09,99.04,99.55,95.43,95.75,4240892,99.04,99.55,95.43,95.75,4240892,0.0,1.0,INSM,tiingo
2026-06-10,91.88,99.25,90.39,98.28,5425643,91.88,99.25,90.39,98.28,5425643,0.0,1.0,INSM,tiingo
2026-06-11,96.72,98.18,91.37,92.3,5105563,96.72,98.18,91.37,92.3,5105563,0.0,1.0,INSM,tiingo
2026-06-12,97.85,98.51,93.92,95.12,4529094,97.85,98.51,93.92,95.12,4529094,0.0,1.0,INSM,tiingo
