date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-01,91.52,94.2,90.23,92.883,11345079,91.52,94.2,90.23,92.883,11345079,0.0,1.0,MCHP,tiingo
2026-06-02,96.96,99.3,94.16,96.75,13414762,96.96,99.3,94.16,96.75,13414762,0.0,1.0,MCHP,tiingo
2026-06-03,96.55,97.39,94.355,96.635,10449410,96.55,97.39,94.355,96.635,10449410,0.0,1.0,MCHP,tiingo
2026-06-04,96.3,99.6,94.584,95.65,9556954,96.3,99.6,94.584,95.65,9556954,0.0,1.0,MCHP,tiingo
2026-06-05,88.34,93.95,87.56,93.565,19736632,88.34,93.95,87.56,93.565,19736632,0.0,1.0,MCHP,tiingo
2026-06-08,91.37,93.18,89.62,91.86,13900577,91.37,93.18,89.62,91.86,13900577,0.0,1.0,MCHP,tiingo
2026-06-09,91.47,94.5,85.28,92.99,15334213,91.47,94.5,85.28,92.99,15334213,0.0,1.0,MCHP,tiingo
2026-06-10,87.91,92.49,87.55,90.255,10497622,87.91,92.49,87.55,90.255,10497622,0.0,1.0,MCHP,tiingo
2026-06-11,92.94,93.34,88.73,90.465,15470332,92.94,93.34,88.73,90.465,15470332,0.0,1.0,MCHP,tiingo
2026-06-12,95.24,95.7,91.9,92.955,8386186,95.24,95.7,91.9,92.955,8386186,0.0,1.0,MCHP,tiingo
