date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-01,311.38,318.545,305.63,315.0,2880979,311.38,318.545,305.63,315.0,2880979,0.0,1.0,NXPI,tiingo
2026-06-02,323.62,325.585,317.0,320.09,3871333,323.62,325.585,317.0,320.09,3871333,0.0,1.0,NXPI,tiingo
2026-06-03,321.88,327.48,318.71,322.3,2844708,321.88,327.48,318.71,322.3,2844708,0.0,1.0,NXPI,tiingo
2026-06-04,322.22,328.21,315.01,321.715,3249416,322.22,328.21,315.01,321.715,3249416,0.0,1.0,NXPI,tiingo
2026-06-05,295.96,314.235,295.89,312.51,8438112,295.96,314.235,295.89,312.51,8438112,0.0,1.0,NXPI,tiingo
2026-06-08,301.14,309.6002,298.05,307.79,5607111,301.14,309.6002,298.05,307.79,5607111,0.0,1.0,NXPI,tiingo
2026-06-09,297.41,310.22,279.36,308.69,5081840,297.41,310.22,279.36,308.69,5081840,0.0,1.0,NXPI,tiingo
2026-06-10,285.56,299.42,284.18,291.53,4335701,285.56,299.42,284.18,291.53,4335701,0.0,1.0,NXPI,tiingo
2026-06-11,302.55,303.299,288.39,291.54,5124040,302.55,303.299,288.39,291.54,5124040,0.0,1.0,NXPI,tiingo
2026-06-12,304.86,307.22,298.12,302.25,2127104,304.86,307.22,298.12,302.25,2127104,0.0,1.0,NXPI,tiingo
