date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-01,293.2,302.0,289.93,297.382,9623146,293.2,302.0,289.93,297.382,9623146,0.0,1.0,TXN,tiingo
2026-06-02,308.12,308.4,298.98,301.26,11136827,308.12,308.4,298.98,301.26,11136827,0.0,1.0,TXN,tiingo
2026-06-03,308.59,312.76,301.64,308.64,6730073,308.59,312.76,301.64,308.64,6730073,0.0,1.0,TXN,tiingo
2026-06-04,305.37,310.72,303.3,305.53,7924370,305.37,310.72,303.3,305.53,7924370,0.0,1.0,TXN,tiingo
2026-06-05,285.06,298.81,284.18,298.72,11937353,285.06,298.81,284.18,298.72,11937353,0.0,1.0,TXN,tiingo
2026-06-08,290.9,295.58,287.53,293.73,7791068,290.9,295.58,287.53,293.73,7791068,0.0,1.0,TXN,tiingo
2026-06-09,288.63,298.03,273.88,297.84,8920639,288.63,298.03,273.88,297.84,8920639,0.0,1.0,TXN,tiingo
2026-06-10,282.01,292.58,281.84,285.82,7325367,282.01,292.58,281.84,285.82,7325367,0.0,1.0,TXN,tiingo
2026-06-11,297.1,298.68,285.79,289.89,9862723,297.1,298.68,285.79,289.89,9862723,0.0,1.0,TXN,tiingo
2026-06-12,301.12,303.03,295.845,298.99,5368529,301.12,303.03,295.845,298.99,5368529,0.0,1.0,TXN,tiingo
