date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-01,27.25,27.32,26.945,26.945,21496729,27.25,27.32,26.945,26.945,21496729,0.0,1.0,WBD,tiingo
2026-06-02,27.18,27.36,27.13,27.21,19093424,27.18,27.36,27.13,27.21,19093424,0.0,1.0,WBD,tiingo
2026-06-03,27.0,27.215,27.0,27.135,16753450,27.0,27.215,27.0,27.135,16753450,0.0,1.0,WBD,tiingo
2026-06-04,27.0,27.13,26.9,27.09,14441419,27.0,27.13,26.9,27.09,14441419,0.0,1.0,WBD,tiingo
2026-06-05,26.24,27.01,25.91,27.0,49422921,26.24,27.01,25.91,27.0,49422921,0.0,1.0,WBD,tiingo
2026-06-08,26.47,26.8,26.11,26.3,33553013,26.47,26.8,26.11,26.3,33553013,0.0,1.0,WBD,tiingo
2026-06-09,26.56,26.795,26.39,26.47,26633511,26.56,26.795,26.39,26.47,26633511,0.0,1.0,WBD,tiingo
2026-06-10,26.23,26.65,26.21,26.63,13867199,26.23,26.65,26.21,26.63,13867199,0.0,1.0,WBD,tiingo
2026-06-11,26.86,26.87,26.18,26.27,19293674,26.86,26.87,26.18,26.27,19293674,0.0,1.0,WBD,tiingo
2026-06-12,26.98,27.04,26.515,26.783,16192988,26.98,27.04,26.515,26.783,16192988,0.0,1.0,WBD,tiingo
