date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-01,76.41,78.82,76.16,78.45,5025012,76.41,78.82,76.16,78.45,5025012,0.0,1.0,XEL,tiingo
2026-06-02,77.87,78.08,76.16,76.35,6010400,77.87,78.08,76.16,76.35,6010400,0.0,1.0,XEL,tiingo
2026-06-03,77.39,79.135,76.95,78.0,7393416,77.39,79.135,76.95,78.0,7393416,0.0,1.0,XEL,tiingo
2026-06-04,77.77,78.8,76.62,78.0,4221606,77.77,78.8,76.62,78.0,4221606,0.0,1.0,XEL,tiingo
2026-06-05,79.04,79.56,78.17,78.34,5334934,79.04,79.56,78.17,78.34,5334934,0.0,1.0,XEL,tiingo
2026-06-08,77.62,79.88,77.42,79.3,8561702,77.62,79.88,77.42,79.3,8561702,0.0,1.0,XEL,tiingo
2026-06-09,77.87,78.53,77.3,77.85,5725968,77.87,78.53,77.3,77.85,5725968,0.0,1.0,XEL,tiingo
2026-06-10,78.1,78.7,77.5,78.7,7119458,78.1,78.7,77.5,78.7,7119458,0.0,1.0,XEL,tiingo
2026-06-11,78.27,79.32,78.09,78.56,6943270,78.27,79.32,78.09,78.56,6943270,0.0,1.0,XEL,tiingo
2026-06-12,79.22,79.29,78.32,78.415,5931261,79.22,79.29,78.32,78.415,5931261,0.0,1.0,XEL,tiingo
