date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-02,148.86,149.03,141.75,144.34,7275590,148.86,149.03,141.75,144.34,7275590,0.0,1.0,FTNT,tiingo
2026-06-03,146.48,148.47,143.385,145.38,7983352,146.48,148.47,143.385,145.38,7983352,0.0,1.0,FTNT,tiingo
2026-06-04,149.67,150.07,144.32,146.2,5393030,149.67,150.07,144.32,146.2,5393030,0.0,1.0,FTNT,tiingo
2026-06-05,144.68,149.05,143.455,148.46,7122674,144.68,149.05,143.455,148.46,7122674,0.0,1.0,FTNT,tiingo
2026-06-08,143.04,147.0,142.505,145.51,5333453,143.04,147.0,142.505,145.51,5333453,0.0,1.0,FTNT,tiingo
2026-06-09,138.39,144.3,133.05,143.13,7801470,138.39,144.3,133.05,143.13,7801470,0.0,1.0,FTNT,tiingo
2026-06-10,138.88,141.3,137.01,137.8,6267104,138.88,141.3,137.01,137.8,6267104,0.0,1.0,FTNT,tiingo
2026-06-11,145.06,146.31,139.395,141.01,7433790,145.06,146.31,139.395,141.01,7433790,0.0,1.0,FTNT,tiingo
2026-06-12,146.3,146.38,142.1478,143.642,5084049,146.3,146.38,142.1478,143.642,5084049,0.0,1.0,FTNT,tiingo
2026-06-15,149.49,149.5,143.98,146.32,5207304,149.49,149.5,143.98,146.32,5207304,0.0,1.0,FTNT,tiingo
