date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-02,2045.2,2047.5,1950.0,1966.5,1061126,204.52,204.75,195.0,196.65,10611260,0.0,1.0,KLAC,tiingo
2026-06-03,2125.11,2145.52,2019.54,2048.27,1020024,212.511,214.552,201.954,204.827,10200240,0.0,1.0,KLAC,tiingo
2026-06-04,2131.1,2156.69,2034.01,2053.85,825289,213.11,215.669,203.401,205.385,8252890,0.0,1.0,KLAC,tiingo
2026-06-05,1929.2,2054.96,1927.73,2043.04,1858629,192.92,205.496,192.773,204.304,18586290,0.0,1.0,KLAC,tiingo
2026-06-08,2108.06,2135.21,2003.56,2030.0,1165901,210.806,213.521,200.356,203.0,11659010,0.0,1.0,KLAC,tiingo
2026-06-09,2139.37,2262.8188,1995.5,2170.0,1636598,213.937,226.28188,199.55,217.0,16365980,0.0,1.0,KLAC,tiingo
2026-06-10,2135.64,2304.406,2122.56,2166.43,1602957,213.564,230.4406,212.256,216.643,16029570,0.0,1.0,KLAC,tiingo
2026-06-11,2411.64,2431.29,2206.28,2213.37,1769402,241.164,243.129,220.628,221.337,17694020,0.0,1.0,KLAC,tiingo
2026-06-12,254.54,254.93,236.0,237.6,10045478,254.54,254.93,236.0,237.6,10045478,0.0,10.0,KLAC,tiingo
2026-06-15,256.42,267.1699,251.11,263.57,18244853,256.42,267.1699,251.11,263.57,18244853,0.0,1.0,KLAC,tiingo
