date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-02,61.07,61.75,60.83,61.03,7236559,61.07,61.75,60.83,61.03,7236559,0.0,1.0,MDLZ,tiingo
2026-06-03,61.31,62.26,61.11,61.27,6666732,61.31,62.26,61.11,61.27,6666732,0.0,1.0,MDLZ,tiingo
2026-06-04,60.99,62.41,60.695,61.95,5876705,60.99,62.41,60.695,61.95,5876705,0.0,1.0,MDLZ,tiingo
2026-06-05,62.04,63.14,61.13,61.145,8567225,62.04,63.14,61.13,61.145,8567225,0.0,1.0,MDLZ,tiingo
2026-06-08,61.6,62.31,61.54,62.185,7007356,61.6,62.31,61.54,62.185,7007356,0.0,1.0,MDLZ,tiingo
2026-06-09,62.93,63.29,61.57,61.92,8333438,62.93,63.29,61.57,61.92,8333438,0.0,1.0,MDLZ,tiingo
2026-06-10,64.18,64.35,62.95,63.455,7761546,64.18,64.35,62.95,63.455,7761546,0.0,1.0,MDLZ,tiingo
2026-06-11,63.36,64.35,63.29,64.29,7688750,63.36,64.35,63.29,64.29,7688750,0.0,1.0,MDLZ,tiingo
2026-06-12,62.99,63.53,62.24,63.32,8009448,62.99,63.53,62.24,63.32,8009448,0.0,1.0,MDLZ,tiingo
2026-06-15,61.5,62.99,61.395,62.99,10084656,61.5,62.99,61.395,62.99,10084656,0.0,1.0,MDLZ,tiingo
