date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-02,290.79,291.3,252.43,253.46,112646194,290.79,291.3,252.43,253.46,112646194,0.0,1.0,MRVL,tiingo
2026-06-03,301.65,324.2,294.0101,317.63,115542750,301.65,324.2,294.0101,317.63,115542750,0.0,1.0,MRVL,tiingo
2026-06-04,316.43,321.5,277.56,282.95,86903499,316.43,321.5,277.56,282.95,86903499,0.0,1.0,MRVL,tiingo
2026-06-05,263.47,300.7243,261.39,299.5,93976392,263.47,300.7243,261.39,299.5,93976392,0.0,1.0,MRVL,tiingo
2026-06-08,288.85,304.96,281.36,288.69,84575493,288.85,304.96,281.36,288.69,84575493,0.0,1.0,MRVL,tiingo
2026-06-09,266.88,302.4,244.0,299.76,94754459,266.88,302.4,244.0,299.76,94754459,0.0,1.0,MRVL,tiingo
2026-06-10,252.59,272.47,252.26,263.5,54175090,252.59,272.47,252.26,263.5,54175090,0.0,1.0,MRVL,tiingo
2026-06-11,280.71,282.32,258.43,260.54,57254455,280.71,282.32,258.43,260.54,57254455,0.0,1.0,MRVL,tiingo
2026-06-12,279.7,287.98,267.31,270.07,42162220,279.7,287.98,267.31,270.07,42162220,0.0,1.0,MRVL,tiingo
2026-06-15,308.88,312.9799,288.09,296.71,54963584,308.88,312.9799,288.09,296.71,54963584,0.0,1.0,MRVL,tiingo
