date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-02,441.31,453.5,440.43,446.88,37036801,441.31,453.5,440.43,446.88,37036801,0.0,1.0,MSFT,tiingo
2026-06-03,427.34,440.39,424.25,438.45,39037007,427.34,440.39,424.25,438.45,39037007,0.0,1.0,MSFT,tiingo
2026-06-04,428.05,436.15,426.41,435.81,26899511,428.05,436.15,426.41,435.81,26899511,0.0,1.0,MSFT,tiingo
2026-06-05,416.67,429.47,414.4,428.34,34782164,416.67,429.47,414.4,428.34,34782164,0.0,1.0,MSFT,tiingo
2026-06-08,411.74,417.1599,408.56,414.14,32086714,411.74,417.1599,408.56,414.14,32086714,0.0,1.0,MSFT,tiingo
2026-06-09,403.41,411.98,398.48,409.03,35317302,403.41,411.98,398.48,409.03,35317302,0.0,1.0,MSFT,tiingo
2026-06-10,397.36,405.04,397.16,398.55,32576041,397.36,405.04,397.16,398.55,32576041,0.0,1.0,MSFT,tiingo
2026-06-11,390.34,396.85,384.0,395.205,47224135,390.34,396.85,384.0,395.205,47224135,0.0,1.0,MSFT,tiingo
2026-06-12,390.74,391.74,382.27,391.43,34922036,390.74,391.74,382.27,391.43,34922036,0.0,1.0,MSFT,tiingo
2026-06-15,399.76,401.75,392.845,396.795,32266437,399.76,401.75,392.845,396.795,32266437,0.0,1.0,MSFT,tiingo
