date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-02,112.89,114.05,109.82,109.82,2595470,112.89,114.05,109.82,109.82,2595470,0.0,1.0,PCAR,tiingo
2026-06-03,114.38,115.7975,112.675,113.3,3094723,114.38,115.7975,112.675,113.3,3094723,0.0,1.0,PCAR,tiingo
2026-06-04,118.065,118.76,114.56,115.82,5082506,118.065,118.76,114.56,115.82,5082506,0.0,1.0,PCAR,tiingo
2026-06-05,116.68,118.73,116.19,117.62,3675372,116.68,118.73,116.19,117.62,3675372,0.0,1.0,PCAR,tiingo
2026-06-08,118.44,119.23,116.17,117.26,3186470,118.44,119.23,116.17,117.26,3186470,0.0,1.0,PCAR,tiingo
2026-06-09,119.69,120.6,116.73,118.63,3086015,119.69,120.6,116.73,118.63,3086015,0.0,1.0,PCAR,tiingo
2026-06-10,113.99,120.9457,113.94,119.43,2631905,113.99,120.9457,113.94,119.43,2631905,0.0,1.0,PCAR,tiingo
2026-06-11,117.58,118.17,114.15,114.65,3203873,117.58,118.17,114.15,114.65,3203873,0.0,1.0,PCAR,tiingo
2026-06-12,118.52,119.095,117.0,118.25,2618234,118.52,119.095,117.0,118.25,2618234,0.0,1.0,PCAR,tiingo
2026-06-15,120.69,121.84,119.74,120.64,2834122,120.69,121.84,119.74,120.64,2834122,0.0,1.0,PCAR,tiingo
