date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-02,95.51,97.9,95.4,95.8,9546623,95.51,97.9,95.4,95.8,9546623,0.0,1.0,SBUX,tiingo
2026-06-03,95.89,98.1999,95.215,95.48,8541754,95.89,98.1999,95.215,95.48,8541754,0.0,1.0,SBUX,tiingo
2026-06-04,94.14,98.235,93.81,97.79,7524433,94.14,98.235,93.81,97.79,7524433,0.0,1.0,SBUX,tiingo
2026-06-05,95.29,95.99,93.64,94.29,7623266,95.29,95.99,93.64,94.29,7623266,0.0,1.0,SBUX,tiingo
2026-06-08,94.82,95.77,94.47,94.84,7306437,94.82,95.77,94.47,94.84,7306437,0.0,1.0,SBUX,tiingo
2026-06-09,97.41,98.435,94.968,95.15,10619689,97.41,98.435,94.968,95.15,10619689,0.0,1.0,SBUX,tiingo
2026-06-10,98.76,99.56,96.9,97.58,8724691,98.76,99.56,96.9,97.58,8724691,0.0,1.0,SBUX,tiingo
2026-06-11,102.28,102.555,98.89,98.96,10434830,102.28,102.555,98.89,98.96,10434830,0.0,1.0,SBUX,tiingo
2026-06-12,103.04,103.69,101.8,102.78,5307213,103.04,103.69,101.8,102.78,5307213,0.0,1.0,SBUX,tiingo
2026-06-15,101.59,103.6125,101.405,103.485,7054382,101.59,103.6125,101.405,103.485,7054382,0.0,1.0,SBUX,tiingo
