date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-02,117.01,121.53,115.535,120.455,9304059,117.01,121.53,115.535,120.455,9304059,0.0,1.0,SHOP,tiingo
2026-06-03,112.94,115.26,112.5,114.61,7572583,112.94,115.26,112.5,114.61,7572583,0.0,1.0,SHOP,tiingo
2026-06-04,116.04,117.77,114.3346,115.875,7143433,116.04,117.77,114.3346,115.875,7143433,0.0,1.0,SHOP,tiingo
2026-06-05,109.54,115.9,108.29,114.5,8104559,109.54,115.9,108.29,114.5,8104559,0.0,1.0,SHOP,tiingo
2026-06-08,110.78,114.88,110.52,113.58,7011612,110.78,114.88,110.52,113.58,7011612,0.0,1.0,SHOP,tiingo
2026-06-09,110.42,116.96,107.19,111.0,7829387,110.42,116.96,107.19,111.0,7829387,0.0,1.0,SHOP,tiingo
2026-06-10,108.2,110.25,106.4,108.6,7390822,108.2,110.25,106.4,108.6,7390822,0.0,1.0,SHOP,tiingo
2026-06-11,110.47,110.57,104.11,106.9,8245594,110.47,110.57,104.11,106.9,8245594,0.0,1.0,SHOP,tiingo
2026-06-12,108.24,111.03,106.98,110.1,8809827,108.24,111.03,106.98,110.1,8809827,0.0,1.0,SHOP,tiingo
2026-06-15,112.49,115.315,110.2,110.9,6830156,112.49,115.315,110.2,110.9,6830156,0.0,1.0,SHOP,tiingo
