date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-02,423.74,424.42,413.65,418.22,37596045,423.74,424.42,413.65,418.22,37596045,0.0,1.0,TSLA,tiingo
2026-06-03,423.7,433.6,416.0,418.7,44500733,423.7,433.6,416.0,418.7,44500733,0.0,1.0,TSLA,tiingo
2026-06-04,418.45,426.3499,417.16,419.84,35323259,418.45,426.3499,417.16,419.84,35323259,0.0,1.0,TSLA,tiingo
2026-06-05,391.0,424.6799,388.59,420.5,63420177,391.0,424.6799,388.59,420.5,63420177,0.0,1.0,TSLA,tiingo
2026-06-08,408.95,412.94,394.72,396.33,50328834,408.95,412.94,394.72,396.33,50328834,0.0,1.0,TSLA,tiingo
2026-06-09,396.68,418.5,384.24,411.03,59940230,396.68,418.5,384.24,411.03,59940230,0.0,1.0,TSLA,tiingo
2026-06-10,381.59,397.09,380.15,391.54,49695583,381.59,397.09,380.15,391.54,49695583,0.0,1.0,TSLA,tiingo
2026-06-11,399.15,399.54,380.66,388.28,45324348,399.15,399.54,380.66,388.28,45324348,0.0,1.0,TSLA,tiingo
2026-06-12,406.43,406.68,386.76,399.49,63652286,406.43,406.68,386.76,399.49,63652286,0.0,1.0,TSLA,tiingo
2026-06-15,411.15,416.0,407.1,412.37,45620514,411.15,416.0,407.1,412.37,45620514,0.0,1.0,TSLA,tiingo
