date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-02,179.1,182.195,175.19,180.55,2301866,178.6051392573,181.6915876437,174.7059427498,180.051132847,2301866,0.0,1.0,VRSK,tiingo
2026-06-03,178.33,178.695,175.17,177.24,1654060,177.8372667993,178.2012582891,174.6859980106,176.7502785146,1654060,0.0,1.0,VRSK,tiingo
2026-06-04,180.0,184.74,179.24,183.06,2231121,179.5026525199,184.2295557029,178.7447524315,182.5541976127,2231121,0.0,1.0,VRSK,tiingo
2026-06-05,181.73,184.85,180.5501,182.97,1901020,181.227872458,184.3392517683,180.0512325707,182.4644462865,1901020,0.0,1.0,VRSK,tiingo
2026-06-08,178.97,182.53,177.11,180.475,1884647,178.4754984527,182.0256620248,176.62063771,179.9763400752,1884647,0.0,1.0,VRSK,tiingo
2026-06-09,182.55,183.94,177.66,178.54,2313662,182.0456067639,183.4317661362,177.1691180371,178.0466865606,2313662,0.0,1.0,VRSK,tiingo
2026-06-10,183.13,185.265,178.89,181.85,1920117,182.6240041998,184.7531051061,178.395719496,181.347540893,1920117,0.0,1.0,VRSK,tiingo
2026-06-11,182.0,185.1,180.66,182.28,2016238,181.4971264368,184.588561008,180.1608289125,181.7763527851,2016238,0.0,1.0,VRSK,tiingo
2026-06-12,183.8,184.495,177.825,181.0,2199625,183.292152962,183.9852326481,177.3336621353,180.4998894783,2199625,0.0,1.0,VRSK,tiingo
2026-06-15,180.46,184.55,179.225,179.54,2810701,180.46,184.55,179.225,179.54,2810701,0.5,1.0,VRSK,tiingo
