date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-02,563.1,571.18,541.0,559.0,5029053,562.9349873991,571.0126196104,540.8414636529,558.8361888761,5029053,0.0,1.0,WDC,tiingo
2026-06-03,594.11,602.5399,571.25,571.25,7846060,593.9359001309,602.3633298064,571.0825990974,571.0825990974,7846060,0.0,1.0,WDC,tiingo
2026-06-04,575.5,594.0,564.56,566.01,6488172,575.331353664,593.8259323656,564.3945595561,565.8441346436,6488172,0.0,1.0,WDC,tiingo
2026-06-05,511.72,554.155,511.33,545.25,9009200,511.72,554.155,511.33,545.25,9009200,0.15,1.0,WDC,tiingo
2026-06-08,526.93,540.21,519.05,540.21,6226269,526.93,540.21,519.05,540.21,6226269,0.0,1.0,WDC,tiingo
2026-06-09,517.72,545.41,480.87,535.5,7278666,517.72,545.41,480.87,535.5,7278666,0.0,1.0,WDC,tiingo
2026-06-10,490.09,515.22,484.5,502.7,5978302,490.09,515.22,484.5,502.7,5978302,0.0,1.0,WDC,tiingo
2026-06-11,529.29,529.72,489.0,497.77,6334605,529.29,529.72,489.0,497.77,6334605,0.0,1.0,WDC,tiingo
2026-06-12,562.925,572.29,531.9601,541.99,6291421,562.925,572.29,531.9601,541.99,6291421,0.0,1.0,WDC,tiingo
2026-06-15,653.53,658.8,612.0,618.78,9522884,653.53,658.8,612.0,618.78,9522884,0.0,1.0,WDC,tiingo
