date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-08,152.49,157.36,152.38,156.8,4198087,152.49,157.36,152.38,156.8,4198087,0.0,1.0,DASH,tiingo
2026-06-09,155.67,161.946299,151.0,152.73,4217897,155.67,161.946299,151.0,152.73,4217897,0.0,1.0,DASH,tiingo
2026-06-10,151.0,156.625,150.85,153.58,3497399,151.0,156.625,150.85,153.58,3497399,0.0,1.0,DASH,tiingo
2026-06-11,154.59,154.8,146.11,150.01,4863155,154.59,154.8,146.11,150.01,4863155,0.0,1.0,DASH,tiingo
2026-06-12,150.58,155.705,147.15,155.24,3912889,150.58,155.705,147.15,155.24,3912889,0.0,1.0,DASH,tiingo
2026-06-15,168.09,169.07,151.95,152.0,6828791,168.09,169.07,151.95,152.0,6828791,0.0,1.0,DASH,tiingo
2026-06-16,170.03,172.65,165.52,167.69,4862443,170.03,172.65,165.52,167.69,4862443,0.0,1.0,DASH,tiingo
2026-06-17,165.66,173.535,164.59,169.67,5354929,165.66,173.535,164.59,169.67,5354929,0.0,1.0,DASH,tiingo
2026-06-18,173.46,174.34,164.425,166.84,7724682,173.46,174.34,164.425,166.84,7724682,0.0,1.0,DASH,tiingo
2026-06-22,172.08,177.88,170.61,170.74,7581604,172.08,177.88,170.61,170.74,7581604,0.0,1.0,DASH,tiingo
