date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-08,585.39,592.0,579.22,592.0,19512436,584.8451611727,591.449009061,578.680903764,591.449009061,19512436,0.0,1.0,META,tiingo
2026-06-09,584.59,597.63,581.01,591.0,16977383,584.045905755,597.0737690627,580.469237761,590.4499397889,16977383,0.0,1.0,META,tiingo
2026-06-10,570.98,591.32,570.6,580.73,17064048,570.4485729622,590.769641956,570.0689266389,580.1894983649,17064048,0.0,1.0,META,tiingo
2026-06-11,568.43,572.17,557.01,565.83,17627966,567.9009463185,571.637465396,556.4915752315,565.3033662111,17627966,0.0,1.0,META,tiingo
2026-06-12,566.98,576.07,560.9,572.95,14347769,566.452295874,575.533835557,560.3779546999,572.4167394282,14347769,0.0,1.0,META,tiingo
2026-06-15,593.48,601.27,579.2975,579.9,17653258,593.48,601.27,579.2975,579.9,17653258,0.552883,1.0,META,tiingo
2026-06-16,600.21,605.81,592.0,593.65,11344421,600.21,605.81,592.0,593.65,11344421,0.0,1.0,META,tiingo
2026-06-17,567.58,593.81,566.19,592.002,20478308,567.58,593.81,566.19,592.002,20478308,0.0,1.0,META,tiingo
2026-06-18,577.22,580.215,563.1,572.82,28824630,577.22,580.215,563.1,572.82,28824630,0.0,1.0,META,tiingo
2026-06-22,563.85,575.81,559.81,572.02,15405511,563.85,575.81,559.81,572.02,15405511,0.0,1.0,META,tiingo
