date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-08,89.02,90.19,88.93,89.475,6905025,89.02,90.19,88.93,89.475,6905025,0.0,1.0,ORLY,tiingo
2026-06-09,89.49,90.475,88.3001,88.76,10797667,89.49,90.475,88.3001,88.76,10797667,0.0,1.0,ORLY,tiingo
2026-06-10,90.46,91.315,89.67,90.38,5558499,90.46,91.315,89.67,90.38,5558499,0.0,1.0,ORLY,tiingo
2026-06-11,90.1,91.725,89.57,90.46,6660733,90.1,91.725,89.57,90.46,6660733,0.0,1.0,ORLY,tiingo
2026-06-12,91.02,91.27,88.48,90.1,6523317,91.02,91.27,88.48,90.1,6523317,0.0,1.0,ORLY,tiingo
2026-06-15,90.26,91.89,89.51,90.955,5940300,90.26,91.89,89.51,90.955,5940300,0.0,1.0,ORLY,tiingo
2026-06-16,90.68,91.26,89.78,90.79,4401659,90.68,91.26,89.78,90.79,4401659,0.0,1.0,ORLY,tiingo
2026-06-17,88.4,91.205,87.785,89.8,8141656,88.4,91.205,87.785,89.8,8141656,0.0,1.0,ORLY,tiingo
2026-06-18,86.84,89.34,86.285,88.17,15497283,86.84,89.34,86.285,88.17,15497283,0.0,1.0,ORLY,tiingo
2026-06-22,85.63,86.1,84.76,85.955,10896494,85.63,86.1,84.76,85.955,10896494,0.0,1.0,ORLY,tiingo
