date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-08,143.76,145.48,141.14,142.5,2952845,143.76,145.48,141.14,142.5,2952845,0.0,1.0,WDAY,tiingo
2026-06-09,140.23,140.79,134.83,140.29,5214111,140.23,140.79,134.83,140.29,5214111,0.0,1.0,WDAY,tiingo
2026-06-10,137.47,141.19,136.19,137.0,3474089,137.47,141.19,136.19,137.0,3474089,0.0,1.0,WDAY,tiingo
2026-06-11,130.53,136.63,130.19,134.06,5880776,130.53,136.63,130.19,134.06,5880776,0.0,1.0,WDAY,tiingo
2026-06-12,130.8,131.03,125.015,129.63,6671469,130.8,131.03,125.015,129.63,6671469,0.0,1.0,WDAY,tiingo
2026-06-15,129.6,133.875,128.6175,131.0,3497705,129.6,133.875,128.6175,131.0,3497705,0.0,1.0,WDAY,tiingo
2026-06-16,126.77,129.4,124.6377,127.21,5995314,126.77,129.4,124.6377,127.21,5995314,0.0,1.0,WDAY,tiingo
2026-06-17,121.83,128.65,121.57,125.12,4354403,121.83,128.65,121.57,125.12,4354403,0.0,1.0,WDAY,tiingo
2026-06-18,116.93,121.795,116.55,119.492,11755627,116.93,121.795,116.55,119.492,11755627,0.0,1.0,WDAY,tiingo
2026-06-22,113.04,120.39,111.5,115.05,6483309,113.04,120.39,111.5,115.05,6483309,0.0,1.0,WDAY,tiingo
