date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-22,297.01,302.42,296.76,297.31,44879914,297.01,302.42,296.76,297.31,44879914,0.0,1.0,AAPL,tiingo
2026-06-23,294.3,301.64,294.18,297.538,52010929,294.3,301.64,294.18,297.538,52010929,0.0,1.0,AAPL,tiingo
2026-06-24,293.08,299.7,292.94,295.355,53081859,293.08,299.7,292.94,295.355,53081859,0.0,1.0,AAPL,tiingo
2026-06-25,275.15,288.8,273.75,287.4,107253659,275.15,288.8,273.75,287.4,107253659,0.0,1.0,AAPL,tiingo
2026-06-26,283.78,285.95,274.21,275.0,261775450,283.78,285.95,274.21,275.0,261775450,0.0,1.0,AAPL,tiingo
2026-06-29,281.74,288.3697,279.85,286.73,66427002,281.74,288.3697,279.85,286.73,66427002,0.0,1.0,AAPL,tiingo
2026-06-30,289.36,289.94,280.695,281.17,65100155,289.36,289.94,280.695,281.17,65100155,0.0,1.0,AAPL,tiingo
2026-07-01,294.38,296.59,289.195,293.44,50164232,294.38,296.59,289.195,293.44,50164232,0.0,1.0,AAPL,tiingo
2026-07-02,308.63,309.42,293.68,294.12,75400626,308.63,309.42,293.68,294.12,75400626,0.0,1.0,AAPL,tiingo
2026-07-06,312.66,314.2,307.0,307.36,53589977,312.66,314.2,307.0,307.36,53589977,0.0,1.0,AAPL,tiingo
