date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-06-22,214.6,218.32,213.8,216.04,2999057,214.6,218.32,213.8,216.04,2999057,0.0,1.0,ADP,tiingo
2026-06-23,220.5,220.93,217.89,220.79,2551205,220.5,220.93,217.89,220.79,2551205,0.0,1.0,ADP,tiingo
2026-06-24,219.855,223.39,218.41,221.3,2695249,219.855,223.39,218.41,221.3,2695249,0.0,1.0,ADP,tiingo
2026-06-25,216.31,225.29,216.04,219.475,2287102,216.31,225.29,216.04,219.475,2287102,0.0,1.0,ADP,tiingo
2026-06-26,223.55,224.22,217.65,218.22,8664089,223.55,224.22,217.65,218.22,8664089,0.0,1.0,ADP,tiingo
2026-06-29,224.97,226.7,223.03,226.55,2023996,224.97,226.7,223.03,226.55,2023996,0.0,1.0,ADP,tiingo
2026-06-30,223.95,225.873,222.103,223.26,3583913,223.95,225.873,222.103,223.26,3583913,0.0,1.0,ADP,tiingo
2026-07-01,235.73,236.83,228.28,228.93,2988475,235.73,236.83,228.28,228.93,2988475,0.0,1.0,ADP,tiingo
2026-07-02,242.27,243.03,236.0,236.34,2492775,242.27,243.03,236.0,236.34,2492775,0.0,1.0,ADP,tiingo
2026-07-06,239.49,243.38,237.42,243.38,1998340,239.49,243.38,237.42,243.38,1998340,0.0,1.0,ADP,tiingo
